channel_record_id,position_code,channel,source_model,source_ref_sha,source_path,source_record_key,evidence_kitchen_cogs_rub,evidence_packaging_rub,evidence_other_direct_variable_rub,evidence_complete_direct_cogs_rub,evidence_price_rub,evidence_tax_rate,evidence_commission_rate,model_kitchen_cogs_rub,model_packaging_rub,model_other_direct_variable_rub,model_complete_direct_cogs_rub,model_price_rub,model_target_cogs_ratio,model_food_cost_ratio,model_gross_margin_before_channel_costs_rub,model_tax_rate,model_commission_rate,model_contribution_before_tax_commission_rub,calculation_layer,calculation_status,approval_status,limitations
CH-VKM-001-001,VKM-001,À la carte,ISSUE82_RC2_PROXY_CHANNEL_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_CHANNEL_PRICING.csv,VKM-001|À la carte,,,,,,,,230.067829,0,,230.067829,766.892764,0.3,0.3,536.824935,,,536.824935,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,NOT_APPROVED_FOR_MENU,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
CH-VKM-001-002,VKM-001,Бизнес-ланч,ISSUE82_RC2_PROXY_CHANNEL_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_CHANNEL_PRICING.csv,VKM-001|Бизнес-ланч,,,,,,,,230.067829,0,,230.067829,575.169573,0.4,0.4,345.101744,,,345.101744,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,NOT_APPROVED_FOR_MENU,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
CH-VKM-001-003,VKM-001,Гостиничные ужины,ISSUE82_RC2_PROXY_CHANNEL_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_CHANNEL_PRICING.csv,VKM-001|Гостиничные ужины,,,,,,,,230.067829,0,,230.067829,766.892764,0.3,0.3,536.824935,,,536.824935,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,NOT_APPROVED_FOR_MENU,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
CH-VKM-001-004,VKM-001,Доставка,ISSUE82_RC2_PROXY_CHANNEL_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_CHANNEL_PRICING.csv,VKM-001|Доставка,,,,,,,,230.067829,65,,295.067829,983.559431,0.3,0.233914,753.491602,,,688.491602,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,NOT_APPROVED_FOR_MENU,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
CH-VKM-002-005,VKM-002,À la carte,ISSUE82_RC2_PROXY_CHANNEL_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_CHANNEL_PRICING.csv,VKM-002|À la carte,,,,,,,,334.18321,0,,334.183210,1113.944034,0.3,0.3,779.760824,,,779.760824,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,NOT_APPROVED_FOR_MENU,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
CH-VKM-002-006,VKM-002,Бизнес-ланч,ISSUE82_RC2_PROXY_CHANNEL_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_CHANNEL_PRICING.csv,VKM-002|Бизнес-ланч,,,,,,,,334.18321,0,,334.183210,835.458026,0.4,0.4,501.274815,,,501.274815,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,NOT_APPROVED_FOR_MENU,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
CH-VKM-002-007,VKM-002,Гостиничные ужины,ISSUE82_RC2_PROXY_CHANNEL_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_CHANNEL_PRICING.csv,VKM-002|Гостиничные ужины,,,,,,,,334.18321,0,,334.183210,1113.944034,0.3,0.3,779.760824,,,779.760824,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,NOT_APPROVED_FOR_MENU,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
CH-VKM-002-008,VKM-002,Доставка,ISSUE82_RC2_PROXY_CHANNEL_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_CHANNEL_PRICING.csv,VKM-002|Доставка,,,,,,,,334.18321,65,,399.183210,1330.610701,0.3,0.25115,996.427491,,,931.427491,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,NOT_APPROVED_FOR_MENU,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
CH-VKM-003-009,VKM-003,À la carte,ISSUE82_RC2_PROXY_CHANNEL_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_CHANNEL_PRICING.csv,VKM-003|À la carte,,,,,,,,269.866963,0,,269.866963,899.556544,0.3,0.3,629.689581,,,629.689581,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,NOT_APPROVED_FOR_MENU,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
CH-VKM-003-010,VKM-003,Бизнес-ланч,ISSUE82_RC2_PROXY_CHANNEL_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_CHANNEL_PRICING.csv,VKM-003|Бизнес-ланч,,,,,,,,269.866963,0,,269.866963,674.667408,0.4,0.4,404.800445,,,404.800445,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,NOT_APPROVED_FOR_MENU,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
