capacity_record_id,dish_code,dish_name,menu_section,capacity_group,primary_function_codes,draft_active_time_min,draft_total_time_min,active_time_implied_units_per_labor_hour,labor_rate_status,labor_rate_input_status,existing_model_group_capacity,existing_model_capacity_unit,existing_model_capacity_status,existing_model_source_note,existing_model_source_version,source_date,demand_window_qty,demand_window_unit,passport_batch_capacity,passport_capacity_unit,required_batches,preliminary_bottleneck,bottleneck_status,conditional_gate_candidates,evidence_ids,blocker_ids,confirmation_owner,next_action
CAP-001,VKM-001,Маргарита,Пицца,PIZZA,BAK-03;BAK-12;HOT-05B;STO-08;BAK-01,19,90,3.158,CALCULATED,ESTIMATE,25,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-002,VKM-002,Четыре сыра,Пицца,PIZZA,BAK-03;BAK-12;HOT-05B;BAK-01,20,92,3.0,CALCULATED,ESTIMATE,25,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-003,VKM-003,Грибная с ветчиной,Пицца,PIZZA,BAK-03;BAK-12;HOT-05B;BAK-01,22,95,2.727,CALCULATED,ESTIMATE,25,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-004,VKM-004,Пепперони,Пицца,PIZZA,BAK-03;BAK-12;HOT-05B;BAK-01,20,92,3.0,CALCULATED,ESTIMATE,25,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-005,VKM-005,Белая чиабатта,Хлеб,BAKERY,BAK-03;STO-08;REQ-BAK-PREP;BAK-05;BAK-02;BAK-06,18,150,3.333,CALCULATED,ESTIMATE,20,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-006,VKM-006,Томатная чиабатта,Хлеб,BAKERY,BAK-03;STO-08;REQ-BAK-PREP;BAK-05;BAK-02;BAK-06,18,150,3.333,CALCULATED,ESTIMATE,20,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-007,VKM-007,Бородинский хлеб,Хлеб,BAKERY,REQ-BAK-PREP;BAK-03;STO-08;BAK-05;BAK-02;BAK-06,25,300,2.4,CALCULATED,ESTIMATE,20,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-008,VKM-008,Бриошь,Хлеб,BAKERY,BAK-03;REQ-BAK-PREP;STO-08;BAK-05;BAK-02;BAK-06,22,180,2.727,CALCULATED,ESTIMATE,20,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-009,VKM-009,Буррата с томатами,Салаты,COLD,CLD-03;CLD-07,8,10,7.5,CALCULATED,ESTIMATE,16,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-010,VKM-010,Микс-салат с креветками и яблоком,Салаты,COLD,CLD-03;CLD-07,12,18,5.0,CALCULATED,ESTIMATE,16,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-011,VKM-011,Греческий,Салаты,COLD,CLD-03;CLD-07,10,12,6.0,CALCULATED,ESTIMATE,16,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,CLD-09,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-012,VKM-012,Винегрет,Салаты,COLD,CLD-03;CLD-07;HOT-09;STO-10,18,90,3.333,CALCULATED,ESTIMATE,16,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,CLD-09,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-013,VKM-013,Слабосолёный лосось,Холодные закуски,COLD,CLD-03;CLD-07,7,10,8.571,CALCULATED,ESTIMATE,16,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,CLD-09,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-014,VKM-014,Сельдь с запечённым картофелем,Холодные закуски,COLD,HOT-01;CLD-03;CLD-07;HOT-09;STO-10,14,55,4.286,CALCULATED,ESTIMATE,16,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-015,VKM-015,Оливки и маслины,Холодные закуски,COLD,CLD-03;CLD-07,8,40,7.5,CALCULATED,ESTIMATE,16,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,CLD-09,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-016,VKM-016,Ассорти фирменных солений,Холодные закуски,COLD,CLD-03;CLD-07,23,70,2.609,CALCULATED,ESTIMATE,16,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,CLD-09,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-017,VKM-017,Ростбиф с луком и гренкой,Холодные закуски,COLD,CLD-03;CLD-07;BAK-02,12,18,5.0,CALCULATED,ESTIMATE,16,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,CLD-09;CLD-08,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-018,VKM-018,Традиционный красный борщ,Супы,HOT,HOT-05A;HOT-13;HOT-12,35,180,1.714,CALCULATED,ESTIMATE,21,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,CLD-09,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-019,VKM-019,Мурманская треска со сливочно-горчичным соусом,Горячие блюда,HOT,HOT-01;HOT-13;HOT-05B;HOT-12,18,28,3.333,CALCULATED,ESTIMATE,21,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-020,VKM-020,Креветки по-тайски,Горячие блюда,HOT,HOT-03;HOT-13;HOT-02;HOT-12,20,30,3.0,CALCULATED,ESTIMATE,21,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-021,VKM-021,Бургер VARSHAVKA,Горячие блюда,HOT,HOT-02;HOT-13;HOT-12,15,25,4.0,CALCULATED,ESTIMATE,21,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-022,VKM-022,Миньоны из говяжьей вырезки,Горячие блюда,HOT,HOT-02;HOT-13;HOT-12;HOT-05B,22,35,2.727,CALCULATED,ESTIMATE,21,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,CLD-08,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-023,VKM-023,Запечённый картофель,Гарниры,SIDE,HOT-12;HOT-13;HOT-01,13,45,4.615,CALCULATED,ESTIMATE,12,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,CLD-09,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
CAP-024,VKM-024,Рис жасмин,Гарниры,SIDE,HOT-06;HOT-13;HOT-12,8,35,7.5,CALCULATED,ESTIMATE,12,ед./ч,ESTIMATE,KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx / ПАРАМЕТРЫ; not passport or observed throughput,3.0.0 / 2026-07-28,2026-08-03,,,,,,"Cannot conclude before demand, staffing, passport and timed-test reconciliation",BLOCKED_PENDING_VALIDATION,CLD-09,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020,Operations / Engineering,Run peak-load/control-production test and replace planning values with observed and passport-backed inputs
