dish_code,dish_name,version,as_of_date,source_recipe_version,source_recipe_blob_sha,PEANUT,ASPARTAME,MUSTARD,SULPHITES,GLUTEN,SESAME,LUPIN,MOLLUSC,MILK,NUTS,CRUSTACEAN,FISH,CELERY,SOY,EGG,matrix_status,evidence_ids,method,required_confirmation,cross_contact_status,owner
VKM-001,Маргарита,0.2.0-REMEDIATION,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,DRAFT_BLOCKED_PENDING_VALIDATION,EVD-0012;EVD-FS-002,Direct allergen classes derived from the exact locked DRAFT recipe names; compound ingredients/variants remain unknown; no UNKNOWN value means absence,Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review,UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP,Procurement; Food Safety/PPK owner
VKM-002,Четыре сыра,0.2.0-REMEDIATION,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,DRAFT_BLOCKED_PENDING_VALIDATION,EVD-0012;EVD-FS-002,Direct allergen classes derived from the exact locked DRAFT recipe names; compound ingredients/variants remain unknown; no UNKNOWN value means absence,Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review,UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP,Procurement; Food Safety/PPK owner
VKM-003,Грибная с ветчиной,0.2.0-REMEDIATION,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,DRAFT_BLOCKED_PENDING_VALIDATION,EVD-0012;EVD-FS-002,Direct allergen classes derived from the exact locked DRAFT recipe names; compound ingredients/variants remain unknown; no UNKNOWN value means absence,Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review,UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP,Procurement; Food Safety/PPK owner
VKM-004,Пепперони,0.2.0-REMEDIATION,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,DRAFT_BLOCKED_PENDING_VALIDATION,EVD-0012;EVD-FS-002,Direct allergen classes derived from the exact locked DRAFT recipe names; compound ingredients/variants remain unknown; no UNKNOWN value means absence,Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review,UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP,Procurement; Food Safety/PPK owner
VKM-005,Белая чиабатта,0.2.0-REMEDIATION,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,DRAFT_BLOCKED_PENDING_VALIDATION,EVD-0012;EVD-FS-002,Direct allergen classes derived from the exact locked DRAFT recipe names; compound ingredients/variants remain unknown; no UNKNOWN value means absence,Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review,UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP,Procurement; Food Safety/PPK owner
VKM-006,Томатная чиабатта,0.2.0-REMEDIATION,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,DRAFT_BLOCKED_PENDING_VALIDATION,EVD-0012;EVD-FS-002,Direct allergen classes derived from the exact locked DRAFT recipe names; compound ingredients/variants remain unknown; no UNKNOWN value means absence,Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review,UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP,Procurement; Food Safety/PPK owner
VKM-007,Бородинский хлеб,0.2.0-REMEDIATION,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,DRAFT_BLOCKED_PENDING_VALIDATION,EVD-0012;EVD-FS-002,Direct allergen classes derived from the exact locked DRAFT recipe names; compound ingredients/variants remain unknown; no UNKNOWN value means absence,Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review,UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP,Procurement; Food Safety/PPK owner
VKM-008,Бриошь,0.2.0-REMEDIATION,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,DRAFT_BLOCKED_PENDING_VALIDATION,EVD-0012;EVD-FS-002,Direct allergen classes derived from the exact locked DRAFT recipe names; compound ingredients/variants remain unknown; no UNKNOWN value means absence,Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review,UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP,Procurement; Food Safety/PPK owner
VKM-009,Буррата с томатами,0.2.0-REMEDIATION,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,DRAFT_BLOCKED_PENDING_VALIDATION,EVD-0012;EVD-FS-002,Direct allergen classes derived from the exact locked DRAFT recipe names; compound ingredients/variants remain unknown; no UNKNOWN value means absence,Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review,UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP,Procurement; Food Safety/PPK owner
VKM-010,Микс-салат с креветками и яблоком,0.2.0-REMEDIATION,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,POSSIBLE_DRAFT_VARIANT_UNRESOLVED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,POSSIBLE_DRAFT_VARIANT_UNRESOLVED,PRESENT_IN_LOCKED_DRAFT_RECIPE_NOT_SKU_VERIFIED,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,UNKNOWN_NOT_ABSENT,DRAFT_BLOCKED_PENDING_VALIDATION,EVD-0012;EVD-FS-002,Direct allergen classes derived from the exact locked DRAFT recipe names; compound ingredients/variants remain unknown; no UNKNOWN value means absence,Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review,UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP,Procurement; Food Safety/PPK owner
