record_id,dish_code,cost_card_code,tech_card_code,menu_section,dish_name,production_sales_unit,draft_target_output,output_unit,production_model,channels,recipe_version,dish_status,evidence_ids,method_or_source_note,source_date,confirmation_owner,blocker_ids,next_action
DSP-001,VKM-001,VKC-001,VKT-001,Пицца,Маргарита,1 пицца,450,г,Собственное производство,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-002,VKM-002,VKC-002,VKT-002,Пицца,Четыре сыра,1 пицца,480,г,Собственное производство,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-003,VKM-003,VKC-003,VKT-003,Пицца,Грибная с ветчиной,1 пицца,500,г,Собственное производство,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-004,VKM-004,VKC-004,VKT-004,Пицца,Пепперони,1 пицца,500,г,Собственное производство,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-005,VKM-005,VKC-005,VKT-005,Хлеб,Белая чиабатта,1 изделие,100,г,Собственное производство,Все применимые направления КАФЕ; обязательные компоненты,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-006,VKM-006,VKC-006,VKT-006,Хлеб,Томатная чиабатта,1 изделие,100,г,Собственное производство,Все применимые направления КАФЕ,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-007,VKM-007,VKC-007,VKT-007,Хлеб,Бородинский хлеб,1 буханка,350,г,Собственное производство,Все применимые направления КАФЕ; обязательные компоненты,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-008,VKM-008,VKC-008,VKT-008,Хлеб,Бриошь,1 изделие,85,г,Собственное производство,Все применимые направления КАФЕ; бургер,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-009,VKM-009,VKC-009,VKT-009,Салаты,Буррата с томатами,1 порция,300,г,Сборка Кухни,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-010,VKM-010,VKC-010,VKT-010,Салаты,Микс-салат с креветками и яблоком,1 порция,280,г,Сборка Кухни,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
