dish_code,dish_name,as_of_date,source_recipe_version,source_recipe_blob_sha,status,dish_readiness_veto,blocker_id,severity,parameter,reason,missing_input,impact,owner,next_action,checkpoint,evidence_ids
VKM-001,Маргарита,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-001-01,S1_CRITICAL,raw_material_acceptance_and_SKU_evidence,Selected ingredient SKUs and primary manufacturer/supplier documents are absent,SKU list; labels/specifications; conformity and veterinary documents where applicable; lot/storage/transport data,"raw-material safety, allergens, shelf life and traceability cannot be confirmed",Procurement,collect and register dossier for every recipe ingredient,Gate B / before procurement and service,EVD-0012;EVD-0016;EVD-FS-001;EVD-FS-003;EVD-FS-007
VKM-001,Маргарита,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-001-02,S1_CRITICAL,allergens_and_cross_contact,"Direct draft-recipe allergens are identified, but Chef acceptance, compound-ingredient/SKU composition and site cross-contact validation are absent",Chef-accepted exact recipe/VSF version; SKU allergen declarations; shared equipment/flow map; cleaning validation,cannot issue final allergen information or declare any allergen absence,Chef; Procurement; Food Safety/PPK owner,"accept/revise locked recipe, complete recipe-to-SKU allergen review and validate cross-contact controls",Gate B / before consumer offering,EVD-0012;EVD-FS-002
VKM-001,Маргарита,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-001-03,S1_CRITICAL,critical_process_limits,Dish-specific thermal/cold/acidification/assembly process and validated limits are absent,final process; hazard analysis; applicable official/manufacturer limit; calibrated control-cook measurements,CCP/OPRP classification and safe release criteria cannot be approved,Food Safety/PPK owner; Chef; Operations,"perform hazard analysis and validation; document limits, monitoring and corrective actions",Gate B / Issue #38,EVD-0013;EVD-FS-001
VKM-001,Маргарита,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-001-04,S1_CRITICAL,storage_cooling_reheating_shelf_life,No supported dish-specific route or limit. Cooling: CONDITIONAL: applies if any component is prepared in advance; cooling route and limit require validation Reheating: CONDITIONAL: applies only to an approved make-ahead route; reheating route and limit require validation,Owner/Chef choice of immediate-service vs make-ahead/channel flow; manufacturer conditions; official applicability review; calibrated validation/testing for each applicable stage,"production planning, labels, delivery and service release are blocked",Owner; Chef; Food Safety/PPK owner; Operations,"approve the exact route, then establish and validate only applicable regimes without extrapolating unsupported values",Gate B / Owner-Chef-PPK Decision Gate,EVD-0014;EVD-FS-001;EVD-FS-003;EVD-FS-007
VKM-001,Маргарита,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-001-05,S2_MAJOR,labeling_and_traceability,Approved lot-to-portion traceability and consumer-information workflow is absent,approved form/workflow; responsibility matrix; mock trace test; channel packaging decision,batch cannot be reliably traced or released to delivery/takeaway channel,Food Safety/PPK owner; Operations; Owner,approve form and conduct traceability exercise for the dish/channel,Gate B / Gate C,EVD-0015;EVD-FS-001;EVD-FS-002
VKM-002,Четыре сыра,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-002-01,S1_CRITICAL,raw_material_acceptance_and_SKU_evidence,Selected ingredient SKUs and primary manufacturer/supplier documents are absent,SKU list; labels/specifications; conformity and veterinary documents where applicable; lot/storage/transport data,"raw-material safety, allergens, shelf life and traceability cannot be confirmed",Procurement,collect and register dossier for every recipe ingredient,Gate B / before procurement and service,EVD-0012;EVD-0016;EVD-FS-001;EVD-FS-003;EVD-FS-007
VKM-002,Четыре сыра,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-002-02,S1_CRITICAL,allergens_and_cross_contact,"Direct draft-recipe allergens are identified, but Chef acceptance, compound-ingredient/SKU composition and site cross-contact validation are absent",Chef-accepted exact recipe/VSF version; SKU allergen declarations; shared equipment/flow map; cleaning validation,cannot issue final allergen information or declare any allergen absence,Chef; Procurement; Food Safety/PPK owner,"accept/revise locked recipe, complete recipe-to-SKU allergen review and validate cross-contact controls",Gate B / before consumer offering,EVD-0012;EVD-FS-002
VKM-002,Четыре сыра,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-002-03,S1_CRITICAL,critical_process_limits,Dish-specific thermal/cold/acidification/assembly process and validated limits are absent,final process; hazard analysis; applicable official/manufacturer limit; calibrated control-cook measurements,CCP/OPRP classification and safe release criteria cannot be approved,Food Safety/PPK owner; Chef; Operations,"perform hazard analysis and validation; document limits, monitoring and corrective actions",Gate B / Issue #38,EVD-0013;EVD-FS-001
VKM-002,Четыре сыра,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-002-04,S1_CRITICAL,storage_cooling_reheating_shelf_life,No supported dish-specific route or limit. Cooling: CONDITIONAL: applies if any component is prepared in advance; cooling route and limit require validation Reheating: CONDITIONAL: applies only to an approved make-ahead route; reheating route and limit require validation,Owner/Chef choice of immediate-service vs make-ahead/channel flow; manufacturer conditions; official applicability review; calibrated validation/testing for each applicable stage,"production planning, labels, delivery and service release are blocked",Owner; Chef; Food Safety/PPK owner; Operations,"approve the exact route, then establish and validate only applicable regimes without extrapolating unsupported values",Gate B / Owner-Chef-PPK Decision Gate,EVD-0014;EVD-FS-001;EVD-FS-003;EVD-FS-007
VKM-002,Четыре сыра,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-002-05,S2_MAJOR,labeling_and_traceability,Approved lot-to-portion traceability and consumer-information workflow is absent,approved form/workflow; responsibility matrix; mock trace test; channel packaging decision,batch cannot be reliably traced or released to delivery/takeaway channel,Food Safety/PPK owner; Operations; Owner,approve form and conduct traceability exercise for the dish/channel,Gate B / Gate C,EVD-0015;EVD-FS-001;EVD-FS-002
VKM-003,Грибная с ветчиной,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-003-01,S1_CRITICAL,raw_material_acceptance_and_SKU_evidence,Selected ingredient SKUs and primary manufacturer/supplier documents are absent,SKU list; labels/specifications; conformity and veterinary documents where applicable; lot/storage/transport data,"raw-material safety, allergens, shelf life and traceability cannot be confirmed",Procurement,collect and register dossier for every recipe ingredient,Gate B / before procurement and service,EVD-0012;EVD-0016;EVD-FS-001;EVD-FS-003;EVD-FS-007;EVD-FS-008
VKM-003,Грибная с ветчиной,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-003-02,S1_CRITICAL,allergens_and_cross_contact,"Direct draft-recipe allergens are identified, but Chef acceptance, compound-ingredient/SKU composition and site cross-contact validation are absent",Chef-accepted exact recipe/VSF version; SKU allergen declarations; shared equipment/flow map; cleaning validation,cannot issue final allergen information or declare any allergen absence,Chef; Procurement; Food Safety/PPK owner,"accept/revise locked recipe, complete recipe-to-SKU allergen review and validate cross-contact controls",Gate B / before consumer offering,EVD-0012;EVD-FS-002
VKM-003,Грибная с ветчиной,2026-08-03,0.1.0-DRAFT,c6b22ad5f2812cc989a0d3593f40e21207da8f53,OPEN,BLOCK,SBL-VKM-003-03,S1_CRITICAL,critical_process_limits,Dish-specific thermal/cold/acidification/assembly process and validated limits are absent,final process; hazard analysis; applicable official/manufacturer limit; calibrated control-cook measurements,CCP/OPRP classification and safe release criteria cannot be approved,Food Safety/PPK owner; Chef; Operations,"perform hazard analysis and validation; document limits, monitoring and corrective actions",Gate B / Issue #38,EVD-0013;EVD-FS-001
