INV_CODE,LEGACY_FUNC_CODE,CURRENT_FUNC_CODE,ASSET_NAME,ASSET_GROUP,SUBGROUP,QUANTITY,UNIT,MIN_TECH_REQUIREMENT,PROJECT_DIMENSIONS_MM,CONNECTIONS,SERVICE_ZONE_MM,BUSINESS_DIRECTION,ALLOCATION_DRIVER,MANDATORY_STATUS,ACTIVATION_GATE,BASE_SCENARIO_QTY,OPTIONAL_SCENARIO_QTY,HISTORICAL_ESTIMATE_RUB,CURRENT_PRICE_RUB,PRICE_STATUS,SOURCE_ID,ISSUE_ID,OWNER,APPROVAL_STATUS,NOTES
CAPEX.PRJ.001,,PRJ-01,Обмеры и обследование помещения,CAPEX,Проектирование,1,объект,Обмеры всех функциональных зон,по объекту,—,—,SHARED,D02_AREA,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-040,Проектировщик,APPROVED_STRUCTURE,
CAPEX.PRJ.002,,PRJ-02,Технологический проект Кухни и бара,CAPEX,Проектирование,1,комплект,"Планировка, потоки, оборудование, подключения",по объекту,—,—,SHARED,D13_DIRECT_COST,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-043,Проектировщик,APPROVED_STRUCTURE,
CAPEX.PRJ.003,,PRJ-03,Архитектурно-планировочный проект,CAPEX,Проектирование,1,комплект,20 рабочих и до 26 предельных мест,по объекту,—,—,SHARED,D02_AREA,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-040,Проектировщик,APPROVED_STRUCTURE,
CAPEX.PRJ.004,,PRJ-04,Проект электроснабжения,CAPEX,Проектирование,1,комплект,Сценарии 100/125/150 кВт,по объекту,—,—,SHARED,D05_CAPACITY,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-038;V-I-039,Инженерия,APPROVED_STRUCTURE,
CAPEX.PRJ.005,,PRJ-05,Проект вентиляции и кондиционирования,CAPEX,Проектирование,1,комплект,Расчёт тепловыделений и воздухообмена,по объекту,—,—,SHARED,D05_CAPACITY,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-041,Инженерия,APPROVED_STRUCTURE,
CAPEX.PRJ.006,,PRJ-06,"Проект воды, канализации и жироуловителя",CAPEX,Проектирование,1,комплект,Все технологические точки,по объекту,—,—,SHARED,D05_CAPACITY,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-041,Инженерия,APPROVED_STRUCTURE,
CAPEX.PRJ.007,,PRJ-07,Проект пожарной безопасности,CAPEX,Проектирование,1,комплект,Пожарная автоматика и эвакуация,по объекту,—,—,SHARED,D02_AREA,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-068,Инженерия,APPROVED_STRUCTURE,
CAPEX.BLD.001,,BLD-01,Демонтаж и вывоз,CAPEX,Строительство,1,объект,По дефектной ведомости,по ВОР,—,—,SHARED,D02_AREA,ENGINEERED,,1,0,,,NOT_REQUESTED,,V-I-071,Проектировщик,APPROVED_STRUCTURE,
CAPEX.BLD.002,,BLD-02,Полы и гидроизоляция,CAPEX,Строительство,1,объект,Санитарная и технологическая пригодность,по ВОР,—,—,SHARED,D02_AREA,ENGINEERED,,1,0,,,NOT_REQUESTED,,V-I-071,Проектировщик,APPROVED_STRUCTURE,
CAPEX.BLD.003,,BLD-03,Стены и санитарная отделка,CAPEX,Строительство,1,объект,Моющиеся поверхности,по ВОР,—,—,SHARED,D02_AREA,ENGINEERED,,1,0,,,NOT_REQUESTED,,V-I-071,Проектировщик,APPROVED_STRUCTURE,
