decision_id,scope,required_decision,options,recommended_option,evidence,cost_impact,price_margin_impact,safety_impact,equipment_impact,decision_owner,unblock_condition,status
CPD-001,ING-002,Выбрать закупочный SKU и цену для «Вода питьевая»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-002; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 580 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-002,ING-005,Выбрать закупочный SKU и цену для «Масло оливковое»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-005; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 167 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-003,ING-008,Выбрать закупочный SKU и цену для «Орегано»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-008; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 4 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-004,ING-011,Выбрать закупочный SKU и цену для «Базилик свежий»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-011; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 6 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-005,ING-013,Утвердить точную спецификацию и модель make/buy для «Фонтина или иной четвёртый сыр»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-013; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 30 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-006,ING-014,Выбрать закупочный SKU и цену для «Ветчина»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-014; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 60 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-007,ING-018,Выбрать закупочный SKU и цену для «Пюре томатное»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-018; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 13 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-008,ING-019,Выбрать закупочный SKU и цену для «Томаты вяленые»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-019; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 8 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-009,ING-021,Выбрать закупочный SKU и цену для «Солод ржаной»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-021; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 20 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-010,ING-022,Выбрать закупочный SKU и цену для «Патока»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-022; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 10 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-011,ING-023,Выбрать закупочный SKU и цену для «Кориандр»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-023; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 4 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-012,ING-024,Выбрать закупочный SKU и цену для «Масло растительное»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-024; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 86 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-013,ING-025,Выбрать закупочный SKU и цену для «Молоко»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-025; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 63 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-014,ING-029,Утвердить точную спецификацию и модель make/buy для «Меланж для смазки»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-029; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 1 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-015,ING-031,Выбрать закупочный SKU и цену для «Томаты свежие»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-031; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 264 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-016,ING-032,Выбрать закупочный SKU и цену для «Уксус бальзамический»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-032; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 3 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
