DOC_ID,DOCUMENT,RESPONSIBLE,BLOCKS,PRIORITY,STATUS,REQUEST_DATE,RECEIVED_DATE,ACCEPTANCE_CRITERIA,STORAGE_LOCATION,DEPENDENCIES,NOTES
DOC-INV-001,Актуальная планировка,Проектировщик,Габариты и количество,P0,NOT_REQUESTED,,,Все зоны и проходы подтверждены,,V-I-040,
DOC-INV-002,Подтверждение 20/26 мест,Проектировщик,Мебель и посуда,P0,NOT_REQUESTED,,,Планировка и эвакуация проверены,,V-I-040,
DOC-INV-003,ТУ электроснабжения,Арендодатель / Инженерия,Энергетический CAPEX,P0,NOT_REQUESTED,,,Официальный документ,,V-I-038,
DOC-INV-004,Стоимость 100/125/150 кВт,Арендодатель,CAPEX,P0,NOT_REQUESTED,,,Состав платежей и сроки,,DOC-INV-003,
DOC-INV-005,Вентиляционный расчёт,Инженерия,Вентиляция,P0,NOT_REQUESTED,,,Воздухообмен и тепловыделения,,V-I-041,
DOC-INV-006,Вода и канализация,Инженерия,Мойка и WOK,P0,NOT_REQUESTED,,,Точки и расходы подтверждены,,V-I-041,
DOC-INV-007,Расчёт жироуловителя,Инженерия,Канализация,P0,NOT_REQUESTED,,,Производительность подтверждена,,DOC-INV-006,
DOC-INV-008,Дефектная ведомость,Проектировщик,Строительный CAPEX,P0,NOT_REQUESTED,,,Охватывает всё помещение,,V-I-071,
DOC-INV-009,Ведомость объёмов работ,Проектировщик,RFQ строительства,P0,NOT_REQUESTED,,,Единая база сравнения,,DOC-INV-008,
DOC-INV-010,Реестр имущества арендодателя,Арендодатель,Исключение дублей,P0,NOT_REQUESTED,,,Собственник и состояние каждого объекта,,V-I-065,
DOC-INV-011,Паспорта оборудования,Закупки,Подключения и габариты,P0,NOT_REQUESTED,,,По каждой выбранной модели,,V-I-043,
DOC-INV-012,Протокол контрольного банкета,Кухня / БАНКЕТЫ,Условные активы,P0,NOT_REQUESTED,,,20 гостей и инженерный тест 24,,V-I-045,
DOC-INV-013,Хронометраж холодного участка,Кухня,Слайсер и овощерезка,P1,NOT_REQUESTED,,,Полный цикл и штат,,V-I-044,
DOC-INV-014,Тест 25 кассет/час,Операции,Моечный контур,P0,NOT_REQUESTED,,,25 смешанных кассет обработаны,,V-I-037,
DOC-INV-015,Матрица сервировки S04,Операции,Посуда,P0,NOT_REQUESTED,,,31 позиция и завтраки,,V-I-083,
DOC-INV-016,Банкетная сервировка,БАНКЕТЫ,BAN-04–BAN-06,P0,NOT_REQUESTED,,,20/21/26 гостей и оборот,,V-I-096,
DOC-INV-017,Программа бара,Бар,Барный CAPEX,P0,NOT_REQUESTED,,,"Напитки, объёмы, оборудование",,V-I-084,
DOC-INV-018,Карта напитков,Бар,Стекло и хранение,P1,NOT_REQUESTED,,,Единицы продажи и сервировка,,DOC-INV-017,
DOC-INV-019,Размеры упаковок поставщиков,Закупки,Холодильная ёмкость,P0,NOT_REQUESTED,,,Все ключевые товарные группы,,V-I-042,
DOC-INV-020,MOQ и сроки поставок,Закупки,Оборотный капитал,P0,NOT_REQUESTED,,,По каждому SKU,,V-I-072,
DOC-INV-021,Срок оплаты Гостиницей,Финансы / Гостиница,Дебиторская задолженность,P0,NOT_REQUESTED,,,Договорный срок,,V-I-072,
DOC-INV-022,Условия агрегаторов,Финансы,Cash Flow Доставки,P1,NOT_REQUESTED,,,Комиссии и лаг,,V-I-078,
DOC-INV-023,Условия банкетного аванса,Продажи / Юристы,Cash Flow БАНКЕТОВ,P0,NOT_REQUESTED,,,"Аванс, cut-off, окончательный расчёт",,V-I-097,
DOC-INV-024,Договор аренды и депозит,Юристы,Финансирование,P0,NOT_REQUESTED,,,"Платежи, каникулы, депозит",,V-I-063,
DOC-INV-025,Налоговая схема и НДС,Финансы / Налоги,Цена и Cash Flow,P0,NOT_REQUESTED,,,Письменное решение,,V-I-054,
DOC-INV-026,Политика капитализации,Финансы,CAPEX/OPEX,P0,NOT_REQUESTED,,,Критерии ОС и малоценки,,V-I-077,
DOC-INV-027,Получатель инвестиций,Инвестор / Юристы,Финансирование,P0,NOT_REQUESTED,,,Юридическое решение,,V-I-073,
DOC-INV-028,Источник финансирования,Инвестор,Funding Plan,P0,NOT_REQUESTED,,,"Сумма, форма, транши",,V-I-073,
DOC-INV-029,Механизм возврата инвестиций,Инвестор / Юристы,Будущий Cash Flow,P0,NOT_REQUESTED,,,Договорный механизм,,V-I-074,
DOC-INV-030,Минимальный денежный остаток,Инвестор,Резерв ликвидности,P0,NOT_REQUESTED,,,Утверждённая сумма/правило,,V-I-072,
DOC-INV-031,График CAPEX-платежей,Руководитель проекта,Cash Flow,P0,NOT_REQUESTED,,,По договорам и неделям,,V-I-071,
DOC-INV-032,График запуска,Руководитель проекта,Cash Flow,P0,NOT_REQUESTED,,,Контрольные даты и зависимости,,V-I-072,
DOC-INV-033,Подтверждение исходных BAN-01–BAN-07,Владелец проекта,Кодовый реестр,P1,NOT_REQUESTED,,,Исходный документ или отдельное решение,,V-I-046,
