dish_code,scenario,evidence_price_factor,proxy_price_factor,yield_cost_factor,scenario_food_cost_rub,scenario_kitchen_cogs_rub,status,limitation,exact_formula,applicability_status
VKM-001,BASE_PROXY_SCENARIO,1,1,1,226.667812,230.067829,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-001,PROXY_MINUS_30PCT,1,0.7,1,209.118775,212.255556,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-001,PROXY_PLUS_30PCT,1,1.3,1,244.21685,247.880103,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-001,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,249.334593,253.074612,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-001,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,269.385482,273.426265,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-002,BASE_PROXY_SCENARIO,1,1,1,329.244542,334.18321,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-002,PROXY_MINUS_30PCT,1,0.7,1,306.385586,310.981369,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-002,PROXY_PLUS_30PCT,1,1.3,1,352.103499,357.385051,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-002,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,362.168996,367.601531,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-002,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,386.676635,392.476785,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-003,BASE_PROXY_SCENARIO,1,1,1,265.878782,269.866963,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-003,PROXY_MINUS_30PCT,1,0.7,1,226.556635,229.954985,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-003,PROXY_PLUS_30PCT,1,1.3,1,305.200928,309.778942,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-003,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,292.46666,296.85366,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-003,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,348.858624,354.091503,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-004,BASE_PROXY_SCENARIO,1,1,1,310.295899,314.950338,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-004,PROXY_MINUS_30PCT,1,0.7,1,294.730027,299.150978,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-004,PROXY_PLUS_30PCT,1,1.3,1,325.861771,330.749698,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-004,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,341.325489,346.445371,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-004,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,353.935809,359.244846,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-005,BASE_PROXY_SCENARIO,1,1,1,16.94934,17.20358,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-005,PROXY_MINUS_30PCT,1,0.7,1,12.842659,13.035299,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-005,PROXY_PLUS_30PCT,1,1.3,1,21.05602,21.371861,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-005,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,18.644274,18.923938,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-005,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,25.046113,25.421805,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-006,BASE_PROXY_SCENARIO,1,1,1,15.55111,15.784376,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-006,PROXY_MINUS_30PCT,1,0.7,1,11.787263,11.964071,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-006,PROXY_PLUS_30PCT,1,1.3,1,19.314957,19.604681,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-006,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,17.106221,17.362814,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-006,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,22.97283,23.317422,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-007,BASE_PROXY_SCENARIO,1,1,1,25.539084,25.922171,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-007,PROXY_MINUS_30PCT,1,0.7,1,22.609863,22.949011,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-007,PROXY_PLUS_30PCT,1,1.3,1,28.468306,28.89533,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-007,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,28.092993,28.514388,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-007,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,32.022232,32.502565,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-008,BASE_PROXY_SCENARIO,1,1,1,27.160066,27.567467,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-008,PROXY_MINUS_30PCT,1,0.7,1,26.774555,27.176173,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-008,PROXY_PLUS_30PCT,1,1.3,1,27.545576,27.95876,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-008,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,29.876072,30.324213,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-008,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,29.265877,29.704865,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-009,BASE_PROXY_SCENARIO,1,1,1,297.117141,301.573898,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-009,PROXY_MINUS_30PCT,1,0.7,1,267.044159,271.049821,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-009,PROXY_PLUS_30PCT,1,1.3,1,327.190123,332.097975,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-009,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,326.828855,331.731288,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-009,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,365.514503,370.99722,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-010,BASE_PROXY_SCENARIO,1,1,1,334.669062,339.689098,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-010,PROXY_MINUS_30PCT,1,0.7,1,288.036714,292.357264,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-010,PROXY_PLUS_30PCT,1,1.3,1,381.301411,387.020932,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-010,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,368.135968,373.658008,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-010,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,434.094361,440.605777,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-011,BASE_PROXY_SCENARIO,1,1,1,128.900665,130.834175,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-011,PROXY_MINUS_30PCT,1,0.7,1,98.048465,99.519192,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-011,PROXY_PLUS_30PCT,1,1.3,1,159.752864,162.149157,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-011,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,141.790731,143.917592,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-011,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,189.811576,192.658749,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-012,BASE_PROXY_SCENARIO,1,1,1,25.206111,25.584202,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-012,PROXY_MINUS_30PCT,1,0.7,1,17.732298,17.998282,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-012,PROXY_PLUS_30PCT,1,1.3,1,32.679924,33.170123,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-012,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,27.726722,28.142623,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-012,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,39.644701,40.239372,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-013,BASE_PROXY_SCENARIO,1,1,1,467.189404,474.197245,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-013,PROXY_MINUS_30PCT,1,0.7,1,459.655483,466.550315,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-013,PROXY_PLUS_30PCT,1,1.3,1,474.723325,481.844175,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-013,ALL_PRICES_PLUS_10PCT,1.1,1.1,1,513.908345,521.61697,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-013,PROXY_PLUS_50PCT_YIELD_MINUS_5PCT,1,1.5,1.052632,504.995726,512.570662,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
VKM-014,BASE_PROXY_SCENARIO,1,1,1,88.220592,89.543901,ASSUMPTION_BLOCKED_PENDING_VALIDATION,Sensitivity around public proxy scenario; does not remove exact-SKU/procurement/recipe blocks,"scenario_value = baseline * exact scenario rule; yield -5% uses divisor 0.95, not rounded displayed factor",APPLICABLE_ISSUE82_PROXY_ONLY
