vsf_code,batch_variant_id,recipe_version,projected_output_g,partial_known_batch_cost_rub,complete_batch_cost_rub,cost_rub_per_output_g,missing_price_or_child_ids,cost_status,calculation_method,double_counting_check,evidence_ids,limitations
VSF-001,VSF-001@VKM-001,0.1.0-DRAFT,213,7.32767,,,ING-002;ING-005,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-001,VSF-001@VKM-002,0.1.0-DRAFT,220,7.32767,,,ING-002;ING-005,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-001,VSF-001@VKM-003,0.1.0-DRAFT,220,7.32767,,,ING-002;ING-005,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-001,VSF-001@VKM-004,0.1.0-DRAFT,220,7.32767,,,ING-002;ING-005,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-002,VSF-002@VKM-001,0.1.0-DRAFT,80,,,,ING-005;ING-006;ING-007;ING-008,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-002,VSF-002@VKM-002,0.1.0-DRAFT,50,,,,ING-005;ING-006;ING-007;ING-008,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-002,VSF-002@VKM-003,0.1.0-DRAFT,70,,,,ING-005;ING-006;ING-007;ING-008,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-002,VSF-002@VKM-004,0.1.0-DRAFT,70,,,,ING-005;ING-006;ING-007;ING-008,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-003,VSF-003@BASE,0.1.0-DRAFT,100,3.260405,,,ING-002;ING-005,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-004,VSF-004@BASE,0.1.0-DRAFT,100,3.004952,,,ING-002;ING-005;ING-018;ING-019,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-005,VSF-005@BASE,0.1.0-DRAFT,350,5.276512,,,ING-002;ING-020;ING-021;ING-022;ING-023;ING-024,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
