inventory_set_code,dish_code,dish_name,menu_section,candidate_inventory,linked_function_codes,required_quantity,quantity_unit,quantity_status,wash_dry_flow,cross_contact_note,parameter_status,evidence_ids,blocker_ids,source_date,confirmation_owner,next_action
INVSET-001,VKM-001,Маргарита,Пицца,Весы; контейнеры теста; скребок; лопатка/лопата для пиццы; резак; ёмкости для топпингов,BAK-12;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-002,VKM-002,Четыре сыра,Пицца,Весы; контейнеры теста; скребок; лопатка/лопата для пиццы; резак; ёмкости для топпингов,BAK-12;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-003,VKM-003,Грибная с ветчиной,Пицца,Весы; контейнеры теста; скребок; лопатка/лопата для пиццы; резак; ёмкости для топпингов,BAK-12;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-004,VKM-004,Пепперони,Пицца,Весы; контейнеры теста; скребок; лопатка/лопата для пиццы; резак; ёмкости для топпингов,BAK-12;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-005,VKM-005,Белая чиабатта,Хлеб,Весы; дежа; скребок; формы/противни; решётка охлаждения; термощуп после утверждения ППК,BAK-03;BAK-05;BAK-06;HOT-13;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-006,VKM-006,Томатная чиабатта,Хлеб,Весы; дежа; скребок; формы/противни; решётка охлаждения; термощуп после утверждения ППК,BAK-03;BAK-05;BAK-06;HOT-13;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-007,VKM-007,Бородинский хлеб,Хлеб,Весы; дежа; скребок; формы/противни; решётка охлаждения; термощуп после утверждения ППК,BAK-03;BAK-05;BAK-06;HOT-13;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-008,VKM-008,Бриошь,Хлеб,Весы; дежа; скребок; формы/противни; решётка охлаждения; термощуп после утверждения ППК,BAK-03;BAK-05;BAK-06;HOT-13;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-009,VKM-009,Буррата с томатами,Салаты,Весы; маркированные ножи и доски; GN с крышками; миски; щипцы/ложки; гастроёмкости,CLD-06;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-010,VKM-010,Микс-салат с креветками и яблоком,Салаты,Весы; маркированные ножи и доски; GN с крышками; миски; щипцы/ложки; гастроёмкости,CLD-06;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
