dish_code,menu,recipe,tech_card,costing,channel_economics,semi_finished,allergen_safety,chef_questions,control_cook_form,chef_approval,evidence_cogs,safety_status,overall
VKM-001,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-002,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-003,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-004,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-005,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-006,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-007,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-008,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-009,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-010,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
