gap_id,parameter_family,dish_scope,missing_input,current_status,reason,impact,confirmation_owner,next_action,checkpoint,linked_evidence_ids
GAP-001,production/sales unit,ALL_28,chef confirmation of unit and batch/portion interpretation,DRAFT,menu metadata is conditional,card and capacity basis may change,Chef,confirm each unit during recipe freeze,Gate B,EVD-0004
GAP-002,normative output,ALL_28,weighed control-cook output,BLOCKED_PENDING_VALIDATION,no completed trials for 28 dishes,mass balance costing nutrition and capacity are provisional,Chef / Operations,perform recorded weighed trials,Issue #37 / Gate B-to-Owner,EVD-0005
GAP-003,channels,ALL_28,owner-approved channel availability and packaging rules,DRAFT,menu channel list is project draft,pricing packaging and equipment vary by channel,Owner / Operations,approve channel matrix and delivery exclusions,Gate C,EVD-0006
GAP-004,recipe norms,ALL_28,chef-authored gross/net ingredient list and version,BLOCKED,no approved recipes,prevents recipe costing nutrition allergen and safety completion,Chef,issue structured v0.x recipe handoff for every dish,Gate B,EVD-0007
GAP-005,loss and yield factors,ALL_28,weighed preparation/cooking/portion losses,BLOCKED_PENDING_VALIDATION,no factual trials,prevents reliable gross purchasing and mass balance,Chef / Procurement,record inputs outputs and waste in control cooks,Issue #37,EVD-0008
GAP-006,semi-finished products,ALL_28,VSF recipes batch yields and reuse map,BLOCKED,only production-model cues exist,risk of orphan cycles and double costing,Chef / SemiFinishedProductsAgent,create coded DAG after draft recipes,Gate B,EVD-0009
GAP-007,process and time,ALL_28,chef sequence plus observed active/total times,BLOCKED,capacity workbook is preliminary,resource and bottleneck results cannot be confirmed,Chef / Operations,author process then time control batches,Gate B / Gate C,EVD-0010
GAP-008,presentation and sensory criteria,ALL_28,chef plating standard and signed sensory result,BLOCKED,no signed results,tech cards and readiness remain draft,Chef / Owner,define criteria and complete tasting form,Owner/Chef Gate,EVD-0011
GAP-009,allergens,ALL_28,manufacturer declarations/labels for selected SKUs,BLOCKED_PENDING_VALIDATION,no confirmed SKU composition,allergen matrix cannot claim completeness,Procurement / Food Safety,collect labels specifications and cross-contact statements,Gate B / before service,EVD-0012
GAP-010,critical temperatures,ALL_28,current official РФ basis plus validated site process,BLOCKED_PENDING_VALIDATION,official research and process validation not yet supplied,safety veto blocks readiness,FoodSafetyAgent,research official sources and map only applicable limits,Gate B,EVD-0013
GAP-011,storage/cooling/reheating/shelf life,ALL_28,official/manufacturer basis and validated PPK regimes,BLOCKED_PENDING_VALIDATION,no evidence permits invented regimes,production planning and labeling blocked,FoodSafetyAgent / PPK owner,obtain documents and conduct validation where required,Issue #38 / Owner Gate,EVD-0014
GAP-012,labeling and traceability,ALL_28,approved PPK/HACCP forms and lot/expiry workflow,BLOCKED,controls not approved,cannot claim operational compliance,Food Safety / Operations,approve forms and trial traceability chain,Issue #38,EVD-0015
GAP-013,SKU/package specifications,ALL_28,official specs labels net weights and storage conditions,BLOCKED,suppliers/SKUs not selected,purchase units allergens storage and nutrition unresolved,Procurement,collect and register primary supplier/manufacturer docs,Issue #39,EVD-0016
GAP-014,purchase observations,ALL_28,dated comparable quotations including VAT delivery MOQ and validity,BLOCKED,no approved price evidence,portion cost and working capital unresolved,Procurement / Finance,collect preferably 3 Moscow/MO observations per significant SKU,Issue #39 / Gate C,EVD-0017
