evidence_id,parameter_family,dish_scope,source_id,source_locator,source_date_or_version,evidence_class,parameter_status,allowed_use,prohibited_use,confirmation_owner,linked_gap_ids
EVD-0001,governance and status taxonomy,ALL_28,SRC-001,sections 2-8,1.0.0 / 2026-08-03,approved governance,FACT,"workflow; roles; gates; status vocabulary",domain fact substitution,Orchestrator,
EVD-0002,stable VKM/VKC/VKT identifiers,ALL_28,SRC-015,01_MENU/02_COSTING/03_TECHCARDS,1.0.0 / 2026-08-03,reference architecture,FACT,retain one-to-one code pattern,copy domain values without handoff,SystemArchitect,
EVD-0003,menu names and sections,ALL_28,SRC-002,active menu table,3.0.0 / 2026-07-28,official project artifact,FACT,identity and section reconciliation,claim recipe approval,Chef / Owner,
EVD-0004,production and sales unit,ALL_28,SRC-002,active menu table,3.0.0 / 2026-07-28,official project artifact,DRAFT,use as draft card metadata,declare operationally validated,Chef,GAP-001
EVD-0005,normative portion or batch output,ALL_28,SRC-002,active menu table,3.0.0 / 2026-07-28,project draft,DRAFT,use as control-cook target only,claim factual yield or mass balance,Chef,GAP-002
EVD-0006,production model and channels,ALL_28,SRC-002,active menu table,3.0.0 / 2026-07-28,project draft,DRAFT,seed workflow and applicable channel list,claim owner-approved offering or price,Owner / Chef,GAP-003
EVD-0007,gross and net ingredient norms,ALL_28,SRC-009,V-I-005 through V-I-012,2026-07-28,gap evidence,BLOCKED,create explicit chef questions and null inputs,invent plausible recipes,Chef,GAP-004
EVD-0008,actual losses and yields,ALL_28,SRC-009,V-I-005 through V-I-012,2026-07-28,gap evidence,BLOCKED_PENDING_VALIDATION,plan weighed trials,derive factual loss from menu output,Chef / Procurement,GAP-005
EVD-0009,semi-finished product recipes and batch yields,ALL_28,SRC-003,production-model descriptions,2026-07-27,secondary project cue,BLOCKED,identify candidate VSF nodes only,assign composition or yield without chef handoff,Chef / SemiFinishedProductsAgent,GAP-006
EVD-0010,operation sequence and process time,ALL_28,SRC-004,operation/capacity mappings,3.0.0 / 2026-07-28,preliminary model,ESTIMATE,use only as planning prompt and reconciliation aid,claim observed time or approved technology,Chef / Operations,GAP-007
EVD-0011,presentation and organoleptic acceptance,ALL_28,SRC-013,control-trial form patterns,2026-07-27/28,reference template,BLOCKED,use form structure,simulate tasting or acceptance,Chef / Owner,GAP-008
EVD-0012,ingredient and SKU allergen declarations,ALL_28,SRC-009,V-I-018 and V-I-068,2026-07-28,gap evidence,BLOCKED_PENDING_VALIDATION,build provisional ingredient-based questions,declare allergen-free status,Food Safety / Procurement,GAP-009
EVD-0013,critical temperatures and process limits,ALL_28,SRC-009,V-I-013 through V-I-018,2026-07-28,gap evidence,BLOCKED_PENDING_VALIDATION,identify CCP fields and official-source research needs,invent temperature limits,FoodSafetyAgent,GAP-010
EVD-0014,storage shelf life cooling reheating and realization,ALL_28,SRC-009,V-I-013 through V-I-020,2026-07-28,gap evidence,BLOCKED_PENDING_VALIDATION,create blocker and validation protocol,assign shelf life or regime,FoodSafetyAgent / PPK owner,GAP-011
EVD-0015,labeling and traceability controls,ALL_28,SRC-009,V-I-018 and V-I-068,2026-07-28,gap evidence,BLOCKED,define required fields only,claim implemented compliance,FoodSafetyAgent / Operations,GAP-012
EVD-0016,raw-material SKU specifications and package sizes,ALL_28,SRC-009,V-I-009 V-I-010 V-I-042 V-I-122,2026-07-28,gap evidence,BLOCKED,build required-document list and null register,make up SKU or package,Procurement,GAP-013
EVD-0017,supplier prices delivery MOQ lead time and VAT,ALL_28,SRC-009,V-I-039 V-I-053 V-I-122 V-I-123,2026-07-28,gap evidence,BLOCKED,prepare price-observation schema,copy draft price as approved,Procurement / Finance,GAP-014
EVD-0018,recipe cost and nested VSF cost,ALL_28,SRC-009,V-I-053,2026-07-28,canonical blocker,BLOCKED,calculate only after frozen recipe and accepted prices,use proxy percentage COGS as recipe cost,CostingPricingAgent,GAP-015
EVD-0019,channel selling prices commissions and tax applicability,ALL_28,SRC-006,scenario channel architecture,3.0.0 / 2026-07-28,reference model,BLOCKED,identify applicable channels and formula inputs,declare project price or tax approved,Owner / Finance / Tax,GAP-016
EVD-0020,food cost gross margin and contribution,ALL_28,SRC-018,ADR-0006 and business architecture,current main,calculation method,BLOCKED,calculate transparently after accepted inputs,use ADR proxy as item fact,CostingPricingAgent,GAP-015;GAP-016
