ingredient_id,ingredient_name,total_gross_usage_g_in_28_drafts,significant_sku,selected_price_rub_per_kg,price_basis,observation_count_compatible,price_source_ids,price_as_of,parameter_status,confidence,confidence_reason,vat_status,delivery_rub,moq,approval_owner,next_action
ING-001,Мука пшеничная хлебопекарная,788,YES,42.4925,median_public_observation,2,PSR-0001;PSR-0003,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-002,Вода питьевая,580,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-003,Дрожжи хлебопекарные,14,NO,624.875,median_public_observation,3,PSR-0004;PSR-0005;PSR-0006,2026-08-03,ESTIMATE,MEDIUM,Медиана публичных наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,Сверить с КП и выбрать поставщика
ING-004,Соль пищевая,25,NO,42.99,median_public_observation,1,PSR-0007,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-005,Масло оливковое,167,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-006,Томаты протёртые,272,NO,319.98,median_public_observation,2,PSR-0069;PSR-0088,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-007,Чеснок,16.6,NO,380,median_public_observation,1,PSR-0089,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-008,Орегано,4,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-009,Моцарелла,420,YES,909.975,median_public_observation,2,PSR-0014;PSR-0015,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-010,Пармезан,45,YES,1931.2,median_public_observation,4,PSR-0017;PSR-0018;PSR-0019;PSR-0020,2026-08-03,ESTIMATE,MEDIUM,Медиана публичных наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,Сверить с КП и выбрать поставщика
