RFQ_ID,INV_CODE_OR_GROUP,OBJECT,REQUIRED_DOCUMENT,RECIPIENT_CLASS,MIN_QUOTES,COMPARABILITY_CRITERIA,SUPPLIER,MANUFACTURER,MODEL_ARTICLE,QTY,UNIT,PRICE_EX_VAT_RUB,VAT_RATE,VAT_RUB,PRICE_INC_VAT_RUB,DELIVERY_RUB,INSTALLATION_RUB,COMMISSIONING_RUB,TRAINING_RUB,REQUIRED_ACCESSORIES_RUB,LAUNCH_COST_RUB,WARRANTY_MONTHS,LEAD_TIME_DAYS,PRICE_VALID_UNTIL,PAYMENT_TERMS,SOURCE_LINK,PRICE_STATUS
RFQ-01,CAPEX.PRJ.*,Проектирование,КП и состав работ,Проектные организации,3,Одинаковый состав разделов,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-02,CAPEX.BLD.*,Строительно-отделочные работы,Смета по единой ВОР,Строительные подрядчики,3,Одинаковые объёмы и материалы,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-03,CAPEX.ENG.001-005,Электрическая мощность,ТУ и расчёт подключения,Арендодатель / сетевая организация,2,Сценарии 100/125/150 кВт,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-04,CAPEX.ENG.007-010,Вентиляция и климат,"Проект, КП, монтаж",HVAC-подрядчики,3,Одинаковый воздухообмен,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-05,CAPEX.ENG.011-014,"Вода, канализация, жироуловитель",Расчёт и смета,Инженерные подрядчики,2,Одинаковые точки и производительность,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-06,CAPEX.HOT.*,Горячее оборудование,КП и паспорта,Официальный дилер + интеграторы,3,"Производительность, циклы, гарантия",,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-07,CAPEX.BAK.*,Пицца и пекарская линия,"КП, паспорта, пробная работа",Поставщики HoReCa,3,Производительность и форматы,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-08,CAPEX.STO.*,Холодильный контур,КП и полезная ёмкость,Поставщики холодильного оборудования,3,"Полезный, не брутто-объём",,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-09,CAPEX.CLD.*,Холодный участок,КП и спецификация,Интеграторы HoReCa,2,"Размеры, GN, мощность",,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-10,CAPEX.DSP.*;CAPEX.BAN.001-003,Раздача и экспедиция,КП и план размещения,Интеграторы раздачи,2,≥60 позиций/час,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-11,CAPEX.WSH.*,Моечный контур,"КП, паспорт, расход воды",Поставщики моечного оборудования,3,Паспорт ≥40; факт ≥25 кассет/час,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-12,CAPEX.IT.*;CAPEX.DSP.009-010,"KDS, POS и ККТ",Тариф и оборудование,IT-интеграторы,3,"Лицензии, терминалы, поддержка",,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-13,CAPEX.ENG.015;CAPEX.IT.003-005,Безопасность,Проект и смета,Лицензированные подрядчики,2,Одинаковые зоны,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-14,CAPEX.FUR.*,Мебель,Спецификация и визуализация,Изготовители мебели,3,Одинаковые материалы и размеры,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-15,CAPEX.TBL.001;CAPEX.TBL.003;CAPEX.TBL.005,Посуда КАФЕ,Артикульное КП,Поставщики посуды,3,Единая матрица сервировки,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-16,CAPEX.BAN.004-007;CAPEX.TBL.004,Банкетная посуда и текстиль,Артикульное КП,Поставщики HoReCa и текстиля,3,20/21/26 гостей + резерв,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-17,CAPEX.TBL.002;CAPEX.WSH.009;CAPEX.FUR.003,Бар,КП и паспорта,Поставщики бара,3,Утверждённая карта напитков,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-18,CAPEX.COM.001-004,Монтаж и ввод,Отдельная калькуляция,Поставщик каждой системы,1,Не скрывать внутри цены,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-19,PREOP/RESERVE,Страхование,Полис и исключения,Страховые компании,3,Одинаковая страховая сумма,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
RFQ-20,IT/OPEX,Программное обеспечение,Официальный тариф,Правообладатели,1,Одинаковый период и число мест,,,,,,,,,,,,,,,,,,,,,NOT_REQUESTED
