dish_code,scope_class,menu_name,menu_family,recipe_status,calculation_layer_status,evidence_cogs_status,chef_status,supplier_evidence_status,safety_status,equipment_status,test_status,linked_defects,notes
VKM-001,ISSUE_82_ACTIVE,Маргарита,Пицца,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-002,ISSUE_82_ACTIVE,Четыре сыра,Пицца,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-003,ISSUE_82_ACTIVE,Грибная с ветчиной,Пицца,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-004,ISSUE_82_ACTIVE,Пепперони,Пицца,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-005,ISSUE_82_ACTIVE,Белая чиабатта,Хлеб,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-006,ISSUE_82_ACTIVE,Томатная чиабатта,Хлеб,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-007,ISSUE_82_ACTIVE,Бородинский хлеб,Хлеб,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-008,ISSUE_82_ACTIVE,Бриошь,Хлеб,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-009,ISSUE_82_ACTIVE,Буррата с томатами,Салаты,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-010,ISSUE_82_ACTIVE,Микс-салат с креветками и яблоком,Салаты,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
