mapping_id,dish_code,dish_name,menu_section,recipe_version,operation_no,operation_text,functional_codes,functional_equipment_names,capex_inv_codes,capex_requirement_statuses,capex_structure_approval_statuses,requirement_role,operation_duration_min,duration_status,duration_basis,project_design_requirement,project_design_requirement_unit,project_design_requirement_status,recipe_unit_load,recipe_unit_load_unit,recipe_unit_load_status,planning_batches_for_one_recipe_unit,planning_batch_status,planning_batch_note,selected_manufacturer,selected_model_article,passport_document_or_official_url,passport_capacity,passport_capacity_unit,capacity_status,equipment_availability_status,connections_status,suitability_status,parameter_status,evidence_ids,source_date,blocker_ids,confirmation_owner,mapping_note,next_action
EQM-0001,VKM-001,Маргарита,Пицца,0.1.0-DRAFT,1,Подготовить тесто и соус,BAK-03;BAK-12;HOT-05B,Спиральный тестомес;Холодильный пицца-стол;Индукционная плита 2 зоны,CAPEX.BAK.003;CAPEX.BAK.012;CAPEX.HOT.006,MANDATORY,APPROVED_STRUCTURE,MIXING_SAUCE_AND_PREP,,BLOCKED,Only dish aggregate is available: active 19 min / total 90 min; no unsupported split by operation,BAK-03: Рабочий диапазон 2–25 кг; BAK-12: Стол и надстройка ингредиентов; HOT-05B: 2 зоны,project design requirement,PLANNED,,,BLOCKED,,BLOCKED_NOT_COMPARABLE,Recipe load cannot be compared to the project requirement without tray/form/GN/load and selected-model data,,,,,,BLOCKED_NO_SELECTED_MODEL_PASSPORT,BLOCKED,BLOCKED,BLOCKED_SELECTED_MODEL_AND_SITE_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019,Operations / Engineering / Procurement,Manual operation mapped to an existing work surface/inventory function.,"Chef/Operations time the operation; Procurement supplies selected-model passport; Engineering confirms asset, placement and connections"
EQM-0002,VKM-001,Маргарита,Пицца,0.1.0-DRAFT,2,выдержать тесто,STO-08,Холодная ферментация теста,CAPEX.STO.008,MANDATORY,APPROVED_STRUCTURE,CONTROLLED_HOLDING,,BLOCKED,Only dish aggregate is available: active 19 min / total 90 min; no unsupported split by operation,STO-08: Всего ≥30 позиций 600×400,project design requirement,PLANNED,,,BLOCKED,,BLOCKED_NOT_COMPARABLE,Recipe load cannot be compared to the project requirement without tray/form/GN/load and selected-model data,,,,,,BLOCKED_NO_SELECTED_MODEL_PASSPORT,BLOCKED,BLOCKED,BLOCKED_SELECTED_MODEL_AND_SITE_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019,Operations / Engineering / Procurement,Manual operation mapped to an existing work surface/inventory function.,"Chef/Operations time the operation; Procurement supplies selected-model passport; Engineering confirms asset, placement and connections"
EQM-0003,VKM-001,Маргарита,Пицца,0.1.0-DRAFT,3,сформовать основу,BAK-12,Холодильный пицца-стол,CAPEX.BAK.012,MANDATORY,APPROVED_STRUCTURE,FORMING_ASSEMBLY_FINISH,,BLOCKED,Only dish aggregate is available: active 19 min / total 90 min; no unsupported split by operation,BAK-12: Стол и надстройка ингредиентов,project design requirement,PLANNED,,,BLOCKED,,BLOCKED_NOT_COMPARABLE,Recipe load cannot be compared to the project requirement without tray/form/GN/load and selected-model data,,,,,,BLOCKED_NO_SELECTED_MODEL_PASSPORT,BLOCKED,BLOCKED,BLOCKED_SELECTED_MODEL_AND_SITE_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019,Operations / Engineering / Procurement,Manual operation mapped to an existing work surface/inventory function.,"Chef/Operations time the operation; Procurement supplies selected-model passport; Engineering confirms asset, placement and connections"
EQM-0004,VKM-001,Маргарита,Пицца,0.1.0-DRAFT,4,нанести соус и сыр,HOT-05B;BAK-12,Индукционная плита 2 зоны;Холодильный пицца-стол,CAPEX.HOT.006;CAPEX.BAK.012,MANDATORY,APPROVED_STRUCTURE,SAUCE_PREP_AND_ASSEMBLY,,BLOCKED,Only dish aggregate is available: active 19 min / total 90 min; no unsupported split by operation,HOT-05B: 2 зоны; BAK-12: Стол и надстройка ингредиентов,project design requirement,PLANNED,,,BLOCKED,,BLOCKED_NOT_COMPARABLE,Recipe load cannot be compared to the project requirement without tray/form/GN/load and selected-model data,,,,,,BLOCKED_NO_SELECTED_MODEL_PASSPORT,BLOCKED,BLOCKED,BLOCKED_SELECTED_MODEL_AND_SITE_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019,Operations / Engineering / Procurement,Manual operation mapped to an existing work surface/inventory function.,"Chef/Operations time the operation; Procurement supplies selected-model passport; Engineering confirms asset, placement and connections"
EQM-0005,VKM-001,Маргарита,Пицца,0.1.0-DRAFT,5,выпечь,BAK-01,Печь для пиццы,CAPEX.BAK.001,MANDATORY,APPROVED_STRUCTURE,THERMAL_PROCESS,,BLOCKED,Only dish aggregate is available: active 19 min / total 90 min; no unsupported split by operation,BAK-01: 4–6 пицц до 33 см; ≥400°C; 20–25/час,project design requirement,PLANNED,1,пицца,ASSUMPTION_RECIPE_UNIT,1,CALCULATED_FROM_PROJECT_MINIMUM,1 pizza / minimum 4 pizzas per load; selected-model passport and actual cycle remain absent,,,,,,BLOCKED_NO_SELECTED_MODEL_PASSPORT,BLOCKED,BLOCKED,BLOCKED_SELECTED_MODEL_AND_SITE_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019,Operations / Engineering / Procurement,Manual operation mapped to an existing work surface/inventory function.,"Chef/Operations time the operation; Procurement supplies selected-model passport; Engineering confirms asset, placement and connections"
EQM-0006,VKM-001,Маргарита,Пицца,0.1.0-DRAFT,6,добавить базилик и масло,BAK-12,Холодильный пицца-стол,CAPEX.BAK.012,MANDATORY,APPROVED_STRUCTURE,FORMING_ASSEMBLY_FINISH,,BLOCKED,Only dish aggregate is available: active 19 min / total 90 min; no unsupported split by operation,BAK-12: Стол и надстройка ингредиентов,project design requirement,PLANNED,,,BLOCKED,,BLOCKED_NOT_COMPARABLE,Recipe load cannot be compared to the project requirement without tray/form/GN/load and selected-model data,,,,,,BLOCKED_NO_SELECTED_MODEL_PASSPORT,BLOCKED,BLOCKED,BLOCKED_SELECTED_MODEL_AND_SITE_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019,Operations / Engineering / Procurement,Manual operation mapped to an existing work surface/inventory function.,"Chef/Operations time the operation; Procurement supplies selected-model passport; Engineering confirms asset, placement and connections"
EQM-0007,VKM-002,Четыре сыра,Пицца,0.1.0-DRAFT,1,Подготовить тесто и соус,BAK-03;BAK-12;HOT-05B,Спиральный тестомес;Холодильный пицца-стол;Индукционная плита 2 зоны,CAPEX.BAK.003;CAPEX.BAK.012;CAPEX.HOT.006,MANDATORY,APPROVED_STRUCTURE,MIXING_SAUCE_AND_PREP,,BLOCKED,Only dish aggregate is available: active 20 min / total 92 min; no unsupported split by operation,BAK-03: Рабочий диапазон 2–25 кг; BAK-12: Стол и надстройка ингредиентов; HOT-05B: 2 зоны,project design requirement,PLANNED,,,BLOCKED,,BLOCKED_NOT_COMPARABLE,Recipe load cannot be compared to the project requirement without tray/form/GN/load and selected-model data,,,,,,BLOCKED_NO_SELECTED_MODEL_PASSPORT,BLOCKED,BLOCKED,BLOCKED_SELECTED_MODEL_AND_SITE_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019,Operations / Engineering / Procurement,Manual operation mapped to an existing work surface/inventory function.,"Chef/Operations time the operation; Procurement supplies selected-model passport; Engineering confirms asset, placement and connections"
EQM-0008,VKM-002,Четыре сыра,Пицца,0.1.0-DRAFT,2,сформовать,BAK-12,Холодильный пицца-стол,CAPEX.BAK.012,MANDATORY,APPROVED_STRUCTURE,FORMING_ASSEMBLY_FINISH,,BLOCKED,Only dish aggregate is available: active 20 min / total 92 min; no unsupported split by operation,BAK-12: Стол и надстройка ингредиентов,project design requirement,PLANNED,,,BLOCKED,,BLOCKED_NOT_COMPARABLE,Recipe load cannot be compared to the project requirement without tray/form/GN/load and selected-model data,,,,,,BLOCKED_NO_SELECTED_MODEL_PASSPORT,BLOCKED,BLOCKED,BLOCKED_SELECTED_MODEL_AND_SITE_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019,Operations / Engineering / Procurement,Manual operation mapped to an existing work surface/inventory function.,"Chef/Operations time the operation; Procurement supplies selected-model passport; Engineering confirms asset, placement and connections"
EQM-0009,VKM-002,Четыре сыра,Пицца,0.1.0-DRAFT,3,распределить четыре сыра,BAK-12,Холодильный пицца-стол,CAPEX.BAK.012,MANDATORY,APPROVED_STRUCTURE,FORMING_ASSEMBLY_FINISH,,BLOCKED,Only dish aggregate is available: active 20 min / total 92 min; no unsupported split by operation,BAK-12: Стол и надстройка ингредиентов,project design requirement,PLANNED,,,BLOCKED,,BLOCKED_NOT_COMPARABLE,Recipe load cannot be compared to the project requirement without tray/form/GN/load and selected-model data,,,,,,BLOCKED_NO_SELECTED_MODEL_PASSPORT,BLOCKED,BLOCKED,BLOCKED_SELECTED_MODEL_AND_SITE_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019,Operations / Engineering / Procurement,Manual operation mapped to an existing work surface/inventory function.,"Chef/Operations time the operation; Procurement supplies selected-model passport; Engineering confirms asset, placement and connections"
EQM-0010,VKM-002,Четыре сыра,Пицца,0.1.0-DRAFT,4,выпечь,BAK-01,Печь для пиццы,CAPEX.BAK.001,MANDATORY,APPROVED_STRUCTURE,THERMAL_PROCESS,,BLOCKED,Only dish aggregate is available: active 20 min / total 92 min; no unsupported split by operation,BAK-01: 4–6 пицц до 33 см; ≥400°C; 20–25/час,project design requirement,PLANNED,1,пицца,ASSUMPTION_RECIPE_UNIT,1,CALCULATED_FROM_PROJECT_MINIMUM,1 pizza / minimum 4 pizzas per load; selected-model passport and actual cycle remain absent,,,,,,BLOCKED_NO_SELECTED_MODEL_PASSPORT,BLOCKED,BLOCKED,BLOCKED_SELECTED_MODEL_AND_SITE_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019,Operations / Engineering / Procurement,Manual operation mapped to an existing work surface/inventory function.,"Chef/Operations time the operation; Procurement supplies selected-model passport; Engineering confirms asset, placement and connections"
