"dish_code","dish_name","version","as_of_date","PEANUT","ASPARTAME","MUSTARD","SULPHITES","GLUTEN","SESAME","LUPIN","MOLLUSC","MILK","NUTS","CRUSTACEAN","FISH","CELERY","SOY","EGG","matrix_status","evidence_ids","method","required_confirmation","cross_contact_status","owner"
"VKM-001","Маргарита","0.1.0","2026-08-03","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","DRAFT_BLOCKED_PENDING_VALIDATION","EVD-0012;EVD-FS-002","Name/category screening only; not a declaration of composition or absence","Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review","UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP","Procurement; Food Safety/PPK owner"
"VKM-002","Четыре сыра","0.1.0","2026-08-03","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","DRAFT_BLOCKED_PENDING_VALIDATION","EVD-0012;EVD-FS-002","Name/category screening only; not a declaration of composition or absence","Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review","UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP","Procurement; Food Safety/PPK owner"
"VKM-003","Грибная с ветчиной","0.1.0","2026-08-03","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","DRAFT_BLOCKED_PENDING_VALIDATION","EVD-0012;EVD-FS-002","Name/category screening only; not a declaration of composition or absence","Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review","UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP","Procurement; Food Safety/PPK owner"
"VKM-004","Пепперони","0.1.0","2026-08-03","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","DRAFT_BLOCKED_PENDING_VALIDATION","EVD-0012;EVD-FS-002","Name/category screening only; not a declaration of composition or absence","Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review","UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP","Procurement; Food Safety/PPK owner"
"VKM-005","Белая чиабатта","0.1.0","2026-08-03","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","DRAFT_BLOCKED_PENDING_VALIDATION","EVD-0012;EVD-FS-002","Name/category screening only; not a declaration of composition or absence","Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review","UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP","Procurement; Food Safety/PPK owner"
"VKM-006","Томатная чиабатта","0.1.0","2026-08-03","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","DRAFT_BLOCKED_PENDING_VALIDATION","EVD-0012;EVD-FS-002","Name/category screening only; not a declaration of composition or absence","Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review","UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP","Procurement; Food Safety/PPK owner"
"VKM-007","Бородинский хлеб","0.1.0","2026-08-03","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","DRAFT_BLOCKED_PENDING_VALIDATION","EVD-0012;EVD-FS-002","Name/category screening only; not a declaration of composition or absence","Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review","UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP","Procurement; Food Safety/PPK owner"
"VKM-008","Бриошь","0.1.0","2026-08-03","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","DRAFT_BLOCKED_PENDING_VALIDATION","EVD-0012;EVD-FS-002","Name/category screening only; not a declaration of composition or absence","Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review","UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP","Procurement; Food Safety/PPK owner"
"VKM-009","Буррата с томатами","0.1.0","2026-08-03","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","DRAFT_BLOCKED_PENDING_VALIDATION","EVD-0012;EVD-FS-002","Name/category screening only; not a declaration of composition or absence","Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review","UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP","Procurement; Food Safety/PPK owner"
"VKM-010","Микс-салат с креветками и яблоком","0.1.0","2026-08-03","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","PRESENT_DRAFT_NAME_BASED","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","UNKNOWN_RECIPE_SKU","DRAFT_BLOCKED_PENDING_VALIDATION","EVD-0012;EVD-FS-002","Name/category screening only; not a declaration of composition or absence","Final recipe including compound ingredients; manufacturer labels/specifications for each SKU; cross-contact statements; production-flow review","UNKNOWN_PENDING_SITE_FLOW_AND_EQUIPMENT_MAP","Procurement; Food Safety/PPK owner"
