"evidence_id","title","issuer","adoption","version_status","effective","url","applicability","status"
"EVD-FS-001","ТР ТС 021/2011 О безопасности пищевой продукции","ЕЭК / Комиссия Таможенного союза","Решение № 880 от 09.12.2011","Официальная страница ЕЭК; изменения перечислены по 22.04.2024 №35, вступили 10.11.2024; проверено 2026-08-03","действует","https://eec.eaeunion.org/comission/department/deptexreg/tr/PischevayaProd.php","Articles 7, 10, 11: safety, manufacturer-set shelf life/storage, hazard analysis, CCP/monitoring/corrective actions, documentation and traceability","FACT"
"EVD-FS-002","ТР ТС 022/2011 Пищевая продукция в части ее маркировки","ЕЭК / Комиссия Таможенного союза","Решение № 881 от 09.12.2011","Официальная страница ЕЭК; изменения №35 от 22.04.2024 вступили 10.11.2024; проверено 2026-08-03","действует","https://eec.eaeunion.org/comission/department/deptexreg/tr/PischevkaMarkirovka.php","Article 4.4(13-17): mandatory declaration of listed allergenic components and possible presence where exclusion is impossible; final applicability depends on packaging/channel","FACT"
"EVD-FS-003","СанПиН 2.3/2.4.3590-20","Главный государственный санитарный врач РФ","Постановление №32 от 27.10.2020; ред. постановления №9 от 22.08.2024","Текущая редакция действует на дату среза; изменение действует с 01.03.2025; проверено 2026-08-03","до 31.08.2026 включительно; заменяется с 01.09.2026","https://publication.pravo.gov.ru/document/view/0001202011120001","Current РФ sanitary requirements for public catering; exact site/dish procedures require PPK/HACCP applicability review","FACT"
"EVD-FS-004","Изменения в СанПиН 2.3/2.4.3590-20","Главный государственный санитарный врач РФ","Постановление №9 от 22.08.2024; рег. №80757","Официально опубликовано 26.12.2024; вступило 01.03.2025; проверено 2026-08-03","до замены СанПиН 3590-20","https://publication.pravo.gov.ru/document/0001202412260029","Forms part of current edition on cut-off date","FACT"
"EVD-FS-005","СанПиН 2.3/2.4.4282-26","Главный государственный санитарный врач РФ","Постановление №18 от 02.06.2026; рег. №86854","Официально опубликовано; проверено 2026-08-03","вступает 01.09.2026; действует до 01.09.2032; НЕ действует на дату среза","https://publication.pravo.gov.ru/document/0001202606020084","Mandatory transition review before any operation/release on or after 01.09.2026; does not replace current law as of 03.08.2026","MONITOR"
"EVD-FS-006","ТР ЕАЭС 040/2016 О безопасности рыбы и рыбной продукции","ЕЭК","Решение Совета ЕЭК №162 от 18.10.2016","Официальная страница ЕЭК; проверено 2026-08-03","действует с 01.09.2017","https://eec.eaeunion.org/comission/department/deptexreg/tr/TR_EEU_040_2016.php","VKM-010,013,014,019,020 and fish/seafood compound ingredients; source documents and exact process requirements remain SKU-specific","FACT"
"EVD-FS-007","ТР ТС 033/2013 О безопасности молока и молочной продукции","ЕЭК","Решение Совета ЕЭК №67 от 09.10.2013","Официальная страница ЕЭК; проверено 2026-08-03","действует с 01.05.2014","https://eec.eaeunion.org/comission/department/deptexreg/tr/tr-ts-033.php","Dairy ingredients/SKUs identified by final recipes","FACT"
"EVD-FS-008","ТР ТС 034/2013 О безопасности мяса и мясной продукции","ЕЭК","Решение Совета ЕЭК №68 от 09.10.2013","Официальная страница ЕЭК; changes listed through 2023/2024; проверено 2026-08-03","действует с 01.05.2014","https://eec.eaeunion.org/comission/department/deptexreg/tr/tr-ts-034.php","Ham, pepperoni, roast beef, burger/minions and other meat SKUs identified by final recipes","FACT"
"EVD-FS-009","ТР ТС 029/2012 Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств","ЕЭК","Решение Совета ЕЭК №58 от 20.07.2012","Официальная страница ЕЭК; изменения №84 от 29.08.2023 вступили 27.02.2024; проверено 2026-08-03","действует","https://eec.eaeunion.org/comission/department/deptexreg/tr/bezopPischDobavok.php","Compound ingredients, marinades, sauces, bakery improvers/additives after SKU selection","FACT"
"EVD-FS-010","Правила оказания услуг общественного питания","Правительство РФ","Постановление №1515 от 21.09.2020","Официальное опубликование; applicability/current-term legal review required before launch; checked 2026-08-03","requires final legal applicability check","https://publication.pravo.gov.ru/Document/View/0001202009280045","Consumer information and service context; does not substitute food labeling and technical-regulation requirements","MONITOR"
