record_id,dish_code,recipe_version,draft_gross_total,draft_net_total,projected_output_total,draft_target_output,unit,projected_preparation_loss,projected_process_loss,projected_total_loss,reconciled_output,arithmetic_check,projected_yield_ratio,parameter_status,evidence_ids,calculation_method,source_date,confirmation_owner,blocker_ids,validation_action
MB-001,VKM-001,0.1.0-DRAFT,479.2,478,450,450,г,1.2,28,29.2,450,PASS_DRAFT_ARITHMETIC,0.939,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-002,VKM-002,0.1.0-DRAFT,508.2,508,480,480,г,0.2,28,28.2,480,PASS_DRAFT_ARITHMETIC,0.945,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-003,VKM-003,0.1.0-DRAFT,535.2,531,500,500,г,4.2,31,35.2,500,PASS_DRAFT_ARITHMETIC,0.934,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-004,VKM-004,0.1.0-DRAFT,528.2,528,500,500,г,0.2,28,28.2,500,PASS_DRAFT_ARITHMETIC,0.947,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-005,VKM-005,0.1.0-DRAFT,111,111,100,100,г,0,11,11,100,PASS_DRAFT_ARITHMETIC,0.901,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-006,VKM-006,0.1.0-DRAFT,112,112,100,100,г,0,12,12,100,PASS_DRAFT_ARITHMETIC,0.893,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-007,VKM-007,0.1.0-DRAFT,395,395,350,350,г,0,45,45,350,PASS_DRAFT_ARITHMETIC,0.886,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-008,VKM-008,0.1.0-DRAFT,90,90,85,85,г,0,5,5,85,PASS_DRAFT_ARITHMETIC,0.944,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-009,VKM-009,0.1.0-DRAFT,314,300,300,300,г,14,0,14,300,PASS_DRAFT_ARITHMETIC,0.955,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-010,VKM-010,0.1.0-DRAFT,321,293,280,280,г,28,13,41,280,PASS_DRAFT_ARITHMETIC,0.872,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-011,VKM-011,0.1.0-DRAFT,298,270,270,270,г,28,0,28,270,PASS_DRAFT_ARITHMETIC,0.906,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-012,VKM-012,0.1.0-DRAFT,293,260,240,240,г,33,20,53,240,PASS_DRAFT_ARITHMETIC,0.819,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-013,VKM-013,0.1.0-DRAFT,146,130,130,130,г,16,0,16,130,PASS_DRAFT_ARITHMETIC,0.89,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-014,VKM-014,0.1.0-DRAFT,302,270,250,250,г,32,20,52,250,PASS_DRAFT_ARITHMETIC,0.828,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-015,VKM-015,0.1.0-DRAFT,152.3,120,120,120,г,32.3,0,32.3,120,PASS_DRAFT_ARITHMETIC,0.788,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-016,VKM-016,0.1.0-DRAFT,206,185,180,180,г,21,5,26,180,PASS_DRAFT_ARITHMETIC,0.874,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-017,VKM-017,0.1.0-DRAFT,193.5,182,180,180,г,11.5,2,13.5,180,PASS_DRAFT_ARITHMETIC,0.93,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-018,VKM-018,0.1.0-DRAFT,483,448,400,400,г,35,48,83,400,PASS_DRAFT_ARITHMETIC,0.828,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-019,VKM-019,0.1.0-DRAFT,341,322,300,300,г,19,22,41,300,PASS_DRAFT_ARITHMETIC,0.88,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-020,VKM-020,0.1.0-DRAFT,417,395,360,360,г,22,35,57,360,PASS_DRAFT_ARITHMETIC,0.863,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-021,VKM-021,0.1.0-DRAFT,391,370,350,350,г,21,20,41,350,PASS_DRAFT_ARITHMETIC,0.895,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-022,VKM-022,0.1.0-DRAFT,341.5,325,300,300,г,16.5,25,41.5,300,PASS_DRAFT_ARITHMETIC,0.878,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-023,VKM-023,0.1.0-DRAFT,185,165,150,150,г,20,15,35,150,PASS_DRAFT_ARITHMETIC,0.811,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
MB-024,VKM-024,0.1.0-DRAFT,187,187,150,150,г,0,37,37,150,PASS_DRAFT_ARITHMETIC,0.802,CALCULATED,EVD-0005;EVD-0007;EVD-0008,SUM(recipe projected contributions); loss = gross - projected output; factual yield remains blocked,2026-08-03,Chef,GAP-002;GAP-005,"Взвесить каждую закладку, отходы, промежуточные и конечный выход; заменить проектные коэффициенты фактом только через Change Request"
