code,section,parameter,value,unit,status,source
START_DATE,Проект,Начало операционной деятельности,2026-09-01,дата,Подтверждено,Пользователь
END_DATE,Проект,Окончание операционного года,2027-08-31,дата,Расчёт,12 месяцев от старта
AREA,Объект,"Площадь помещений №19, №20, №39",80.9,м²,Подтверждено,"Схема помещений №19, №20, №39; https://drive.google.com/drive/folders/1VLrgg-vLogvAVUFPkVmkNqlbE9rJ0BNx?usp=drive_link"
RENT_RATE,Объект,Ставка аренды,1000,руб./м²/мес.,Подтверждено,Пользователь
RENT_MONTH,Объект,Арендный платёж в месяц,80900,руб./мес.,Расчёт,Площадь × ставка
SEATS,Объект,Расчётное число посадочных мест,20,мест,Подтверждено,Пользователь
MAX_SEATS,Объект,Максимальное число мест,26,мест,Подтверждено,Пользователь
USN_RATE,Налоги,УСН «Доходы минус расходы»,0.15,%,Подтверждено,Пользователь; справочно: https://www.nalog.gov.ru/rn77/taxation/taxes/usn/
MIN_TAX_RATE,Налоги,Минимальный налог УСН,0.01,%,Методика,https://www.nalog.gov.ru/rn77/taxation/taxes/usn/
ACQ_RATE,Налоги и комиссии,Эквайринг,0.015,% выручки,Подтверждено,Пользователь
VAT_RATE,Налоги,НДС в модели,0,%,Требует решения,Пока 0%; проверить: https://www.nalog.gov.ru/rn77/taxation/taxes/nds_usn/
SPOILAGE_RATE,Себестоимость,Списания и порча,0.015,% food cost,Допущение,Рабочий резерв
INV_DIFF_RATE,Себестоимость,Инвентаризационные расхождения,0.005,% food cost,Допущение,Рабочий резерв
ALA_CHECK,А-ля карт,Средний чек на гостя,1000,руб./гость,Подтверждено,Пользователь
ALA_MON_THU,А-ля карт,Гостей понедельник–четверг,32,гостей/день,Подтверждено,Пользователь
ALA_FRI,А-ля карт,Гостей в пятницу,45,гостей/день,Подтверждено,Пользователь
ALA_SAT,А-ля карт,Гостей в субботу,80,гостей/день,Подтверждено,Пользователь
ALA_SUN,А-ля карт,Гостей в воскресенье,70,гостей/день,Подтверждено,Пользователь
ALA_HOL,А-ля карт,Гостей в праздничный день,70,гостей/день,Подтверждено,Как воскресенье
ALA_COGS,А-ля карт,Food cost,0.3,% выручки,Подтверждено,Пользователь
ALA_CASHLESS,А-ля карт,Доля безналичной оплаты,1,%,Допущение,До уточнения — 100%
LUNCH_GUESTS,Бизнес-ланч,Гостей в рабочий день,40,гостей/день,Подтверждено,Пользователь
LUNCH_DISCOUNT,Бизнес-ланч,Скидка к а-ля карт,0.25,%,Подтверждено,Пользователь
LUNCH_CHECK,Бизнес-ланч,Средний чек после скидки,750,руб./гость,Расчёт,Средний чек а-ля карт × (1 − скидка)
LUNCH_COGS,Бизнес-ланч,Эффективный food cost,0.39999999999999997,% выручки,Расчёт,30% / (1 − 25%)
LUNCH_CASHLESS,Бизнес-ланч,Доля безналичной оплаты,1,%,Допущение,До уточнения — 100%
DELIV_CHECK,Доставка,Средний чек,1200,руб./заказ,Подтверждено,Пользователь
DELIV_WEEKDAY,Доставка,Заказов в будний день,15,заказов/день,Подтверждено,Пользователь
DELIV_WEEKEND,Доставка,Заказов в субботу/воскресенье,30,заказов/день,Подтверждено,Пользователь
DELIV_HOL,Доставка,Заказов в праздничный день,30,заказов/день,Допущение,Как выходной
DELIV_COGS,Доставка,Food cost,0.3,% выручки,Подтверждено,Пользователь
DELIV_COURIER,Доставка,Оплата доставщику,200,руб./заказ,Подтверждено,Пользователь
DELIV_PACK,Доставка,Упаковка,65,руб./заказ,Допущение,Середина диапазона 50–80 руб.; заменить на факт
DELIV_CASHLESS,Доставка,Доля безналичной оплаты,1,%,Допущение,До уточнения — 100%
PICK_CHECK,Самовывоз,Средний чек,400,руб./заказ,Подтверждено,Пользователь
PICK_ORDERS,Самовывоз,Заказов в календарный день,12,заказов/день,Подтверждено,Пользователь
PICK_DISCOUNT,Самовывоз,Скидка к а-ля карт,0.3,%,Подтверждено,Пользователь
PICK_COGS,Самовывоз,Эффективный food cost,0.4285714285714286,% выручки,Расчёт,30% / (1 − 30%)
