CHECK_ID,CHECK_GROUP,DESCRIPTION,FORMULA_OR_RULE,ACTUAL,EXPECTED,DIFFERENCE,TOLERANCE,STATUS,FIX_LOCATION,NOTES
CHK.INV.001,Коды,INV_CODE уникальны,COUNT(INV_CODE)=COUNT(UNIQUE(INV_CODE)),,0 duplicates,,0,,CAPEX_QUANTITY_SPECIFICATION,
CHK.INV.002,Коды,У каждой строки заполнен CURRENT_FUNC_CODE,blank count = 0,,0 blanks,,0,,CAPEX_QUANTITY_SPECIFICATION,
CHK.INV.003,Классификация,Направление допустимо,CAFE/BANQUETS/BAR/SHARED,,100% valid,,0,,CAPEX_QUANTITY_SPECIFICATION,
CHK.INV.004,Классификация,Статус допустим,MANDATORY/CONDITIONAL/EXCLUDED/ENGINEERED/DATA_REQUIRED,,100% valid,,0,,CAPEX_QUANTITY_SPECIFICATION,
CHK.CAPEX.001,CAPEX,EXCLUDED имеют BASE_SCENARIO_QTY=0,SUM excluded base qty,,0,,0,,CAPEX_QUANTITY_SPECIFICATION,
CHK.CAPEX.002,CAPEX,CONDITIONAL имеют BASE_SCENARIO_QTY=0,SUM conditional base qty,,0,,0,,CAPEX_QUANTITY_SPECIFICATION,
CHK.CAPEX.003,CAPEX,Текущие цены не заполнены,COUNT current price,,0,,0,,RFQ_PRICE_COLLECTION_TEMPLATE,
CHK.CAPEX.004,CAPEX,RFQ имеют статус NOT_REQUESTED,invalid RFQ statuses,,0,,0,,RFQ_PRICE_COLLECTION_TEMPLATE,
CHK.TBL.001,Посуда,Исторические оценки дают 372013,254437+117576,,372013,,0,,CAPEX_QUANTITY_SPECIFICATION,Не является новой закупочной ценой
CHK.GATE.001,Шлюзы,Каждая условная позиция имеет GATE_ID,conditional without gate,,0,,0,,CONDITIONAL_EQUIPMENT_GATES,
CHK.GATE.002,Шлюзы,Решение по умолчанию пусто,nonblank decisions,,0,,0,,CONDITIONAL_EQUIPMENT_GATES,
CHK.WC.001,Оборотный капитал,Производственный резерв отмечен,blank reserve flags,,0,,0,,WORKING_CAPITAL_INPUT_TEMPLATE,
CHK.WC.002,Оборотный капитал,Итоги не введены вручную,derived fields are formulas,,100% formulas,,0,,WORKING_CAPITAL_INPUT_TEMPLATE,
CHK.CF.001,Cash Flow,13 недель на контур,rows per contour,,13,,0,,CASH_FLOW_13W_INPUT_TEMPLATE,
CHK.CF.002,Cash Flow,Начальный остаток переносится,opening[t+1]=closing[t],,100%,,0,,CASH_FLOW_13W_INPUT_TEMPLATE,
CHK.CF.003,Cash Flow,Резерв равен дефициту,reserve draw=liquidity gap,,100%,,0,,CASH_FLOW_13W_INPUT_TEMPLATE,
CHK.CF.004,Cash Flow,Два контура присутствуют,CAFE and BANQUETS,,2,,0,,CASH_FLOW_13W_INPUT_TEMPLATE,
CHK.SOURCE.001,Источники,Исторический DOCX не опубликован,source path not in repo,,TRUE,,0,,LEGACY_EQUIPMENT_CODE_MAPPING,
CHK.SOURCE.002,Источники,SHA-256 заполнен,source hash present,,1 hash,,0,,LEGACY_EQUIPMENT_CODE_MAPPING,
CHK.MODEL.001,Границы,S04 не изменена,git diff excludes models/scenarios/S04,,TRUE,,0,,Git diff,
