plan_id,dish_code,dish_name,recipe_version,draft_trial_batch_size,batch_unit,draft_target_output_per_unit,output_unit,parameter_status,evidence_ids,execution_owner,blocker_ids,input_measurement,intermediate_measurement,final_measurement,time_measurement,sensory_record,plating_and_channel_check,safety_dependency,execution_status,next_action
CCP-001,VKM-001,Маргарита,0.1.0-DRAFT,3,порция/изделие,450,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-002,VKM-002,Четыре сыра,0.1.0-DRAFT,3,порция/изделие,480,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-003,VKM-003,Грибная с ветчиной,0.1.0-DRAFT,3,порция/изделие,500,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-004,VKM-004,Пепперони,0.1.0-DRAFT,3,порция/изделие,500,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-005,VKM-005,Белая чиабатта,0.1.0-DRAFT,5,порция/изделие,100,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-006,VKM-006,Томатная чиабатта,0.1.0-DRAFT,5,порция/изделие,100,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-007,VKM-007,Бородинский хлеб,0.1.0-DRAFT,5,порция/изделие,350,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-008,VKM-008,Бриошь,0.1.0-DRAFT,5,порция/изделие,85,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-009,VKM-009,Буррата с томатами,0.1.0-DRAFT,5,порция/изделие,300,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-010,VKM-010,Микс-салат с креветками и яблоком,0.1.0-DRAFT,5,порция/изделие,280,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
