"dish_code","dish_name","version","as_of_date","control_id","stage","control_class","hazard","control_parameter","critical_limit","monitoring","corrective_action","evidence_ids","status","blocker","owner"
"VKM-001","Маргарита","0.1.0","2026-08-03","CCP-VKM-001-01","RECEIVING","OPRP_CANDIDATE","unacceptable/undocumented raw material; temperature abuse; lot mismatch","documents, lot, integrity, manufacturer storage/transport conditions and receipt measurement where applicable","null","receiving record and document match; calibrated measurement method to be approved","quarantine/reject; document deviation; prevent use until disposition","EVD-FS-001;EVD-FS-003;EVD-FS-007","BLOCKED_PENDING_VALIDATION","SBL-VKM-001-01","Procurement; Food Safety/PPK owner"
"VKM-001","Маргарита","0.1.0","2026-08-03","CCP-VKM-001-02","PREPARATION_AND_CROSS_CONTACT","PRP_OR_OPRP_TO_BE_DETERMINED","microbiological/allergen/physical cross-contamination","zoning, separation, cleaning verification, utensil/equipment changeover, hand hygiene","null","site HACCP/PPK checklist; recipe/allergen changeover record","stop; isolate affected food; re-clean; assess disposition; record and retrain","EVD-FS-001;EVD-FS-002","BLOCKED_PENDING_VALIDATION","SBL-VKM-001-02","Food Safety/PPK owner; Operations"
"VKM-001","Маргарита","0.1.0","2026-08-03","CCP-VKM-001-03","PROCESS","CCP_CANDIDATE_NOT_CONFIRMED","raw-material and process-dependent microbiological hazards; survival/growth if the validated process is absent","validated heat-treatment, holding and/or immediate-service limits by final process","null","method/frequency/equipment cannot be fixed before recipe and validation","do not release batch when validated limit is absent or deviation occurs; isolate and document disposition","EVD-0013;EVD-0014;EVD-FS-001","BLOCKED_PENDING_VALIDATION","SBL-VKM-001-03","Food Safety/PPK owner; Chef; Operations"
"VKM-001","Маргарита","0.1.0","2026-08-03","CCP-VKM-001-04","STORAGE_HOLDING_SERVICE","OPRP_CANDIDATE","microbial growth/toxin formation or quality/safety loss during storage, holding, delivery or service","manufacturer/validated storage conditions, time and shelf life by final process/channel","null","batch label and storage/holding record; exact method pending validation","block release; isolate expired/untraceable/deviating product; documented disposal or justified disposition","EVD-0014;EVD-FS-001;EVD-FS-003;EVD-FS-007","BLOCKED_PENDING_VALIDATION","SBL-VKM-001-04","Food Safety/PPK owner; Operations"
"VKM-001","Маргарита","0.1.0","2026-08-03","CCP-VKM-001-05","TRACEABILITY_AND_CONSUMER_INFORMATION","PRP","untraceable ingredient/finished batch or incomplete allergen information","recipe version, SKU and lot links, production time, responsible person, channel label/allergen statement, recall/disposition record","100% required traceability fields completed; allergen absence claims prohibited until evidence complete","record review before release and periodic traceability exercise","block release; restore traceability if evidence permits; otherwise dispose/recall per approved procedure","EVD-0012;EVD-0015;EVD-FS-001;EVD-FS-002","DRAFT","SBL-VKM-001-05","Food Safety/PPK owner; Operations"
"VKM-002","Четыре сыра","0.1.0","2026-08-03","CCP-VKM-002-01","RECEIVING","OPRP_CANDIDATE","unacceptable/undocumented raw material; temperature abuse; lot mismatch","documents, lot, integrity, manufacturer storage/transport conditions and receipt measurement where applicable","null","receiving record and document match; calibrated measurement method to be approved","quarantine/reject; document deviation; prevent use until disposition","EVD-FS-001;EVD-FS-003;EVD-FS-007","BLOCKED_PENDING_VALIDATION","SBL-VKM-002-01","Procurement; Food Safety/PPK owner"
"VKM-002","Четыре сыра","0.1.0","2026-08-03","CCP-VKM-002-02","PREPARATION_AND_CROSS_CONTACT","PRP_OR_OPRP_TO_BE_DETERMINED","microbiological/allergen/physical cross-contamination","zoning, separation, cleaning verification, utensil/equipment changeover, hand hygiene","null","site HACCP/PPK checklist; recipe/allergen changeover record","stop; isolate affected food; re-clean; assess disposition; record and retrain","EVD-FS-001;EVD-FS-002","BLOCKED_PENDING_VALIDATION","SBL-VKM-002-02","Food Safety/PPK owner; Operations"
"VKM-002","Четыре сыра","0.1.0","2026-08-03","CCP-VKM-002-03","PROCESS","CCP_CANDIDATE_NOT_CONFIRMED","raw-material and process-dependent microbiological hazards; survival/growth if the validated process is absent","validated heat-treatment, holding and/or immediate-service limits by final process","null","method/frequency/equipment cannot be fixed before recipe and validation","do not release batch when validated limit is absent or deviation occurs; isolate and document disposition","EVD-0013;EVD-0014;EVD-FS-001","BLOCKED_PENDING_VALIDATION","SBL-VKM-002-03","Food Safety/PPK owner; Chef; Operations"
"VKM-002","Четыре сыра","0.1.0","2026-08-03","CCP-VKM-002-04","STORAGE_HOLDING_SERVICE","OPRP_CANDIDATE","microbial growth/toxin formation or quality/safety loss during storage, holding, delivery or service","manufacturer/validated storage conditions, time and shelf life by final process/channel","null","batch label and storage/holding record; exact method pending validation","block release; isolate expired/untraceable/deviating product; documented disposal or justified disposition","EVD-0014;EVD-FS-001;EVD-FS-003;EVD-FS-007","BLOCKED_PENDING_VALIDATION","SBL-VKM-002-04","Food Safety/PPK owner; Operations"
"VKM-002","Четыре сыра","0.1.0","2026-08-03","CCP-VKM-002-05","TRACEABILITY_AND_CONSUMER_INFORMATION","PRP","untraceable ingredient/finished batch or incomplete allergen information","recipe version, SKU and lot links, production time, responsible person, channel label/allergen statement, recall/disposition record","100% required traceability fields completed; allergen absence claims prohibited until evidence complete","record review before release and periodic traceability exercise","block release; restore traceability if evidence permits; otherwise dispose/recall per approved procedure","EVD-0012;EVD-0015;EVD-FS-001;EVD-FS-002","DRAFT","SBL-VKM-002-05","Food Safety/PPK owner; Operations"
"VKM-003","Грибная с ветчиной","0.1.0","2026-08-03","CCP-VKM-003-01","RECEIVING","OPRP_CANDIDATE","unacceptable/undocumented raw material; temperature abuse; lot mismatch","documents, lot, integrity, manufacturer storage/transport conditions and receipt measurement where applicable","null","receiving record and document match; calibrated measurement method to be approved","quarantine/reject; document deviation; prevent use until disposition","EVD-FS-001;EVD-FS-003;EVD-FS-007;EVD-FS-008","BLOCKED_PENDING_VALIDATION","SBL-VKM-003-01","Procurement; Food Safety/PPK owner"
"VKM-003","Грибная с ветчиной","0.1.0","2026-08-03","CCP-VKM-003-02","PREPARATION_AND_CROSS_CONTACT","PRP_OR_OPRP_TO_BE_DETERMINED","microbiological/allergen/physical cross-contamination","zoning, separation, cleaning verification, utensil/equipment changeover, hand hygiene","null","site HACCP/PPK checklist; recipe/allergen changeover record","stop; isolate affected food; re-clean; assess disposition; record and retrain","EVD-FS-001;EVD-FS-002","BLOCKED_PENDING_VALIDATION","SBL-VKM-003-02","Food Safety/PPK owner; Operations"
"VKM-003","Грибная с ветчиной","0.1.0","2026-08-03","CCP-VKM-003-03","PROCESS","CCP_CANDIDATE_NOT_CONFIRMED","raw-material and process-dependent microbiological hazards; survival/growth if the validated process is absent","validated heat-treatment, holding and/or immediate-service limits by final process","null","method/frequency/equipment cannot be fixed before recipe and validation","do not release batch when validated limit is absent or deviation occurs; isolate and document disposition","EVD-0013;EVD-0014;EVD-FS-001","BLOCKED_PENDING_VALIDATION","SBL-VKM-003-03","Food Safety/PPK owner; Chef; Operations"
"VKM-003","Грибная с ветчиной","0.1.0","2026-08-03","CCP-VKM-003-04","STORAGE_HOLDING_SERVICE","OPRP_CANDIDATE","microbial growth/toxin formation or quality/safety loss during storage, holding, delivery or service","manufacturer/validated storage conditions, time and shelf life by final process/channel","null","batch label and storage/holding record; exact method pending validation","block release; isolate expired/untraceable/deviating product; documented disposal or justified disposition","EVD-0014;EVD-FS-001;EVD-FS-003;EVD-FS-007;EVD-FS-008","BLOCKED_PENDING_VALIDATION","SBL-VKM-003-04","Food Safety/PPK owner; Operations"
"VKM-003","Грибная с ветчиной","0.1.0","2026-08-03","CCP-VKM-003-05","TRACEABILITY_AND_CONSUMER_INFORMATION","PRP","untraceable ingredient/finished batch or incomplete allergen information","recipe version, SKU and lot links, production time, responsible person, channel label/allergen statement, recall/disposition record","100% required traceability fields completed; allergen absence claims prohibited until evidence complete","record review before release and periodic traceability exercise","block release; restore traceability if evidence permits; otherwise dispose/recall per approved procedure","EVD-0012;EVD-0015;EVD-FS-001;EVD-FS-002","DRAFT","SBL-VKM-003-05","Food Safety/PPK owner; Operations"
"VKM-004","Пепперони","0.1.0","2026-08-03","CCP-VKM-004-01","RECEIVING","OPRP_CANDIDATE","unacceptable/undocumented raw material; temperature abuse; lot mismatch","documents, lot, integrity, manufacturer storage/transport conditions and receipt measurement where applicable","null","receiving record and document match; calibrated measurement method to be approved","quarantine/reject; document deviation; prevent use until disposition","EVD-FS-001;EVD-FS-003;EVD-FS-007","BLOCKED_PENDING_VALIDATION","SBL-VKM-004-01","Procurement; Food Safety/PPK owner"
"VKM-004","Пепперони","0.1.0","2026-08-03","CCP-VKM-004-02","PREPARATION_AND_CROSS_CONTACT","PRP_OR_OPRP_TO_BE_DETERMINED","microbiological/allergen/physical cross-contamination","zoning, separation, cleaning verification, utensil/equipment changeover, hand hygiene","null","site HACCP/PPK checklist; recipe/allergen changeover record","stop; isolate affected food; re-clean; assess disposition; record and retrain","EVD-FS-001;EVD-FS-002","BLOCKED_PENDING_VALIDATION","SBL-VKM-004-02","Food Safety/PPK owner; Operations"
"VKM-004","Пепперони","0.1.0","2026-08-03","CCP-VKM-004-03","PROCESS","CCP_CANDIDATE_NOT_CONFIRMED","raw-material and process-dependent microbiological hazards; survival/growth if the validated process is absent","validated heat-treatment, holding and/or immediate-service limits by final process","null","method/frequency/equipment cannot be fixed before recipe and validation","do not release batch when validated limit is absent or deviation occurs; isolate and document disposition","EVD-0013;EVD-0014;EVD-FS-001","BLOCKED_PENDING_VALIDATION","SBL-VKM-004-03","Food Safety/PPK owner; Chef; Operations"
"VKM-004","Пепперони","0.1.0","2026-08-03","CCP-VKM-004-04","STORAGE_HOLDING_SERVICE","OPRP_CANDIDATE","microbial growth/toxin formation or quality/safety loss during storage, holding, delivery or service","manufacturer/validated storage conditions, time and shelf life by final process/channel","null","batch label and storage/holding record; exact method pending validation","block release; isolate expired/untraceable/deviating product; documented disposal or justified disposition","EVD-0014;EVD-FS-001;EVD-FS-003;EVD-FS-007","BLOCKED_PENDING_VALIDATION","SBL-VKM-004-04","Food Safety/PPK owner; Operations"
"VKM-004","Пепперони","0.1.0","2026-08-03","CCP-VKM-004-05","TRACEABILITY_AND_CONSUMER_INFORMATION","PRP","untraceable ingredient/finished batch or incomplete allergen information","recipe version, SKU and lot links, production time, responsible person, channel label/allergen statement, recall/disposition record","100% required traceability fields completed; allergen absence claims prohibited until evidence complete","record review before release and periodic traceability exercise","block release; restore traceability if evidence permits; otherwise dispose/recall per approved procedure","EVD-0012;EVD-0015;EVD-FS-001;EVD-FS-002","DRAFT","SBL-VKM-004-05","Food Safety/PPK owner; Operations"
"VKM-005","Белая чиабатта","0.1.0","2026-08-03","CCP-VKM-005-01","RECEIVING","OPRP_CANDIDATE","unacceptable/undocumented raw material; temperature abuse; lot mismatch","documents, lot, integrity, manufacturer storage/transport conditions and receipt measurement where applicable","null","receiving record and document match; calibrated measurement method to be approved","quarantine/reject; document deviation; prevent use until disposition","EVD-FS-001;EVD-FS-003","BLOCKED_PENDING_VALIDATION","SBL-VKM-005-01","Procurement; Food Safety/PPK owner"
