GATE_ID,INV_CODE,CURRENT_FUNC_CODE,EQUIPMENT_NAME,CURRENT_STATUS,TEST_OR_EVENT,TEST_VOLUME,MEASURED_PARAMETER,ACTIVATION_THRESHOLD,EVIDENCE_DOCUMENT,RESPONSIBLE,APPROVER,DECISION,DECISION_DATE,RESULTING_QTY,MODEL_UPDATE_REQUIRED
GATE-HOT-04,CAPEX.HOT.004,HOT-04,Второй WOK,CONDITIONAL,Стресс-тест гарниров,Пиковый час,Порции/час и ожидание,>5 порций/час или ожидание >5 минут,Протокол стресс-теста,Кухня,Центр инвестиций,,,0,YES
GATE-HOT-10,CAPEX.HOT.011,HOT-10,Увеличенный blast chiller,CONDITIONAL,Совмещённый банкетный тест,Полная партия,Масса за безопасный цикл,Базовые 10 кг не проходят одним циклом,Протокол охлаждения,Кухня / ППК,Центр инвестиций,,,0,YES
GATE-HOT-11,CAPEX.HOT.012,HOT-11,Третья тепловая камера,CONDITIONAL,Совмещённый банкет,21 горячая тарелка,Время и конфликт режимов,Две камеры не обеспечивают 21 тарелку за 10–15 минут,Протокол банкета,Кухня / Инженерия,Центр инвестиций,,,0,YES
GATE-BAK-08,CAPEX.BAK.008,BAK-08,Вторая пекарская печь,CONDITIONAL,Суточная диаграмма загрузки,Пиковый день + банкет,Доступные печные окна,Обязательные партии не помещаются в окна,Диаграмма и протокол,Кухня,Центр инвестиций,,,0,YES
GATE-BAK-09,CAPEX.BAK.009,BAK-09,Тестораскатка,CONDITIONAL,Три контрольные серии,Утверждённые партии,Человеко-минуты,Ручная операция нарушает график или лимит труда,Хронометраж,Кухня / HR,Центр инвестиций,,,0,YES
GATE-CLD-08,CAPEX.CLD.008,CLD-08,Слайсер,CONDITIONAL,Хронометраж подготовки,КАФЕ + банкет,Человеко-минуты,Ручная нарезка не помещается в Т−1/смену,Хронометраж,Кухня / HR,Центр инвестиций,,,0,YES
GATE-CLD-09,CAPEX.CLD.009,CLD-09,Овощерезка,CONDITIONAL,Хронометраж подготовки,КАФЕ + банкет,Человеко-минуты,Ручная подготовка нарушает план выпуска,Хронометраж,Кухня / HR,Центр инвестиций,,,0,YES
GATE-STO-13,CAPEX.STO.013,STO-13,Дополнительные холодильники,CONDITIONAL,Расчёт упаковок и контрольный банкет,Максимальный запас,Коэффициент заполнения,>65% холодильники или >60% морозильники,Расчёт ёмкости,Закупки / Проектировщик,Центр инвестиций,,,0,YES
GATE-ENG-06,CAPEX.ENG.006,ENG-06,Управление нагрузкой,CONDITIONAL,Утверждённый энергопроект,Пиковая нагрузка,кВт и критичность,Дефицит мощности при возможности разнести некритичные нагрузки,Энергобаланс,Инженерия,Центр инвестиций,,,0,YES
GATE-WSH-01,CAPEX.WSH.001,WSH-01,Увеличение моечного контура,CONDITIONAL,Тест возврата посуды,25 смешанных кассет/час,Кассеты/час,Поток не обработан в нормативный час,Протокол мойки,Операции,Центр инвестиций,,,0,YES
GATE-COM-05,CAPEX.COM.005,COM-05,Стартовые запасные части,CONDITIONAL,Выбор моделей,Все критические единицы,Сервисный риск,Производитель требует стартовый комплект или срок поставки запчастей критичен,Паспорт/сервисное письмо,Закупки / Инженерия,Центр инвестиций,,,0,YES
