economic_blocker_id,scope,blocker_type,reason,missing_input,owner,impact,next_action,control_point,status
ECB-001,VKM-001,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-005;ING-011;VSF-001;VSF-002,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-002,VKM-002,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-005;ING-013;VSF-001;VSF-002,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-003,VKM-003,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-005;ING-014;ING-015;ING-016;VSF-001;VSF-002,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-004,VKM-004,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-005;ING-017;VSF-001;VSF-002,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-005,VKM-005,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: VSF-003,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-006,VKM-006,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: VSF-004,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-007,VKM-007,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: VSF-005,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-008,VKM-008,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: VSF-006,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-009,VKM-009,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-005;ING-031;ING-034;VSF-007,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-010,VKM-010,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-035;ING-037;ING-038;ING-042;VSF-008,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
