record_id,proposed_vsf_code,candidate_name,linked_dish_codes,reason_for_separation,reuse_candidate,recipe_version,candidate_status,evidence_ids,method_or_source_note,source_date,confirmation_owner,blocker_ids,next_action,limitation
SFC-001,VSF-001,Тесто для пиццы базовое,VKM-001;VKM-002;VKM-003;VKM-004,Многократно используемое тесто,Да,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-002,VSF-002,Соус томатный для пиццы,VKM-001;VKM-002;VKM-003;VKM-004,Многократно используемый соус,Да,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-003,VSF-003,Тесто чиабатты белой,VKM-005,Длительный хлебный процесс,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-004,VSF-004,Тесто чиабатты томатной,VKM-006,Длительный хлебный процесс,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-005,VSF-005,Тесто/заварка бородинского хлеба,VKM-007,Сложный вложенный хлебный процесс,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-006,VSF-006,Тесто бриоши,VKM-008;VKM-021,Повторное использование изделия в бургере,Да,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-007,VSF-007,Заправка к буррате,VKM-009,Отдельно дозируемая заправка,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-008,VSF-008,Заправка к салату с креветками,VKM-010,Отдельно дозируемая заправка,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-009,VSF-009,Заправка греческая,VKM-011,Отдельно дозируемая заправка,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-010,VSF-010,Отварные овощи для винегрета,VKM-012,Групповая подготовка и охлаждение,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
