dish_code,dish_name,channel,target_cogs_ratio,kitchen_cogs_rub,packaging_rub,aggregator_commission_rate,tax_rate,project_price_rub,food_cost_ratio,gross_margin_rub_before_channel_costs,contribution_rub_before_tax_and_commission,pricing_status,method,source_or_assumption,blockers
VKM-001,Маргарита,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-011;VSF-001;VSF-002
VKM-001,Маргарита,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-011;VSF-001;VSF-002
VKM-001,Маргарита,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-011;VSF-001;VSF-002
VKM-001,Маргарита,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-011;VSF-001;VSF-002
VKM-002,Четыре сыра,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-013;VSF-001;VSF-002
VKM-002,Четыре сыра,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-013;VSF-001;VSF-002
VKM-002,Четыре сыра,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-013;VSF-001;VSF-002
VKM-002,Четыре сыра,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-013;VSF-001;VSF-002
VKM-003,Грибная с ветчиной,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-014;ING-015;ING-016;VSF-001;VSF-002
VKM-003,Грибная с ветчиной,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-014;ING-015;ING-016;VSF-001;VSF-002
VKM-003,Грибная с ветчиной,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-014;ING-015;ING-016;VSF-001;VSF-002
VKM-003,Грибная с ветчиной,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-014;ING-015;ING-016;VSF-001;VSF-002
VKM-004,Пепперони,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-017;VSF-001;VSF-002
VKM-004,Пепперони,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-017;VSF-001;VSF-002
VKM-004,Пепперони,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-017;VSF-001;VSF-002
VKM-004,Пепперони,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-017;VSF-001;VSF-002
VKM-005,Белая чиабатта,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-003
VKM-005,Белая чиабатта,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-003
VKM-005,Белая чиабатта,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-003
VKM-005,Белая чиабатта,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-003
VKM-005,Белая чиабатта,Навынос,0.428571,,40,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-003
VKM-006,Томатная чиабатта,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-004
VKM-006,Томатная чиабатта,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-004
VKM-006,Томатная чиабатта,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-004
VKM-006,Томатная чиабатта,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-004
VKM-006,Томатная чиабатта,Навынос,0.428571,,40,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-004
VKM-007,Бородинский хлеб,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-005
VKM-007,Бородинский хлеб,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-005
