technical_gap_id,scope,gap_type,affected_codes,missing_input,current_status,evidence_ids,linked_project_items,impact,owner,next_action,checkpoint
EQG-001,ALL_28,PASSPORT,All mapped equipment functions,Selected-model passports and manufacturer data,BLOCKED,EVD-0022;EVD-0023,GAP-018;GAP-019;V-I-043;V-I-114,"Passport throughput, useful capacity, batch size, dimensions, utilities, service zones and warranty cannot be stated as fact",Procurement / Engineering,Collect DOC-INV-011 and reconcile each selected model to CAPEX function,Issue #43 / Gate C
EQG-002,ALL_28,ASSET_AVAILABILITY,All mapped equipment functions,Asset/ownership/condition register and acceptance acts,BLOCKED,EVD-0023,GAP-019;V-I-065;V-I-113,"Equipment cannot be treated as acquired, transferred, serviceable or available",Owner / Investment Center / Legal,Obtain DOC-INV-010 and acceptance/condition records,Issue #43/#50 / Gate C
EQG-003,ALL_28,CONNECTIONS,HOT-*;BAK-*;CLD-*;STO-*;WSH-*,"Layout, electrical TU, ventilation and water/drain designs",BLOCKED,EVD-0023,GAP-019;V-I-038;V-I-041;V-I-104;V-I-106;V-I-108;V-I-109,"Placement, simultaneous load and lawful/operable connection remain unresolved",Engineering / Landlord / Designer,Approve layout and engineering designs against selected-model passports,Issue #43/#50 / Gate C
EQG-004,ALL_28,TIMING_AND_BATCH,All production functions,"Observed operation times, loads, changeovers and yields",BLOCKED_PENDING_VALIDATION,EVD-0010;EVD-0022;EVD-0024,GAP-007;GAP-018;GAP-020;V-I-030;V-I-031;V-I-116,Required batches and demonstrated throughput cannot be calculated,Chef / Operations / Engineering,Time control cooks and peak-load trials at approved recipe versions,Issue #37 / Gate C
EQG-005,ALL_28,DEMAND_PROFILE,PIZZA;BAKERY;COLD;HOT;SIDE;PASTRY,"Approved hourly dish mix, staffing and channel overlap",BLOCKED_PENDING_VALIDATION,EVD-0024,GAP-020;V-I-024;V-I-031;V-I-034,Group bottleneck and batch count are indeterminate,Operations / Analytics / HR,Approve peak profile and reconcile against timed station capacity,Issue #37/#43 / Gate C
EQG-006,ALL_28,CAPACITY_MODEL_QA,Capacity workbook computed outputs,Successful external-engine recalculation with no unsupported formula errors,BLOCKED,EVD-0024,GAP-020,"Current engine inspection returned unsupported-name formula errors for computed demand/capacity cells, so only explicit input assumptions may be used",SystemArchitect / ExcelBuilder,Rebuild/recalculate in Gate D engine and validate formulas before using capacity conclusions,Gate D
EQG-007,VKM-005…VKM-008,MISSING_FUNCTION_CODE,REQ-BAK-PREP,Approved dedicated bakery work-surface allocation for four manual forming operations,BLOCKED,EVD-0021;EVD-0025,GAP-017;GAP-021;IV-003,"BAK-12 is a pizza table, HOT-12 is a hot-line table and BAK-07 is inventory only; assigning any of them without layout, workflow and sanitation approval would invent availability/suitability",SystemArchitect / Investment Center / Operations / FoodSafetyAgent,"Engineering and Food Safety assess a physically identified existing surface; if none complies, add a stable bakery work-surface code through change control",Gate C / ADR decision if code model changes
EQG-008,VKM-013;VKM-017;VKM-022,CONDITIONAL_EQUIPMENT,CLD-08,Manual slicing timing trials,MONITOR,EVD-0021;EVD-0024,GAP-020;V-I-044;V-I-116;GATE-CLD-08,Slicer remains optional; labor/bottleneck conclusion may change,Operations / HR / Investment Center,Run three representative timing trials and apply GATE-CLD-08,Issue #37/#43
EQG-009,VKM-009…VKM-018;VKM-023;VKM-025,CONDITIONAL_EQUIPMENT,CLD-09,Vegetable-prep timing trials and approved demand mix,MONITOR,EVD-0021;EVD-0024,GAP-020;V-I-044;V-I-116;GATE-CLD-09,Vegetable cutter remains optional; labor/bottleneck conclusion may change,Operations / HR / Investment Center,Time manual preparation and apply GATE-CLD-09,Issue #37/#43
EQG-010,VKM-005…VKM-008;VKM-023;VKM-029…VKM-031,SHARED_OVEN_WINDOWS,BAK-02;BAK-08;HOT-01,Approved daily load diagram and cleaning/segregation validation,BLOCKED_PENDING_VALIDATION,EVD-0024;EVD-FS-003,GAP-020;GAP-010;V-I-093;GATE-BAK-08,Bakery/dessert/potato conflicts and second-oven need cannot be resolved,Operations / Engineering / FoodSafetyAgent,"Build timed daily oven schedule, validate sanitation/segregation, apply GATE-BAK-08",Issue #37/#38/#43
EQG-011,ALL_28,INVENTORY,HOT-13;BAK-07;CLD-06;CLD-07;WSH-07;WSH-08,"Approved item specifications, quantities, stock counts and cleaning allocation",BLOCKED,EVD-0025;EVD-FS-003,GAP-009;GAP-021,"Production inventory completeness, cross-contact control and CAPEX quantity remain provisional",Operations / Procurement / FoodSafetyAgent,Approve inventory by operation; count existing stock; validate wash/changeover routes,Issue #38 / Gate C
EQG-012,ALL_28,TABLEWARE,TBL-01;TBL-05,"Owner-approved serving matrix, turnover, stock count and breakage reserve",BLOCKED,EVD-0026,GAP-022;V-I-083;V-I-118,Service set and start quantity cannot be approved; historical selection is only a candidate,Operations / Owner / Investment Center,Review 28 dish set; verify physical stock; calculate turnover and 10% reserve without double counting,Issue #53 / Gate C
EQG-013,Delivery-applicable dishes,PACKAGING,DSP-07;DSP-09,"Package type, dimensions, food-contact declaration, closure/venting and SKU",BLOCKED,EVD-0016;EVD-0026,GAP-013;GAP-022;V-I-027;V-I-122,"Delivery presentation, hold quality, allergens/label and direct cost remain unresolved",Procurement / Operations / FoodSafetyAgent,Select/test packaging by dish and register supplier/manufacturer evidence,Issue #38/#39/#47 / Gate C
EQG-014,ALL_28,SAFETY_LIMITS,"Thermal, cooling, holding and service functions",Validated critical limits and approved PPK/HACCP controls on actual equipment,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,GAP-010;GAP-011,"No equipment map may imply an approved temperature, cooling, reheating or shelf-life regime",FoodSafetyAgent / PPK owner / Operations,Validate process on selected equipment and obtain FoodSafety re-review,Issue #38 / Gate B-C
