dish_code,recipe_version,freeze_status,chef_status,safety_veto,accepted_handoffs,change_control,open_blockers
VKM-001,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-002,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-003,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-004,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-005,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-006,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-007,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-008,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-009,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-010,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
