ingredient_id,ingredient_name,scenario_price_rub_per_kg,benchmark_type,benchmark_id,benchmark_description,source_url,source_date,conversion_or_mapping,confidence,scenario_status,procurement_block,limitation
ING-001,Мука пшеничная хлебопекарная,42.4925,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0001;PSR-0003,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-002,Вода питьевая,43.326667,PUBLIC_CATEGORY_PROXY,PXY-001,Вода питьевая СВЯТОЙ ИСТОЧНИК негазированная,https://lenta.com/product/voda-pitevaya-prirodnaya-negaz-pet-rossiya-15l-47182/,2026-08-03,Public category benchmark PXY-001; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-003,Дрожжи хлебопекарные,624.875,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0004;PSR-0005;PSR-0006,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,MEDIUM,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-004,Соль пищевая,42.99,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0007,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-005,Масло оливковое,1494.483516,PUBLIC_CATEGORY_PROXY,PXY-002,Масло оливковое ITLV Extra Virgin,https://lenta.com/product/maslo-olivkovoe-extra-virgen-stb-ispaniya-500ml-9752/,2026-08-03,Public category benchmark PXY-002; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-006,Томаты протёртые,319.98,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0069;PSR-0088,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-007,Чеснок,380,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0089,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-008,Орегано,380,PUBLIC_CATEGORY_PROXY,ING-007,Proxy from ING-007: Чеснок,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-007; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-009,Моцарелла,909.975,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0014;PSR-0015,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-010,Пармезан,1931.2,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0017;PSR-0018;PSR-0019;PSR-0020,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,MEDIUM,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
