menu_record_id,dish_code,menu_section,dish_name,sales_channels,production_sales_unit,draft_target_output,cost_card_code,tech_card_code,recipe_version,recipe_status,calculation_layer_status,chef_status,safety_status,source
MNU-001,VKM-001,Пицца,Маргарита,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,1 пицца,450 г,VKC-001,VKT-001,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-002,VKM-002,Пицца,Четыре сыра,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,1 пицца,480 г,VKC-002,VKT-002,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-003,VKM-003,Пицца,Грибная с ветчиной,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,1 пицца,500 г,VKC-003,VKT-003,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-004,VKM-004,Пицца,Пепперони,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,1 пицца,500 г,VKC-004,VKT-004,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-005,VKM-005,Хлеб,Белая чиабатта,Все применимые направления КАФЕ; обязательные компоненты,1 изделие,100 г,VKC-005,VKT-005,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-006,VKM-006,Хлеб,Томатная чиабатта,Все применимые направления КАФЕ,1 изделие,100 г,VKC-006,VKT-006,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-007,VKM-007,Хлеб,Бородинский хлеб,Все применимые направления КАФЕ; обязательные компоненты,1 буханка,350 г,VKC-007,VKT-007,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-008,VKM-008,Хлеб,Бриошь,Все применимые направления КАФЕ; бургер,1 изделие,85 г,VKC-008,VKT-008,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-009,VKM-009,Салаты,Буррата с томатами,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,1 порция,300 г,VKC-009,VKT-009,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-010,VKM-010,Салаты,Микс-салат с креветками и яблоком,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,1 порция,280 г,VKC-010,VKT-010,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
