defect_id,severity,classification,domain,scope,observation,evidence,impact,owner,next_action,status,workbook_gate_rule
IV-001,S1,KNOWN_SUBJECT_BLOCKER,Safety,ALL_28,"Safety cards are not locked to recipe version; source_recipe_version remains null","INT-C-002; SAFETY_CARDS.csv; IV 28/28 check","Dish-specific safety review is not version-locked",FoodSafetyAgent / Chef,"Freeze recipes/VSF; bind safety review to exact version; issue new handoff",OPEN_BLOCKING,"Keep source version blank and safety veto BLOCK"
IV-002,S1,KNOWN_SUBJECT_BLOCKER,Safety,ALL_28,"Safety veto remains BLOCK for 28/28; 112 dish safety-critical fields remain null","INT-C-006; SAFETY_CARDS.csv; CCP_CONTROL_REGISTER.csv; workbook sheet 10","No dish may be released or represented as safety validated",FoodSafetyAgent / PPK owner / Chef / Procurement,"Provide validated limits/SKU dossier/HACCP evidence/control-cook results and re-review",OPEN_BLOCKING,"Preserve nulls and BLOCK veto"
IV-003,S2,KNOWN_SUBJECT_BLOCKER,Equipment,VKM-005…VKM-008,"REQ-BAK-PREP is a requirement gap and not a stable asset/function code","INT-C-003; EQUIPMENT_FUNCTION_MATRIX.csv; CAPEX_TECHNICAL_GAPS.csv","Bakery preparation workstation cannot be treated as available CAPEX",SystemArchitect / Investment Center / Operations,"Approve an existing compliant allocation or add a stable code through change control",OPEN,"Display only as a requirement gap"
IV-004,S2,KNOWN_SUBJECT_BLOCKER,Economics,ALL_28,"Complete COGS is blank 28/28 and project channel price is blank 101/101","INT-C-004; COSTING_CARDS.csv; CHANNEL_PRICING_TABLE.csv; workbook sheets 04/07","Food cost, margin and contribution are not reportable",Procurement / Owner / CostingPricingAgent,"Close missing ingredient/packaging/direct-variable/tax/commission/output inputs and rebuild",OPEN_BLOCKING,"Keep complete economics blank"
IV-005,S2,KNOWN_SUBJECT_BLOCKER,Nutrition,ALL_28,"All eight numeric nutrition fields are null for 28/28","INT-C-005; DISH_NUTRITION.csv; workbook sheet 11","Nutrition declaration cannot be produced",NutritionDataAgent / Procurement / Chef,"Map exact SKU composition and processed-state/yield basis; recalculate and review",OPEN_BLOCKING,"Never substitute zero"
IV-006,S2,KNOWN_SUBJECT_BLOCKER,Capacity,ALL_28,"Passport capacity, availability/connections and demand inputs remain blocked","INT-C-007; RESOURCE_CARDS.csv; CAPACITY_BOTTLENECK_REPORT.csv","Actual equipment suitability and bottlenecks cannot be concluded",Operations / Engineering / Procurement / Owner,"Collect passports/asset evidence/demand and execute timed load tests",OPEN_BLOCKING,"Do not promote estimates to facts"
IV-007,S2,KNOWN_SUBJECT_BLOCKER,Semi-finished,"VKM-001…004;VKM-013;VKM-016;VKM-018;VKM-020;VKM-022;VKM-029","VSF variants/decomposition or make-buy choices remain unresolved; all VSF safety states remain blocked","INT-C-008; SEMI_FINISHED_PRODUCTS.csv; SEMI_FINISHED_MAPPING.csv","Batch formulas, factual yields and complete nested costing cannot be approved",ChefTechnologyAgent / SemiFinishedProductsAgent / FoodSafetyAgent,"Resolve variants and make-buy specifications via Change Request; control cook and safety re-review",OPEN,"Preserve DAG and explicit variants"
IV-008,S3,WORKBOOK_VISUAL,Workbook,15_ПРОВЕРКИ,"Several long required-sheet names in A31:A47 were visually clipped at column width 18","Independent artifact-tool render before CR-0002; post-CR render at RC SHA 914a70c4","Minor audit-list readability issue; formulas and subject data were unaffected",ExcelBuilder,"CR-0002 widened column A to 38 and enabled wrap on A31:A47; independent regression completed",RESOLVED_2026-08-03,"Resolved; all 17 exact names are fully visible"
IV-009,S3,WORKBOOK_USABILITY,Workbook,ALL_17_SHEETS,"freeze_panes=None on all 17 required sheets","Exact workbook blob 02b3eccac21c245d0dc25277b5a930e5833ed5de; LEGACY_BOOTSTRAP; independent direct inspection","Users lose headers during scrolling; Issue #82 explicit freeze-header requirement is unmet",ExcelBuilder,"Set appropriate freeze panes on all 17 sheets; add automated exact 17/17 assertion; rebuild and independently inspect",OPEN,"17/17 sheets must have non-null freeze_panes and automated QA PASS"
IV-010,S2,MANDATORY_SCHEMA,Technology,ALL_28,"TECH_CARDS.csv lacks six separate mandatory fields: scope/application; raw-material requirements; raw-material preparation; tolerances; organoleptic indicators; storage/realization","Issue #82 section 7.5; TECH_CARDS.csv header; LEGACY_BOOTSTRAP","Technological cards are structurally incomplete and cannot satisfy the acceptance contract",ChefTechnologyAgent,"Add separate fields for all 28 with evidence/status/blockers; rebuild workbook and reverify",OPEN_BLOCKING,"All six fields present and substantively populated/statused for 28/28"
IV-011,S2,MISLEADING_READINESS,Integration,PR_AND_REPORTS,"364/364 complete wording conflates nonempty structural coverage with substantive completion","COMPLETENESS_MATRIX_28x13.csv; PR #83 body; 140 BLOCKED_PENDING_VALIDATION outcomes","Owner may incorrectly infer complete deliverables or merge readiness",Orchestrator / RegisterSyncAgent,"Replace wording everywhere with structural coverage and disclose blocked/assumption counts",OPEN_BLOCKING,"No unqualified complete claim; structural and substantive metrics separated"
IV-012,S2,READINESS_TAXONOMY,Integration,ALL_28,"Reporting does not consistently separate structural coverage, substantive readiness, assumption-based results, blocked results and Owner/Chef Gate readiness","Governance v1.1.0 section 13.3; LEGACY_BOOTSTRAP","Acceptance and closure decisions are not reliably interpretable",Orchestrator / System integration,"Create canonical readiness summary and propagate to workbook, reports and PR",OPEN_BLOCKING,"Five readiness dimensions reported separately and reconciled"
