tableware_set_code,dish_code,dish_name,menu_section,candidate_service_set,historical_candidate_skus,linked_capex_function_codes,delivery_takeaway_packaging,pieces_per_service,turnover_factor,start_quantity,warehouse_breakage_reserve,start_quantity_formula,service_status,quantity_status,stock_verification_status,parameter_status,evidence_ids,blocker_ids,source_date,confirmation_owner,next_action
TWS-001,VKM-001,Маргарита,Пицца,Тарелка мелкая D=260 мм; вилка; нож; коробка/подложка для доставки при применимом канале,03011857;03112213;03114123,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-002,VKM-002,Четыре сыра,Пицца,Тарелка мелкая D=260 мм; вилка; нож; коробка/подложка для доставки при применимом канале,03011857;03112213;03114123,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-003,VKM-003,Грибная с ветчиной,Пицца,Тарелка мелкая D=260 мм; вилка; нож; коробка/подложка для доставки при применимом канале,03011857;03112213;03114123,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-004,VKM-004,Пепперони,Пицца,Тарелка мелкая D=260 мм; вилка; нож; коробка/подложка для доставки при применимом канале,03011857;03112213;03114123,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-005,VKM-005,Белая чиабатта,Хлеб,Тарелка D=175 мм либо хлебная корзина/доска; прибор по сервисному стандарту,03010413,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-006,VKM-006,Томатная чиабатта,Хлеб,Тарелка D=175 мм либо хлебная корзина/доска; прибор по сервисному стандарту,03010413,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-007,VKM-007,Бородинский хлеб,Хлеб,Тарелка D=175 мм либо хлебная корзина/доска; прибор по сервисному стандарту,03010413,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-008,VKM-008,Бриошь,Хлеб,Тарелка D=175 мм либо хлебная корзина/доска; прибор по сервисному стандарту,03010413,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-009,VKM-009,Буррата с томатами,Салаты,Тарелка D=230 мм или D=260 мм; вилка; нож при необходимости,03011456;03011857;03112213;03114123,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-010,VKM-010,Микс-салат с креветками и яблоком,Салаты,Тарелка D=230 мм или D=260 мм; вилка; нож при необходимости,03011456;03011857;03112213;03114123,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-011,VKM-011,Греческий,Салаты,Тарелка D=230 мм или D=260 мм; вилка; нож при необходимости,03011456;03011857;03112213;03114123,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-012,VKM-012,Винегрет,Салаты,Тарелка D=230 мм или D=260 мм; вилка; нож при необходимости,03011456;03011857;03112213;03114123,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-013,VKM-013,Слабосолёный лосось,Холодные закуски,Тарелка D=230 мм или D=260 мм; вилка; нож при необходимости,03011456;03011857;03112213;03114123,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-014,VKM-014,Сельдь с запечённым картофелем,Холодные закуски,Тарелка D=230 мм или D=260 мм; вилка; нож при необходимости,03011456;03011857;03112213;03114123,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-015,VKM-015,Оливки и маслины,Холодные закуски,Тарелка D=230 мм или D=260 мм; вилка; нож при необходимости,03011456;03011857;03112213;03114123,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-016,VKM-016,Ассорти фирменных солений,Холодные закуски,Тарелка D=230 мм или D=260 мм; вилка; нож при необходимости,03011456;03011857;03112213;03114123,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-017,VKM-017,Ростбиф с луком и гренкой,Холодные закуски,Тарелка D=230 мм или D=260 мм; вилка; нож при необходимости,03011456;03011857;03112213;03114123,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
