decision_id,dish_code,dish_name,decision_area,required_decision,options,recommended_option,evidence_ids,impact_cost,impact_price,impact_safety,impact_equipment,decision_owner,unblock_condition,current_status
OCD-0001,VKM-001,Маргарита,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0002,VKM-001,Маргарита,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0003,VKM-001,Маргарита,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0004,VKM-001,Маргарита,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0005,VKM-001,Маргарита,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
OCD-0006,VKM-002,Четыре сыра,RECIPE_FREEZE,"Принять, скорректировать или отклонить построчную рецептуру 0.1.0-DRAFT.",A: принять проект без изменений после контрольной серии; B: скорректировать нормы/состав через Change Request; C: отклонить и разработать новую версию.,"B — провести контрольную серию, зафиксировать отклонения и выпустить versioned Change Request до Chef freeze.",EVD-0007;EVD-0008,Меняет нормы и полный COGS.,Меняет нижнюю границу проектной цены и food cost.,Без frozen exact-SKU recipe safety-профиль нельзя разблокировать.,"Меняет операции, загрузку и требуемый инвентарь.",Chef,"Подписан versioned Chef decision; все строки имеют принятое значение, источник и статус не ниже DRAFT_ACCEPTED; FoodSafety получает точный blob/version.",OPEN
OCD-0007,VKM-002,Четыре сыра,YIELD_AND_TOLERANCE,"Установить целевой выход, фактические потери и допустимые отклонения.",A: принять проектный выход после измерений; B: заменить измеренным выходом/допуском; C: назначить дополнительную серию.,"B — взвесить входы, отходы, полуфабрикаты и финальный выход минимум в одной документированной серии; допуск выводить из измерений, не назначать заранее.",EVD-0005;EVD-0008,Фактический выход меняет стоимость порции.,"Влияет на цену, food cost и маржу.",Недостоверный выход мешает валидировать порционирование и режим.,Влияет на размер партии и число циклов.,Chef / Operations,Контрольная форма заполнена фактическими массами; арифметика reconciled; Chef утвердил выход и допуск; новая версия связана с recipe blob.,OPEN
OCD-0008,VKM-002,Четыре сыра,SEMI_FINISHED_STRUCTURE,"Зафиксировать состав, вариант партии и повторное использование каждого связанного полуфабриката.",A: единая общая формула; B: отдельные варианты с технологическим основанием; C: покупной компонент с точным SKU.,A для реально одинаковых заготовок; B только при документированном технологическом различии; C только после фиксации SKU и спецификации.,EVD-0009;EVD-0007;EVD-0008,Устраняет двойной учёт и определяет стоимость VSF.,Меняет полный COGS и ценовой коридор.,"Точный процесс/SKU нужен для аллергенов, хранения и прослеживаемости.","Определяет объём партии, хранение, тару и циклы.",Chef / Procurement,"Chef утвердил VSF mapping и variant; выбранный вариант имеет формулу, фактический/принятый выход и правило single-count; при C приложена спецификация SKU.",OPEN
OCD-0009,VKM-002,Четыре сыра,PROCESS_AND_ORGANOLEPTIC,"Утвердить последовательность, фактическое время, подачу и измеримые органолептические критерии.",A: принять проект после проработки; B: скорректировать процесс/подачу; C: отклонить результат и повторить.,"B — выполнить проработку, записать фактические время и наблюдения по внешнему виду, цвету, запаху, вкусу и текстуре; решение не заполнять до испытания.",EVD-0010;EVD-0011;EVD-0030,Время и операции меняют трудоёмкость и расход ресурсов.,Влияет на минимальную цену и пропускную способность канала.,Процесс должен пройти повторный FoodSafety review.,"Фиксирует оборудование, время цикла и число партий.",Chef,Заполнен протокол проработки; Chef вынес APPROVED/REWORK/REJECTED; критерии и допустимые отклонения связаны с точной recipe version.,OPEN
OCD-0010,VKM-002,Четыре сыра,STORAGE_REALIZATION_GATE,Определить фактический маршрут по каналам и передать его на version-locked FoodSafety/ППК решение по хранению и реализации.,A: только немедленная подача; B: хранение/охлаждение/разогрев; C: доставка/навынос; допускается документированная комбинация.,"Сначала выбрать только реально планируемые маршруты; затем FoodSafety/ППК устанавливает доказанные режимы по точной рецептуре, SKU и процессу. До этого сохранять BLOCK.",EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,"Может добавить упаковку, списания и контроль.",Меняет переменные расходы и цену по каналу.,"Прямо определяет safety veto, маркировку и контрольные точки.","Может потребовать охлаждение, хранение, термоконтроль и отдельные мощности.",Chef / Owner / FoodSafety / ППК,Маршрут утверждён Owner/Chef; exact recipe/SKU/process переданы FoodSafety; получено документированное version-locked решение температур/сроков/CCP и повторный review снимает либо сохраняет veto.,OPEN
