code,section,label,value,unit,status,source_or_note
MODEL_VERSION,Модель,Версия модели,3.0.0,версия,Утверждено,Новая производственно-экономическая архитектура
SCENARIO_CODE,Модель,Сценарий,S04,код,Утверждено,"КОФЕ&ЧАЙ, хлеб, новый Навынос, производство и закупки"
HOTEL_BREAKFAST_CHECK,Гостиница — завтраки,Внутренний тариф с НДС,550,руб./завтрак,Подтверждено,Включён в проживание
HOTEL_BREAKFAST_ORDERS,Гостиница — завтраки,Завтраков в день,20,обслуживаний,Подтверждено,7300 в год
HOTEL_BREAKFAST_CONFIRMED_QTY,Гостиница — завтраки,Оплачиваемых обслуживаний в день,20,обслуживаний,Подтверждено,Основа выручки и COGS
HOTEL_BREAKFAST_LAUNCH_QTY,Гостиница — завтраки,Производственный план первых трёх месяцев,22,комплекса/день,Подтверждено,Не увеличивает финансовый COGS
HOTEL_BREAKFAST_STEADY_QTY,Гостиница — завтраки,Производственный план устойчивого режима,21,комплекс/день,Подтверждено,Не увеличивает финансовый COGS
HOTEL_BREAKFAST_ACTIVE_VARIANTS,Гостиница — завтраки,Активных вариантов,3,варианта,Подтверждено,"Яичница, омлет, овсяная каша"
HOTEL_BREAKFAST_EXTERNAL_SALE,Гостиница — завтраки,Внешняя продажа,0,0/1,Подтверждено,Запрещена
HOTEL_BREAKFAST_SURCHARGE,Гостиница — завтраки,Доплата,0,руб./комплекс,Подтверждено,Запрещена
HOTEL_BREAKFAST_PACK,Гостиница — завтраки,Одноразовая упаковка,0,руб./комплекс,Подтверждено,Многоразовая посуда
HOTEL_BREAKFAST_EGG_SHARE,Гостиница — завтраки,Доля яичницы,0.375,доля,Подтверждено,Расчётная структура
HOTEL_BREAKFAST_OMELET_SHARE,Гостиница — завтраки,Доля омлета,0.375,доля,Подтверждено,Расчётная структура
HOTEL_BREAKFAST_OAT_SHARE,Гостиница — завтраки,Доля овсяной каши,0.25,доля,Подтверждено,Расчётная структура
HOTEL_BREAKFAST_BENEDICT_SHARE,Гостиница — завтраки,Доля яиц Бенедикт,0,доля,Подтверждено,Архивная неактивная рецептура
HOTEL_BREAKFAST_SALMON_CROISSANT_SHARE,Гостиница — завтраки,Доля круассана с лососем,0,доля,Подтверждено,Архивная неактивная рецептура
HOTEL_BREAKFAST_KITCHEN_COGS,Гостиница — завтраки,Средняя себестоимость Кухни,143.7999302778,руб./завтрак,Предварительно,Формула из норм брутто и PRICE_REGISTER
HOTEL_BREAKFAST_DRINK_COGS,Гостиница — завтраки,Напиток бариста,60,руб./завтрак,Подтверждено,Только направление Гостиница
HOTEL_BREAKFAST_UNIT_COGS,Гостиница — завтраки,Полная прямая себестоимость,203.7999302778,руб./завтрак,Предварительно,Кухня + напиток
HOTEL_BREAKFAST_COGS,Гостиница — завтраки,Food cost,0.3705453277777778,доля тарифа,Предварительно,От тарифа 550 руб. с НДС
HOTEL_BREAKFAST_ANNUAL_COGS,Гостиница — завтраки,Годовой COGS,1487739.4910278,руб./год,Предварительно,7300 обслуживаний
HOTEL_BREAKFAST_ANNUAL_REVENUE,Гостиница — завтраки,Годовая выручка,4015000,руб./год,Расчёт,7300 × 550
HOTEL_BREAKFAST_DIRECT_RESULT,Гостиница — завтраки,Прямой результат,2527260.5089722,руб./год,Предварительно,Выручка минус прямой COGS
HOTEL_DINNER_ANNUAL_REVENUE,Гостиница — ужины,Годовая выручка,3650000,руб./год,Расчёт,3650 × 1000
HOTEL_DINNER_ANNUAL_COGS,Гостиница — ужины,Годовой COGS,1095000,руб./год,Расчёт,30% выручки
HOTEL_TOTAL_ANNUAL_REVENUE,Гостиница,Итого выручка,7665000,руб./год,Расчёт,Завтраки + ужины
HOTEL_TOTAL_ANNUAL_COGS,Гостиница,Итого прямой COGS,2582739.4910278,руб./год,Предварительно,Завтраки + ужины
HOTEL_TOTAL_DIRECT_RESULT,Гостиница,Итого прямой результат,5082260.5089722,руб./год,Предварительно,Выручка минус прямой COGS
PRICE_FONTINA_SENSITIVITY,Закупочные цены,Fontina DOP / Fontal,1800,руб./кг,Только чувствительность,Не является утверждённой закупочной ценой
RFQ_STATUS,Закупки,Запросы КП,PREPARED_NOT_SENT,статус,Подтверждено,Шаблоны в docs/09-procurement/rfq-breakfast
