handoff_id,sender,receiver,version,date,dish_codes,files_or_data,evidence_status,checks,open_questions,blockers,acceptance_criteria,decision,decision_date,notes
HOF-0001,SourceAuditor,Orchestrator,1.0.0,2026-08-03,ALL,"SOURCE_AUDIT; SOURCE_REGISTER; EVIDENCE_MATRIX; GAP_REGISTER; ALLOWED_ASSUMPTIONS; REQUIRED_PRIMARY_DOCUMENTS","18 sources; 32 EvidenceID; 26 gaps","CSV schema; unique IDs; scope; git diff --check","Recipe/safety/price/equipment primary evidence missing","GAP-001…GAP-026",Gate A criteria,ACCEPTED_WITH_CONDITIONS,2026-08-03,"Conditions in HOF-0001 mandatory"
HOF-0002,ChefTechnologyAgent,Orchestrator,0.1.0-DRAFT,2026-08-03,ALL,"DISH_PASSPORTS; RECIPES; TECH_CARDS; MASS_BALANCE; CHEF_QUESTIONS; CONTROL_COOK; SEMI_FINISHED_CANDIDATES","28 passports; 253 recipe lines; 28 tech cards; 28 mass balances; 144 questions; 28 plans/forms; 34 VSF candidates","Scope/codes/coverage; gross>=net>=output; output totals; artifact-tool CSV import","Safety veto; project assumptions; VSF DAG pending","GAP-001;002;004…008;010;011;025",Gate B recipe criteria,ACCEPTED_WITH_CONDITIONS,2026-08-03,"No READY_FOR_CHEF_REVIEW until safety re-review and VSF acceptance"
HOF-0003,FoodSafetyAgent,Orchestrator,1.0.0,2026-08-03,ALL,"SAFETY_CARDS; ALLERGEN_MATRIX; CCP; SAFETY_BLOCKERS; SAFETY_SOURCES","28 cards; 28x15 allergens; 140 controls; 140 blockers; 10 official sources","28 unique scope; 112 explicit nulls; official-source/domain QA; failures=[]","All 28 veto BLOCK pending recipe/SKU/validated limits/HACCP-PPK","140 safety blockers",Gate B safety criteria,ACCEPTED_WITH_CONDITIONS,2026-08-03,"Preserve veto and nulls until FoodSafety re-review"
HOF-0004,SemiFinishedProductsAgent,Orchestrator,0.1.0-DRAFT,2026-08-03,ALL,"SEMI_FINISHED_PRODUCTS; RECIPE_LINES; DAG; MAPPING; QA","34 cards; 166 lines; 42 DAG edges; 42 mappings","Unique IDs; refs; variants; acyclic; zero orphan; anti-double-counting","VSF-001/002 variants; VSF-017/030 undecomposed; safety veto","GAP-SF-001;GAP-SF-002;GAP-006;GAP-010;GAP-011",Gate B semi-finished criteria,ACCEPTED_WITH_CONDITIONS,2026-08-03,"Frozen for downstream with explicit variants/blockers"
HOF-0005,CostingPricingAgent,Orchestrator,0.1.0-DRAFT,2026-08-03,ALL,"PRICE_REGISTERS; COSTING_CARDS; VSF_COSTING; CHANNEL_PRICING; SENSITIVITY","QUARANTINED: price provenance conflict","Structural checks passed; source-product match failed Gate C","100% price source re-audit; supplier quotes; tax; commission; density; Chef specifications","CR-0001;BLK-0009;ECB-001…ECB-031",Gate C economics criteria,SUPERSEDED_PENDING_REPLACEMENT,2026-08-03,"No import to ExcelBuilder; await HOF-0005 v0.2.0"
HOF-0006,EquipmentCapacityAgent,Orchestrator,0.1.0-DRAFT,2026-08-03,ALL,"RESOURCE_CARDS; EQUIPMENT_FUNCTIONS; CAPACITY; INVENTORY; TABLEWARE; CAPEX_GAPS","ESTIMATE/DRAFT mappings; passport/availability BLOCKED","28/155/28/28/28 coverage; no invented passport values","Passports; connections; demand; timing; service set","EQG-001…EQG-014",Gate C resource criteria,ACCEPTED_WITH_CONDITIONS,2026-08-03,"REQ-BAK-PREP is a gap; clean external recalc required"
HOF-0007,NutritionDataAgent,Orchestrator,0.1.0-DRAFT,2026-08-03,ALL,"NUTRITION_SOURCES; INGREDIENT_NUTRITION; DISH_NUTRITION; METHOD; LIMITATIONS","B/F/C/energy BLOCKED_PENDING_VALIDATION; null preserved","28 scope; 113 ingredients; no zero unknown; lab=false","Exact SKU/source record; validated yield; edible state","GAP-013;GAP-023;NUT-LIM-001…006",Gate C nutrition criteria,ACCEPTED_WITH_CONDITIONS,2026-08-03,"Excel must preserve null; numeric update needs new handoff"
HOF-0005-V021,CostingPricingAgent,SystemArchitect,0.2.1-DRAFT,2026-08-03,ALL,"PRICE_REGISTERS; COSTING_CARDS; VSF_COSTING; CHANNEL_PRICING; SENSITIVITY","46 accepted/22 rejected observations; complete COGS BLOCKED","100% partition; independent cost/VSF recalc; rejected downstream refs 0","Supplier quotes; tax; commission; density; Chef specifications","ECB-001…ECB-031",Gate C corrected economics criteria,ACCEPTED_WITH_CONDITIONS,2026-08-03,"Only accepted economic handoff for ExcelBuilder"
HOF-0008,SystemArchitect,Orchestrator,0.2.1,2026-08-03,ALL,"INTEGRATION_REVIEW; CROSS_DOMAIN_MATRIX; CONFLICT_REGISTER; QA_SCRIPT","PASS_WITH_CONDITIONS; 28 rows; blockers propagated","Scope/codes/253 lines/34 VSF/42 mappings/28+40 cost recalcs/155 operations","Safety/version; COGS/prices; nutrition; capacity; VSF decisions","INT-C-002…INT-C-008",Gate C reconciliation criteria,ACCEPTED_WITH_CONDITIONS,2026-08-03,"ExcelBuilder authorized on accepted handoffs only"
HOF-0009,ExcelBuilder,Orchestrator,2.0.0-DRAFT,2026-08-03,ALL,"XLSX; BUILDER; BUILD_LOG; FORMULA_QA; VISUAL_QA; DATA_DICTIONARY; README","17 sheets; null/blocker/veto preserved","15/15 checks; error scan 0; LibreOffice recalc; reactivity; 17-sheet visual QA; CR-0002 regression","Subject blockers INT-C-002…008","Safety/economics/nutrition/capacity/VSF blockers",Gate D structural criteria,ACCEPTED_WITH_CONDITIONS,2026-08-03,"Final SHA 914a70c4...cc0b6; IV-008 resolved"
