nutrition_ingredient_record_id,ingredient_id,ingredient_name,recipe_line_count,dish_count,dish_codes,composition_source_id,composition_source_record_id,composition_basis,protein_g_per_100g,fat_g_per_100g,carbohydrate_g_per_100g,energy_kcal_per_100g,nutrient_value_status,evidence_ids,method_or_source_note,source_version_or_date,confirmation_owner,blocker_ids,next_action
NUT-ING-001,ING-001,Мука пшеничная хлебопекарная,8,8,VKM-001;VKM-002;VKM-003;VKM-004;VKM-005;VKM-006;VKM-007;VKM-008,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-002,ING-002,Вода питьевая,9,9,VKM-001;VKM-002;VKM-003;VKM-004;VKM-005;VKM-006;VKM-007;VKM-016;VKM-029,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-003,ING-003,Дрожжи хлебопекарные,8,8,VKM-001;VKM-002;VKM-003;VKM-004;VKM-005;VKM-006;VKM-007;VKM-008,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-004,ING-004,Соль пищевая,10,10,VKM-001;VKM-002;VKM-003;VKM-004;VKM-005;VKM-006;VKM-007;VKM-008;VKM-016;VKM-024,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-005,ING-005,Масло оливковое,18,9,VKM-001;VKM-002;VKM-003;VKM-004;VKM-005;VKM-006;VKM-009;VKM-011;VKM-015,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-006,ING-006,Томаты протёртые,6,6,VKM-001;VKM-002;VKM-003;VKM-004;VKM-009;VKM-018,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-007,ING-007,Чеснок,6,6,VKM-001;VKM-002;VKM-003;VKM-004;VKM-015;VKM-022,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-008,ING-008,Орегано,4,4,VKM-001;VKM-002;VKM-003;VKM-004,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-009,ING-009,Моцарелла,4,4,VKM-001;VKM-002;VKM-003;VKM-004,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-010,ING-010,Пармезан,2,2,VKM-001;VKM-002,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-011,ING-011,Базилик свежий,1,1,VKM-001,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-012,ING-012,Горгонзола,1,1,VKM-002,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-013,ING-013,Фонтина или иной четвёртый сыр,1,1,VKM-002,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-014,ING-014,Ветчина,1,1,VKM-003,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-015,ING-015,Шампиньоны,1,1,VKM-003,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
