dish_code,dish_name,passport,recipe,semi_finished,costing,tech_card,equipment_capacity,inventory_tableware,allergen_safety,nutrition,channel_pricing,chef_questions,control_cook_form,approval_sheet,owner,status
VKM-001,Маргарита,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-002,Четыре сыра,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-003,Грибная с ветчиной,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-004,Пепперони,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-005,Белая чиабатта,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-006,Томатная чиабатта,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-007,Бородинский хлеб,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-008,Бриошь,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-009,Буррата с томатами,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-010,Микс-салат с креветками и яблоком,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
