dish_code,dish_name,menu_section,recipe_version,code_integrity,recipe_mass_balance,semi_finished_link,costing_link,equipment_link,safety_link,nutrition_link,unit_output_consistency,double_counting_check,blocker_propagation,gate_c_status,open_conflict_ids,next_action
VKM-001,Маргарита,Пицца,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-008,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-002,Четыре сыра,Пицца,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-008,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-003,Грибная с ветчиной,Пицца,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-008,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-004,Пепперони,Пицца,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-008,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-005,Белая чиабатта,Хлеб,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-003,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-006,Томатная чиабатта,Хлеб,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-003,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-007,Бородинский хлеб,Хлеб,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-003,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-008,Бриошь,Хлеб,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-003,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-009,Буррата с томатами,Салаты,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-010,Микс-салат с креветками и яблоком,Салаты,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-011,Греческий,Салаты,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-012,Винегрет,Салаты,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-013,Слабосолёный лосось,Холодные закуски,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-008,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-014,Сельдь с запечённым картофелем,Холодные закуски,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-015,Оливки и маслины,Холодные закуски,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-016,Ассорти фирменных солений,Холодные закуски,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-008,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-017,Ростбиф с луком и гренкой,Холодные закуски,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-018,Традиционный красный борщ,Супы,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-008,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
