decision_id,linked_gap_ids,decision_required,options,recommended_option,recommendation_basis,evidence_ids,cost_impact,price_impact,safety_impact,equipment_impact,decision_owner,supporting_owner,unblock_condition,status
EQD-001,EQG-001,Select exact manufacturer/model for every mandatory mapped equipment function and collect the manufacturer passport/official specification,A: run RFQ and select compliant models; B: nominate existing assets then identify nameplates/models and collect documents; C: defer selection and keep all suitability/capacity blocked,"A+B by asset: verify existing stock first, procure only unresolved functions",Avoids duplicate CAPEX while preserving documentary traceability; GitHub currently contains no selected manufacturer/model/passport,EVD-0022;EVD-0023;DOC-INV-010;DOC-INV-011,"Determines CAPEX, delivery, commissioning, warranty and lifecycle cost",Indirect; machine-hour/energy allocation remains blocked until model and operating data exist,Passport operating limits are prerequisite to validation; no safety veto removed,"Unlocks useful capacity, cycle, load, utilities and service-zone checks",Owner / Investment Center,Procurement / Engineering / Operations,"Each mapped function has selected manufacturer, model/article, official document, asset status and technical-gate result",OPEN
EQD-002,EQG-002,Approve the source-of-supply route for each mapped function after physical asset inventory,A: use verified existing asset; B: procure new; C: lease/service model; D: remove only after Chef process change and re-review,"Inventory/nameplate survey first, then A/B/C per function","No acceptance acts, ownership, condition or serviceability evidence is published",EVD-0023;DOC-INV-010,Prevents double purchase and identifies repair/commissioning cost,Indirect through depreciation/lease/service allocation,Existing equipment still requires condition and sanitation validation,Converts availability from BLOCKED only after documentary and physical inspection,Owner / Investment Center,Legal / Procurement / Engineering,"Asset register, ownership/lease basis, condition report and acceptance/commissioning evidence linked to each function",OPEN
EQD-003,EQG-003,Approve layout and engineering connection design against exact selected models,A: adapt site utilities/layout; B: select lower-load compatible models; C: revise production process; D: do not launch affected dishes,Complete model selection and simultaneous-load calculation before procurement order,"Current E1/E3/W/D/V/EXH marks are project requirements, not verified site connections",EVD-0023,"May add electrical, ventilation, water, drain and construction CAPEX",Energy/water cost remains blocked until model and tariff inputs exist,Unsafe or unlawful connection cannot be accepted,"Unlocks placement, simultaneous-load and commissioning gates",Owner / Engineering,Landlord / Designer / Procurement,"Approved plan, technical conditions, load calculation and commissioning protocol for each selected model",OPEN
EQD-004,EQG-004;EQG-005,Approve peak hourly dish mix and conduct version-locked timed production trials,A: low/base/high channel scenarios plus 25/50/75/100% load trials; B: base-only trial; C: keep capacity blocked,A,"Required batch count and bottleneck ranking need demand, staffing, operation time, changeover and yield together",EVD-0010;EVD-0024,"May change equipment quantity, staffing and pre-opening test cost",Changes labor and machine-hour unit cost,Trials must retain Food Safety veto and record limits/corrective actions,"Produces observed cycle, useful load, batches and utilization",Owner / Operations,Chef / Engineering / HR / Analytics / FoodSafetyAgent,Approved demand windows and signed trial protocol for all 28 dishes on selected equipment,OPEN
EQD-005,EQG-006,Choose the authoritative recalculation engine and accept capacity workbook QA criteria,A: rebuild formulas in supported engine; B: replace computed outputs with reproducible CSV/Python calculations; C: continue without computed capacity conclusions,B with Excel presentation linked to validated outputs,Previous external engine returned unsupported-name errors; reproducible calculations reduce engine ambiguity,EVD-0024,No direct CAPEX; reduces decision error,Prevents unsupported capacity assumptions entering costing,None directly; blocked safety limits remain,Enables auditable scenario and batch calculations,SystemArchitect / Owner,ExcelBuilder / EquipmentCapacityAgent,Clean recalculation with no formula errors and independent QA of inputs/outputs,OPEN
EQD-006,EQG-007;IV-003,Resolve the bakery manual-forming work surface for VKM-005…VKM-008,A: allocate a physically identified existing surface after layout/sanitation check; B: add a dedicated stable BAK work-surface CAPEX code; C: redesign process to remove the operation; D: keep four dishes blocked,A if a compliant dedicated surface is proven; otherwise B,"BAK-12 is a pizza table, HOT-12 belongs to the hot line and BAK-07 is only forms/inventory; none can be silently repurposed",EVD-0021;EVD-0025;IV-003,A may avoid CAPEX; B adds worktable/storage CAPEX,Minor direct effect; labor/workflow may change,"Requires allergen, raw/ready-to-eat separation and cleaning approval",Closes the only unresolved operation-level function code for four dishes,Owner / SystemArchitect,Operations / Engineering / FoodSafetyAgent / Investment Center,Approved allocation with asset ID/layout/sanitation protocol or approved new stable code linked to CAPEX,OPEN
EQD-007,EQG-008;EQG-009,Decide whether conditional slicer CLD-08 and vegetable cutter CLD-09 are activated,A: activate after gate threshold; B: retain manual method; C: redesign prep mix,Apply existing gates after three representative timing trials and approved peak mix,Both assets are correctly conditional and have no selected model or observed labor threshold,EVD-0021;EVD-0024;GATE-CLD-08;GATE-CLD-09,Optional CAPEX versus labor savings,Changes avoidable labor/unit economics,Machine cleaning and allergen cross-contact require validation if activated,May change cold-prep bottleneck,Owner / Investment Center,Operations / HR / FoodSafetyAgent,"Gate protocol records measured manual time, decision, selected model if activated and safety review",OPEN
EQD-008,EQG-010,Approve shared oven schedule and decide whether BAK-08 is activated,A: one BAK-02 with scheduled windows; B: activate second bakery oven BAK-08; C: move compatible operations to validated HOT-01; D: constrain menu/production windows,"Build high-demand daily load diagram first, then apply GATE-BAK-08","No approved simultaneous menu/banquet load, changeover or cleaning windows exist",EVD-0024;EVD-FS-003;GATE-BAK-08,Potential second-oven CAPEX and utilities,Machine-hour and energy cost may change,"Cross-contact, sanitation and thermal validation required",Resolves shared-oven bottleneck hypothesis,Owner / Investment Center,Operations / Engineering / FoodSafetyAgent,"Signed daily schedule, trial results, safety validation and BAK-08 gate decision",OPEN
EQD-009,EQG-011,Approve operation-level production inventory specification and quantities,A: count/reuse compliant stock; B: procure missing items; C: redesign process/containers,"Operation-by-operation stocktake, reuse first, procure gaps","Current lists are candidate sets; quantities, exact formats and cleaning allocation are absent",EVD-0025;EVD-FS-003,Determines small-inventory CAPEX and replacement reserve,May affect consumables/breakage allocation,Dedicated/color-coded allocation and wash/dry route must be validated,Unlocks executable workstation kits,Owner / Operations,Procurement / FoodSafetyAgent,"Approved item/SKU/quantity by operation, physical stock count and sanitation allocation",OPEN
EQD-010,EQG-012,Approve the 28-dish dine-in serving matrix and opening tableware quantity,A: standardize by menu section; B: dish-specific sets; C: mixed standard with documented exceptions,C,Reduces SKU count while preserving presentation exceptions; historical SKUs are only candidates,EVD-0026,Determines tableware CAPEX and breakage reserve,Breakage/replacement cost allocation remains pending,Food-contact and washing compatibility must be confirmed,Links service ware to dishwasher/rack/storage capacity,Owner / Operations,Investment Center / Procurement / FoodSafetyAgent,"Approved set per dish, peak services, turnover factor, stock count and reserve rate; formula recalculated",OPEN
