dish_code,dish_name,channel,target_cogs_ratio_assumption,scenario_kitchen_cogs_rub,packaging_rub_assumption,scenario_price_rub_before_tax_commission,scenario_food_cost_ratio,scenario_gross_margin_before_channel_costs_rub,scenario_contribution_before_tax_commission_rub,tax_rate,aggregator_commission_rate,scenario_status,confidence,procurement_block,limitations
VKM-001,Маргарита,À la carte,0.3,230.067829,0,766.892764,0.3,536.824935,536.824935,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-001,Маргарита,Бизнес-ланч,0.4,230.067829,0,575.169573,0.4,345.101744,345.101744,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-001,Маргарита,Гостиничные ужины,0.3,230.067829,0,766.892764,0.3,536.824935,536.824935,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-001,Маргарита,Доставка,0.3,230.067829,65,983.559431,0.233914,753.491602,688.491602,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-002,Четыре сыра,À la carte,0.3,334.18321,0,1113.944034,0.3,779.760824,779.760824,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-002,Четыре сыра,Бизнес-ланч,0.4,334.18321,0,835.458026,0.4,501.274815,501.274815,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-002,Четыре сыра,Гостиничные ужины,0.3,334.18321,0,1113.944034,0.3,779.760824,779.760824,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-002,Четыре сыра,Доставка,0.3,334.18321,65,1330.610701,0.25115,996.427491,931.427491,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-003,Грибная с ветчиной,À la carte,0.3,269.866963,0,899.556544,0.3,629.689581,629.689581,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-003,Грибная с ветчиной,Бизнес-ланч,0.4,269.866963,0,674.667408,0.4,404.800445,404.800445,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-003,Грибная с ветчиной,Гостиничные ужины,0.3,269.866963,0,899.556544,0.3,629.689581,629.689581,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-003,Грибная с ветчиной,Доставка,0.3,269.866963,65,1116.223211,0.241768,846.356248,781.356248,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-004,Пепперони,À la carte,0.3,314.950338,0,1049.834459,0.3,734.884121,734.884121,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-004,Пепперони,Бизнес-ланч,0.4,314.950338,0,787.375844,0.4,472.425507,472.425507,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-004,Пепперони,Гостиничные ужины,0.3,314.950338,0,1049.834459,0.3,734.884121,734.884121,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-004,Пепперони,Доставка,0.3,314.950338,65,1266.501126,0.248678,951.550788,886.550788,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-005,Белая чиабатта,À la carte,0.3,17.20358,0,57.345266,0.3,40.141686,40.141686,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-005,Белая чиабатта,Бизнес-ланч,0.4,17.20358,0,43.00895,0.4,25.80537,25.80537,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-005,Белая чиабатта,Гостиничные ужины,0.3,17.20358,0,57.345266,0.3,40.141686,40.141686,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-005,Белая чиабатта,Доставка,0.3,17.20358,65,274.011933,0.062784,256.808353,191.808353,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-005,Белая чиабатта,Навынос,0.428571,17.20358,40,133.475153,0.12889,116.271573,76.271573,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
