mapping_id,consumer_type,consumer_code,vsf_code,batch_variant_id,required_output_qty,unit,mapping_role,source_recipe_line_ids,mapping_status,evidence_ids,method_or_source_note,blocker_ids,double_counting_control
SFM-001,DISH,VKM-001,VSF-001,VSF-001@VKM-001,213,г,DIRECT_COMPONENT,RCP-0001;RCP-0002;RCP-0003;RCP-0004;RCP-0005,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-002,DISH,VKM-002,VSF-001,VSF-001@VKM-002,220,г,DIRECT_COMPONENT,RCP-0014;RCP-0015;RCP-0016;RCP-0017;RCP-0018,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-003,DISH,VKM-003,VSF-001,VSF-001@VKM-003,220,г,DIRECT_COMPONENT,RCP-0028;RCP-0029;RCP-0030;RCP-0031;RCP-0032,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-004,DISH,VKM-004,VSF-001,VSF-001@VKM-004,220,г,DIRECT_COMPONENT,RCP-0042;RCP-0043;RCP-0044;RCP-0045;RCP-0046,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-005,DISH,VKM-001,VSF-002,VSF-002@VKM-001,80,г,DIRECT_COMPONENT,RCP-0006;RCP-0007;RCP-0008;RCP-0009,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-006,DISH,VKM-002,VSF-002,VSF-002@VKM-002,50,г,DIRECT_COMPONENT,RCP-0019;RCP-0020;RCP-0021;RCP-0022,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-007,DISH,VKM-003,VSF-002,VSF-002@VKM-003,70,г,DIRECT_COMPONENT,RCP-0033;RCP-0034;RCP-0035;RCP-0036,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-008,DISH,VKM-004,VSF-002,VSF-002@VKM-004,70,г,DIRECT_COMPONENT,RCP-0047;RCP-0048;RCP-0049;RCP-0050,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-009,DISH,VKM-005,VSF-003,VSF-003@BASE,100,г,DIRECT_COMPONENT,RCP-0054;RCP-0055;RCP-0056;RCP-0057;RCP-0058,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-010,DISH,VKM-006,VSF-004,VSF-004@BASE,100,г,DIRECT_COMPONENT,RCP-0059;RCP-0060;RCP-0061;RCP-0062;RCP-0063;RCP-0064;RCP-0065,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-011,DISH,VKM-007,VSF-005,VSF-005@BASE,350,г,DIRECT_COMPONENT,RCP-0066;RCP-0067;RCP-0068;RCP-0069;RCP-0070;RCP-0071;RCP-0072;RCP-0073;RCP-0074,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-012,DISH,VKM-008,VSF-006,VSF-006@BASE,85,г,FINAL_DISH_EQUALS_VSF_BATCH,RCP-0075;RCP-0076;RCP-0077;RCP-0078;RCP-0079;RCP-0080;RCP-0081;RCP-0082,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-013,DISH,VKM-021,VSF-006,VSF-006@BASE,85,г,REUSED_COMPONENT,RCP-0180,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,RCP-0180 references VKM-008 identity; resolved to its VSF-006 production node,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-014,DISH,VKM-009,VSF-007,VSF-007@BASE,30,г,DIRECT_COMPONENT,RCP-0085;RCP-0086;RCP-0087;RCP-0088,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-015,DISH,VKM-010,VSF-008,VSF-008@BASE,20,г,DIRECT_COMPONENT,RCP-0095;RCP-0096;RCP-0097;RCP-0098,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-016,DISH,VKM-011,VSF-009,VSF-009@BASE,10,г,DIRECT_COMPONENT,RCP-0106;RCP-0107;RCP-0108,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-017,DISH,VKM-012,VSF-010,VSF-010@BASE,160,г,DIRECT_COMPONENT,RCP-0109;RCP-0110;RCP-0111,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-018,DISH,VKM-014,VSF-011,VSF-011@VKM-023,110,г,REUSED_COMPONENT,RCP-0123,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Prepared-potato input is supplied by the VKM-023-derived draft batch,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-019,DISH,VKM-023,VSF-011,VSF-011@VKM-023,150,г,FINAL_DISH_EQUALS_VSF_BATCH,RCP-0199;RCP-0200;RCP-0201;RCP-0202,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-020,DISH,VKM-015,VSF-012,VSF-012@BASE,20,г,DIRECT_COMPONENT,RCP-0130;RCP-0131;RCP-0132;RCP-0133,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-021,VSF,VSF-014,VSF-013,VSF-013@BASE,20,г,NESTED_CHILD,RCP-0138;RCP-0139;RCP-0140;RCP-0141;RCP-0142,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quick marinade is consumed through VSF-014; no direct VKM-016 cost line,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-022,DISH,VKM-016,VSF-014,VSF-014@BASE,180,г,ASSEMBLED_COMPONENT,RCP-0134;RCP-0135;RCP-0136;RCP-0137;RCP-0138;RCP-0139;RCP-0140;RCP-0141;RCP-0142,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Vegetable preparation plus nested VSF-013; direct VSF-013 dish mapping prohibited,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-023,DISH,VKM-017,VSF-015,VSF-015@BASE,33,г,DIRECT_COMPONENT,RCP-0145;RCP-0146,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-024,DISH,VKM-017,VSF-016,VSF-016@BASE,15,г,DIRECT_COMPONENT,RCP-0147;RCP-0148;RCP-0149,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-025,DISH,VKM-018,VSF-017,VSF-017@BASE,145,г,DIRECT_COMPONENT,RCP-0151,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-026,DISH,VKM-018,VSF-018,VSF-018@BASE,105,г,DIRECT_COMPONENT,RCP-0152;RCP-0156;RCP-0157;RCP-0158;RCP-0159,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-027,DISH,VKM-019,VSF-019,VSF-019@BASE,85,г,DIRECT_COMPONENT,RCP-0163;RCP-0164;RCP-0165;RCP-0166,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-028,DISH,VKM-020,VSF-020,VSF-020@BASE,120,г,DIRECT_COMPONENT,RCP-0171;RCP-0172;RCP-0173;RCP-0174,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-029,DISH,VKM-021,VSF-021,VSF-021@BASE,150,г,DIRECT_COMPONENT,RCP-0181;RCP-0182,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-030,DISH,VKM-021,VSF-022,VSF-022@BASE,25,г,DIRECT_COMPONENT,RCP-0187;RCP-0188,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-031,DISH,VKM-022,VSF-023,VSF-023@BASE,220,г,DIRECT_COMPONENT,RCP-0190,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-032,DISH,VKM-022,VSF-024,VSF-024@BASE,40,г,DIRECT_COMPONENT,RCP-0191;RCP-0192,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-033,DISH,VKM-024,VSF-025,VSF-025@BASE,138,г,DIRECT_COMPONENT,RCP-0203;RCP-0204,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-034,DISH,VKM-025,VSF-026,VSF-026@BASE,130,г,DIRECT_COMPONENT,RCP-0208;RCP-0209;RCP-0210;RCP-0211,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-035,DISH,VKM-029,VSF-027,VSF-027@BASE,607,г,DIRECT_COMPONENT,RCP-0215;RCP-0216;RCP-0217;RCP-0218;RCP-0219;RCP-0220;RCP-0221,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-036,DISH,VKM-029,VSF-028,VSF-028@BASE,700,г,DIRECT_COMPONENT,RCP-0222;RCP-0223;RCP-0224;RCP-0225,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-037,DISH,VKM-029,VSF-029,VSF-029@BASE,300,г,DIRECT_COMPONENT,RCP-0226;RCP-0227;RCP-0228;RCP-0229,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-038,DISH,VKM-029,VSF-030,VSF-030@BASE,150,г,DIRECT_COMPONENT,RCP-0230,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
SFM-039,DISH,VKM-030,VSF-031,VSF-031@BASE,600,г,DIRECT_COMPONENT,RCP-0232;RCP-0233;RCP-0234;RCP-0235;RCP-0236,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,Quantity equals Chef projected output contribution for lines assigned to this VSF,GAP-006;GAP-010;GAP-011,Consumer costs this VSF mapping once and excludes mapped flattened/raw source lines
