vsf_code,semi_finished_name,recipe_version,canonical_batch_variant_id,batch_variant_count,batch_basis,batch_gross_qty,batch_net_qty,projected_batch_output,output_unit,linked_dish_codes,child_vsf_codes,reuse_candidate,card_status,parameter_status,evidence_ids,method_or_source_note,source_date,confirmation_owner,blocker_ids,safety_status,safety_blocker_ids,next_action,cost_per_output_rule,double_counting_rule,record_type,make_or_buy_status,graph_link_status
VSF-001,Тесто для пиццы базовое,0.1.0-DRAFT,VSF-001@VKM-001,4,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",238,238,213,г,VKM-001;VKM-002;VKM-003;VKM-004,null,Да,BLOCKED_PENDING_VALIDATION,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted; consuming-dish variants conflict and remain explicit pending Chef freeze,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011;GAP-SF-001,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-002,Соус томатный для пиццы,0.1.0-DRAFT,VSF-002@VKM-001,4,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",83.2,83,80,г,VKM-001;VKM-002;VKM-003;VKM-004,null,Да,BLOCKED_PENDING_VALIDATION,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted; consuming-dish variants conflict and remain explicit pending Chef freeze,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011;GAP-SF-001,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-003,Тесто чиабатты белой,0.1.0-DRAFT,VSF-003@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",111,111,100,г,VKM-005,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-004,Тесто чиабатты томатной,0.1.0-DRAFT,VSF-004@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",112,112,100,г,VKM-006,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-005,Тесто/заварка бородинского хлеба,0.1.0-DRAFT,VSF-005@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",395,395,350,г,VKM-007,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-006,Тесто бриоши,0.1.0-DRAFT,VSF-006@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",90,90,85,г,VKM-008;VKM-021,null,Да,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted; special mapping is documented in SEMI_FINISHED_MAPPING.csv,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-007,Заправка к буррате,0.1.0-DRAFT,VSF-007@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",30,30,30,г,VKM-009,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-008,Заправка к салату с креветками,0.1.0-DRAFT,VSF-008@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",22,20,20,г,VKM-010,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-009,Заправка греческая,0.1.0-DRAFT,VSF-009@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",11,10,10,г,VKM-011,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-010,Отварные овощи для винегрета,0.1.0-DRAFT,VSF-010@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",198,180,160,г,VKM-012,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
