dag_edge_id,parent_type,parent_code,child_vsf_code,batch_variant_id,required_output_qty,unit,edge_role,mapping_id,source_recipe_line_ids,status,evidence_ids,blocker_ids,cycle_control
SFD-001,DISH,VKM-001,VSF-001,VSF-001@VKM-001,213,г,DIRECT_COMPONENT,SFM-001,RCP-0001;RCP-0002;RCP-0003;RCP-0004;RCP-0005,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-002,DISH,VKM-002,VSF-001,VSF-001@VKM-002,220,г,DIRECT_COMPONENT,SFM-002,RCP-0014;RCP-0015;RCP-0016;RCP-0017;RCP-0018,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-003,DISH,VKM-003,VSF-001,VSF-001@VKM-003,220,г,DIRECT_COMPONENT,SFM-003,RCP-0028;RCP-0029;RCP-0030;RCP-0031;RCP-0032,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-004,DISH,VKM-004,VSF-001,VSF-001@VKM-004,220,г,DIRECT_COMPONENT,SFM-004,RCP-0042;RCP-0043;RCP-0044;RCP-0045;RCP-0046,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-005,DISH,VKM-001,VSF-002,VSF-002@VKM-001,80,г,DIRECT_COMPONENT,SFM-005,RCP-0006;RCP-0007;RCP-0008;RCP-0009,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-006,DISH,VKM-002,VSF-002,VSF-002@VKM-002,50,г,DIRECT_COMPONENT,SFM-006,RCP-0019;RCP-0020;RCP-0021;RCP-0022,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-007,DISH,VKM-003,VSF-002,VSF-002@VKM-003,70,г,DIRECT_COMPONENT,SFM-007,RCP-0033;RCP-0034;RCP-0035;RCP-0036,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-008,DISH,VKM-004,VSF-002,VSF-002@VKM-004,70,г,DIRECT_COMPONENT,SFM-008,RCP-0047;RCP-0048;RCP-0049;RCP-0050,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-009,DISH,VKM-005,VSF-003,VSF-003@BASE,100,г,DIRECT_COMPONENT,SFM-009,RCP-0054;RCP-0055;RCP-0056;RCP-0057;RCP-0058,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-010,DISH,VKM-006,VSF-004,VSF-004@BASE,100,г,DIRECT_COMPONENT,SFM-010,RCP-0059;RCP-0060;RCP-0061;RCP-0062;RCP-0063;RCP-0064;RCP-0065,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-011,DISH,VKM-007,VSF-005,VSF-005@BASE,350,г,DIRECT_COMPONENT,SFM-011,RCP-0066;RCP-0067;RCP-0068;RCP-0069;RCP-0070;RCP-0071;RCP-0072;RCP-0073;RCP-0074,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-012,DISH,VKM-008,VSF-006,VSF-006@BASE,85,г,FINAL_DISH_EQUALS_VSF_BATCH,SFM-012,RCP-0075;RCP-0076;RCP-0077;RCP-0078;RCP-0079;RCP-0080;RCP-0081;RCP-0082,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-013,DISH,VKM-021,VSF-006,VSF-006@BASE,85,г,REUSED_COMPONENT,SFM-013,RCP-0180,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-014,DISH,VKM-009,VSF-007,VSF-007@BASE,30,г,DIRECT_COMPONENT,SFM-014,RCP-0085;RCP-0086;RCP-0087;RCP-0088,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
