dish_code,dish_name,recipe_version,scenario_food_cost_rub,proxy_mapped_cost_component_rub,evidence_benchmark_component_rub,spoilage_1_5pct_scenario_rub,scenario_kitchen_cogs_rub,scenario_status,confidence,procurement_block,method,limitations
VKM-001,Маргарита,0.1.0-DRAFT,226.667812,58.496792,168.17102,3.400017,230.067829,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,Same no-double-count DAG as evidence layer; all 74 missing prices supplied only by explicit public category proxies,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
VKM-002,Четыре сыра,0.1.0-DRAFT,329.244542,76.196522,253.04802,4.938668,334.18321,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,Same no-double-count DAG as evidence layer; all 74 missing prices supplied only by explicit public category proxies,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
VKM-003,Грибная с ветчиной,0.1.0-DRAFT,265.878782,131.073822,134.80496,3.988182,269.866963,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,Same no-double-count DAG as evidence layer; all 74 missing prices supplied only by explicit public category proxies,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
VKM-004,Пепперони,0.1.0-DRAFT,310.295899,51.886239,258.40966,4.654438,314.950338,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,Same no-double-count DAG as evidence layer; all 74 missing prices supplied only by explicit public category proxies,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
VKM-005,Белая чиабатта,0.1.0-DRAFT,16.94934,13.688935,3.260405,0.25424,17.20358,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,Same no-double-count DAG as evidence layer; all 74 missing prices supplied only by explicit public category proxies,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
VKM-006,Томатная чиабатта,0.1.0-DRAFT,15.55111,12.546157,3.004952,0.233267,15.784376,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,Same no-double-count DAG as evidence layer; all 74 missing prices supplied only by explicit public category proxies,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
VKM-007,Бородинский хлеб,0.1.0-DRAFT,25.539084,9.764072,15.775013,0.383086,25.922171,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,Same no-double-count DAG as evidence layer; all 74 missing prices supplied only by explicit public category proxies,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
VKM-008,Бриошь,0.1.0-DRAFT,27.160066,1.285036,25.87503,0.407401,27.567467,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,Same no-double-count DAG as evidence layer; all 74 missing prices supplied only by explicit public category proxies,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
VKM-009,Буррата с томатами,0.1.0-DRAFT,297.117141,100.243274,196.873867,4.456757,301.573898,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,Same no-double-count DAG as evidence layer; all 74 missing prices supplied only by explicit public category proxies,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
VKM-010,Микс-салат с креветками и яблоком,0.1.0-DRAFT,334.669062,155.441162,179.2279,5.020036,339.689098,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,Same no-double-count DAG as evidence layer; all 74 missing prices supplied only by explicit public category proxies,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
