record_id,tech_card_code,dish_code,recipe_version,dish_name,operation_sequence,draft_active_time,active_time_unit,draft_total_time,total_time_unit,active_time_basis,total_time_basis,draft_plating,draft_target_output,output_unit,safety_critical_parameters,safety_status,safety_evidence_ids,safety_owner,safety_blocker_ids,parameter_status,evidence_ids,method_or_source_note,source_date,confirmation_owner,blocker_ids,validation_note
TCH-001,VKT-001,VKM-001,0.1.0-DRAFT,Маргарита,Подготовить тесто и соус; выдержать тесто; сформовать основу; нанести соус и сыр; выпечь; добавить базилик и масло,19,мин,90,мин,Замес и формование 12; сборка 5; финиш 2,Расстойка/созревание и выпечка 90,Целая пицца на подложке/тарелке; равномерный борт; базилик после выпечки,450,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-002,VKT-002,VKM-002,0.1.0-DRAFT,Четыре сыра,Подготовить тесто и соус; сформовать; распределить четыре сыра; выпечь; финишировать маслом,20,мин,92,мин,Замес и формование 12; сборка 6; финиш 2,Расстойка/созревание и выпечка 92,"Целая пицца; четыре сыра распределены равномерно, без перегруженного центра",480,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-003,VKT-003,VKM-003,0.1.0-DRAFT,Грибная с ветчиной,Подготовить тесто и соус; подготовить грибы и лук; сформовать; собрать с ветчиной; выпечь,22,мин,95,мин,Замес и формование 14; сборка 7; финиш 1,"Расстойка/созревание, подготовка и выпечка 95",Целая пицца; видимая равномерная раскладка ветчины и грибов,500,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-004,VKT-004,VKM-004,0.1.0-DRAFT,Пепперони,Подготовить тесто и соус; сформовать; собрать с моцареллой и пепперони; выпечь; финишировать,20,мин,92,мин,Замес и формование 12; сборка 6; финиш 2,Расстойка/созревание и выпечка 92,Целая пицца; пепперони равномерно распределена,500,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-005,VKT-005,VKM-005,0.1.0-DRAFT,Белая чиабатта,Смешать компоненты; замесить; провести брожение и складывания; сформовать; расстоять; выпечь; охладить,18,мин,150,мин,Замес/складывания/формование 18,"Брожение, расстойка, выпечка и охлаждение 150",Изделие 100 г; открытый пористый мякиш проверяется после контрольной выпечки,100,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-006,VKT-006,VKM-006,0.1.0-DRAFT,Томатная чиабатта,Смешать тесто с томатными компонентами; замесить; провести брожение; сформовать; расстоять; выпечь; охладить,18,мин,150,мин,Замес/формование 18,"Брожение, расстойка, выпечка и охлаждение 150",Изделие 100 г; равномерное распределение томатных включений,100,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-007,VKT-007,VKM-007,0.1.0-DRAFT,Бородинский хлеб,Приготовить заварку; замесить тесто; провести брожение; уложить в форму; расстоять; выпечь; стабилизировать и охладить,25,мин,300,мин,Заварка/замес/формование 25,"Заварка, брожение, расстойка, выпечка и стабилизация 300","Буханка 350 г; целая корка, равномерный мякиш после полного охлаждения",350,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-008,VKT-008,VKM-008,0.1.0-DRAFT,Бриошь,Замесить сдобное тесто; ввести масло; провести брожение; сформовать; расстоять; смазать; выпечь; охладить,22,мин,180,мин,Замес/формование/смазка 22,"Брожение, расстойка, выпечка и охлаждение 180",Изделие 85 г; ровная форма и глянцевая поверхность,85,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-009,VKT-009,VKM-009,0.1.0-DRAFT,Буррата с томатами,Подготовить томаты и зелень; смешать заправку; разместить буррату; собрать и финишировать,8,мин,10,мин,Подготовка и сборка 8,Полное время 10,Буррата в центре; томаты и зелень по периметру; заправка непосредственно перед подачей,300,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-010,VKT-010,VKM-010,0.1.0-DRAFT,Микс-салат с креветками и яблоком,"Подготовить зелень, яблоко и огурец; подготовить креветки; смешать заправку; аккуратно собрать; добавить финиш",12,мин,18,мин,Подготовка и сборка 12,Полное время 18,Воздушная укладка микса; креветки видимы; яблоко без потемнения,280,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-011,VKT-011,VKM-011,0.1.0-DRAFT,Греческий,Нарезать овощи; подготовить фету и оливки; смешать заправку; собрать без излишнего перемешивания,10,мин,12,мин,Подготовка и сборка 10,Полное время 12,Крупная одинаковая нарезка; фета и оливки визуально распределены,270,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-012,VKT-012,VKM-012,0.1.0-DRAFT,Винегрет,Подготовить варёные овощи; охладить; нарезать одинаковым кубиком; подготовить прочие компоненты; смешать и заправить,18,мин,90,мин,Подготовка/нарезка/сборка 18,"Варка, охлаждение и сборка 90","Порционная выкладка; одинаковая нарезка, без избыточной жидкости",240,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-013,VKT-013,VKM-013,0.1.0-DRAFT,Слабосолёный лосось,Проверить готовое филе; удалить упаковочную жидкость; порционировать; подготовить лимон и гарниры; собрать,7,мин,10,мин,Порционирование и сборка 7,Полное время 10,Ломтики лосося уложены веером; лимон и каперсы отделены,130,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-014,VKT-014,VKM-014,0.1.0-DRAFT,Сельдь с запечённым картофелем,Подготовить и запечь картофель; подготовить сельдь и лук; охладить компоненты по процессу; собрать и заправить,14,мин,55,мин,Подготовка и сборка 14,Запекание/охлаждение/сборка 55,Сельдь и картофель разделены визуально; лук и зелень финишем,250,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-015,VKT-015,VKM-015,0.1.0-DRAFT,Оливки и маслины,Освободить оливки и маслины от заливки; подготовить ароматический маринад; смешать; выдержать; порционировать,8,мин,40,мин,Подготовка и сборка 8,Выдержка и порционирование 40,Смесь двух цветов; минимальное количество свободного маринада,120,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-016,VKT-016,VKM-016,0.1.0-DRAFT,Ассорти фирменных солений,Подготовить и нарезать овощи; приготовить маринад; мариновать компоненты раздельно; объединить при подаче,23,мин,70,мин,Подготовка 18; сборка 5,Маринование и сборка 70,Контрастная раскладка отдельных овощей; без избыточной жидкости,180,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-017,VKT-017,VKM-017,0.1.0-DRAFT,Ростбиф с луком и гренкой,Порционировать ростбиф; подготовить лук; подсушить гренку; смешать соус; собрать непосредственно перед подачей,12,мин,18,мин,Подготовка и сборка 12,Полное время 18,Ростбиф уложен свободно; гренка сохраняет хруст; соус дозирован,180,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-018,VKT-018,VKM-018,0.1.0-DRAFT,Традиционный красный борщ,"Приготовить бульон; подготовить овощи; выполнить пассеровку свёклы; соединить компоненты; довести вкус; порционировать с мясом, сметаной и зеленью",35,мин,180,мин,Активные операции 35,Варка бульона и супа 180,Глубокая тарелка; мясо в порции; сметана и зелень финишем,400,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
TCH-019,VKT-019,VKM-019,0.1.0-DRAFT,Мурманская треска со сливочно-горчичным соусом,Порционировать треску; подготовить соус; обработать рыбу и шпинат; довести соус; собрать и финишировать,18,мин,28,мин,Подготовка и обработка 18,Полное время 28,Рыба как главный элемент; соус нанесён дозированно; зелень финишем,300,г,null,BLOCKED_PENDING_VALIDATION,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-002;EVD-FS-003,FoodSafetyAgent / PPK owner,GAP-010;GAP-011,ASSUMPTION,EVD-0010;EVD-0011,Операции и время — проект планирования; plating — проект для решения шефа,2026-08-03,Chef,GAP-007;GAP-008,Наблюдать операции и время; отдельно подтвердить safety-critical параметры
