blocker_id,date,domain,dish_codes,missing_input,reason,owner,impact,next_action,control_point,status,evidence_id
BLK-0001,2026-08-03,Evidence,ALL,Gate A package,Source audit still in progress,SourceAuditor,Specialist work cannot start,Complete and accept HOF-0001,Gate A,RESOLVED,EVD-0001
BLK-0002,2026-08-03,Agent execution,ALL,Original SourceAuditor deliverable,Original agent produced no files after repeated control messages,Orchestrator,Gate A delayed,Replacement SourceAuditor assigned,Gate A,RESOLVED,
BLK-0003,2026-08-03,Semi-finished,"VKM-001…004","Frozen production formula for VSF-001/002",Dish-specific variants differ,Chef,Costs and batch planning remain variant-dependent,Chef selects canonical formulas or approves variants,Owner/Chef Gate,OPEN,"EVD-0007;EVD-0008"
BLK-0004,2026-08-03,Semi-finished,"VKM-018;VKM-029","Decomposed recipes for VSF-017 broth and VSF-030 glaze",Prepared inputs are undecomposed,Chef/Procurement,Cost and allergen trace may be incomplete,Provide production recipes or exact purchased SKU,Gate C,OPEN,"EVD-0009"
BLK-0005,2026-08-03,Food safety,ALL,"Frozen recipes/SKU dossier/validated limits/HACCP-PPK",Safety-critical evidence absent,FoodSafety/Procurement/Chef,All 28 veto BLOCK and cannot be READY_FOR_CHEF_REVIEW,Obtain evidence and request FoodSafety re-review,Owner/Chef Gate,OPEN,"EVD-FS-001…010"
BLK-0006,2026-08-03,Economics,ALL,"Supplier quotes; ingredient specifications; densities; applicable tax/commission inputs",Complete cost inputs are absent or incompatible,Procurement/Owner/Chef,"Complete COGS and approved channel price unavailable for 28/28",Resolve ECB-001…ECB-031 and request Costing re-run,Gate C / Owner Gate,OPEN,"HOF-0005;PRICE_SOURCE_REGISTER"
BLK-0007,2026-08-03,Equipment and capacity,ALL,"Selected-model passports; asset/connection status; approved peak demand; timed tests",Suitability and demand-based capacity cannot be demonstrated,Owner/Engineering/Operations,"Capacity and bottleneck conclusion blocked for 28/28",Resolve EQG-001…EQG-014 and request Equipment/FoodSafety re-review,Gate C / Control Cook,OPEN,"HOF-0006;EVD-0022…0026"
BLK-0008,2026-08-03,Nutrition,ALL,"Exact ingredient SKU/composition record; edible state; validated output",Accepted nutrient inputs are absent,Nutrition/Procurement/Chef,"Numeric nutrition blocked for 28/28",Resolve GAP-013/GAP-023 and NUT-LIM-001…006; rerun calculation,Owner/Chef Gate,OPEN,"HOF-0007;EVD-0027;EVD-0028"
BLK-0009,2026-08-03,Cost provenance,ALL,"Verified product-matched URLs for every retained price observation","Gate C found source/product contradictions in HOF-0005 v0.1.0 and residual defects in v0.2.0",CostingPricingAgent,"Superseded partial costs quarantined and rebuilt","CR-0001 resolved in v0.2.1; 46 retained/22 rejected; SystemArchitect rechecked",Gate C Recheck,RESOLVED,"HOF-0005 v0.2.1;INT-C-001"
BLK-0010,2026-08-03,Agent execution,ALL,"Initial ExcelBuilder deliverable","Initial agent produced no files or status after repeated controls",Orchestrator,"Wave 3 delayed","Replacement ExcelBuilder assigned",Gate D,RESOLVED,
BLK-0011,2026-08-03,Workbook visual,15_ПРОВЕРКИ,"Readable required-sheet names in A31:A47","Column A clipped long sheet names in initial RC",ExcelBuilder,"Minor audit-list readability issue; formulas unaffected","CR-0002 implemented and independently rechecked",Wave 4 Recheck,RESOLVED,"IV-008;HOF-0010"
