recipe_line_id,dish_code,cost_card_code,tech_card_code,recipe_version,ingredient_id,ingredient_name,component_type,production_stage,semi_finished_candidate_code,gross_qty,gross_unit,net_qty,net_unit,projected_output_contribution,output_unit,projected_preparation_loss,projected_process_loss,parameter_status,evidence_ids,calculation_method,source_date,confirmation_owner,blocker_ids,validation_note
RCP-0001,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-001,Мука пшеничная хлебопекарная,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,140,г,140,г,130,г,0,10,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0002,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-002,Вода питьевая,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,85,г,85,г,70,г,0,15,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0003,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-003,Дрожжи хлебопекарные,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,2,г,2,г,2,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0004,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-004,Соль пищевая,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,3,г,3,г,3,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0005,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,8,г,8,г,8,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0006,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-006,Томаты протёртые,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,70,г,70,г,67,г,0,3,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0007,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-007,Чеснок,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,2.2,г,2,г,2,г,0.2,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0008,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-008,Орегано,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,1,г,1,г,1,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0009,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,10,г,10,г,10,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0010,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-009,Моцарелла,RAW_OR_FLATTENED_COMPONENT,Сборка,,130,г,130,г,130,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0011,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-010,Пармезан,RAW_OR_FLATTENED_COMPONENT,Сборка,,10,г,10,г,10,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0012,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-011,Базилик свежий,RAW_OR_FLATTENED_COMPONENT,Сборка,,6,г,5,г,5,г,1,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0013,VKM-001,VKC-001,VKT-001,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Финиш,,12,г,12,г,12,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0014,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-001,Мука пшеничная хлебопекарная,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,140,г,140,г,130,г,0,10,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
