nutrition_record_id,dish_code,cost_card_code,tech_card_code,menu_section,dish_name,recipe_version,production_sales_unit,draft_batch_or_item_output_mass,output_unit,draft_sale_portion_mass,sale_portion_unit,portion_mass_method_status,ingredient_line_count,protein_g_per_declared_output,fat_g_per_declared_output,carbohydrate_g_per_declared_output,energy_kcal_per_declared_output,protein_g_per_100g,fat_g_per_100g,carbohydrate_g_per_100g,energy_kcal_per_100g,calculation_status,laboratory_confirmed,evidence_ids,calculation_method,source_date,confirmation_owner,blocker_ids,limitation,next_action
NUT-DISH-001,VKM-001,VKC-001,VKT-001,Пицца,Маргарита,0.1.0-DRAFT,1 пицца,450,г,450,г,DRAFT: target output used as one sales unit,13,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-002,VKM-002,VKC-002,VKT-002,Пицца,Четыре сыра,0.1.0-DRAFT,1 пицца,480,г,480,г,DRAFT: target output used as one sales unit,14,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-003,VKM-003,VKC-003,VKT-003,Пицца,Грибная с ветчиной,0.1.0-DRAFT,1 пицца,500,г,500,г,DRAFT: target output used as one sales unit,14,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-004,VKM-004,VKC-004,VKT-004,Пицца,Пепперони,0.1.0-DRAFT,1 пицца,500,г,500,г,DRAFT: target output used as one sales unit,12,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-005,VKM-005,VKC-005,VKT-005,Хлеб,Белая чиабатта,0.1.0-DRAFT,1 изделие,100,г,100,г,DRAFT: target output used as one sales unit,5,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-006,VKM-006,VKC-006,VKT-006,Хлеб,Томатная чиабатта,0.1.0-DRAFT,1 изделие,100,г,100,г,DRAFT: target output used as one sales unit,7,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-007,VKM-007,VKC-007,VKT-007,Хлеб,Бородинский хлеб,0.1.0-DRAFT,1 буханка,350,г,350,г,DRAFT: target output used as one sales unit,9,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-008,VKM-008,VKC-008,VKT-008,Хлеб,Бриошь,0.1.0-DRAFT,1 изделие,85,г,85,г,DRAFT: target output used as one sales unit,8,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-009,VKM-009,VKC-009,VKT-009,Салаты,Буррата с томатами,0.1.0-DRAFT,1 порция,300,г,300,г,DRAFT: target output used as one sales unit,8,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-010,VKM-010,VKC-010,VKT-010,Салаты,Микс-салат с креветками и яблоком,0.1.0-DRAFT,1 порция,280,г,280,г,DRAFT: target output used as one sales unit,9,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
