bridge_record_id,position_code,position_name,menu_family,unit_basis,source_model,source_ref_sha,source_path,source_record_key,source_as_of,recipe_or_model_version,costing_method_id,evidence_food_cost_rub,evidence_spoilage_rub,evidence_kitchen_cogs_rub,evidence_packaging_rub,evidence_other_direct_variable_rub,evidence_complete_direct_cogs_rub,model_evidence_benchmark_component_rub,model_proxy_component_rub,model_food_cost_rub,model_spoilage_rub,model_kitchen_cogs_rub,model_packaging_rub,model_other_direct_variable_rub,model_complete_direct_cogs_rub,model_tariff_or_price_rub,model_food_cost_ratio,calculation_layer,calculation_status,procurement_evidence_status,owner_model_status,safety_release_status,import_status,limitations
CALC-VKM-001-ISS82-PROXY,VKM-001,Маргарита,Пицца,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-001,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,168.17102,58.496792,226.667812,3.400017,230.067829,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-002-ISS82-PROXY,VKM-002,Четыре сыра,Пицца,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-002,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,253.04802,76.196522,329.244542,4.938668,334.18321,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-003-ISS82-PROXY,VKM-003,Грибная с ветчиной,Пицца,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-003,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,134.80496,131.073822,265.878782,3.988182,269.866963,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-004-ISS82-PROXY,VKM-004,Пепперони,Пицца,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-004,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,258.40966,51.886239,310.295899,4.654438,314.950338,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-005-ISS82-PROXY,VKM-005,Белая чиабатта,Хлеб,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-005,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,3.260405,13.688935,16.94934,0.25424,17.20358,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-006-ISS82-PROXY,VKM-006,Томатная чиабатта,Хлеб,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-006,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,3.004952,12.546157,15.55111,0.233267,15.784376,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-007-ISS82-PROXY,VKM-007,Бородинский хлеб,Хлеб,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-007,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,15.775013,9.764072,25.539084,0.383086,25.922171,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-008-ISS82-PROXY,VKM-008,Бриошь,Хлеб,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-008,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,25.87503,1.285036,27.160066,0.407401,27.567467,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-009-ISS82-PROXY,VKM-009,Буррата с томатами,Салаты,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-009,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,196.873867,100.243274,297.117141,4.456757,301.573898,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-010-ISS82-PROXY,VKM-010,Микс-салат с креветками и яблоком,Салаты,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-010,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,179.2279,155.441162,334.669062,5.020036,339.689098,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
