resource_card_id,dish_code,dish_name,menu_section,recipe_version,primary_area,operation_count,mapped_operation_count,functional_codes,conditional_candidate_codes,vsf_codes,draft_active_time,active_time_unit,draft_total_time,total_time_unit,recipe_batch_basis,recipe_batch_output,output_unit,preliminary_recipe_batches,preliminary_batch_status,capacity_demand_qty,capacity_demand_unit,required_equipment_batches,capacity_status,inventory_set_code,tableware_set_code,service_flow_codes,availability_status,connections_status,bottleneck_status,parameter_status,evidence_ids,source_date,blocker_ids,confirmation_owner,next_action
RSC-001,VKM-001,Маргарита,Пицца,0.1.0-DRAFT,"Пицца, хлеб, десерты",6,6,BAK-03;BAK-12;HOT-05B;STO-08;BAK-01,,VSF-001;VSF-002,19,мин,90,мин,One current draft recipe/card unit only; not a production-plan batch,450,г,1,CALCULATED,,,,BLOCKED,INVSET-001,TWS-001,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-002,VKM-002,Четыре сыра,Пицца,0.1.0-DRAFT,"Пицца, хлеб, десерты",5,5,BAK-03;BAK-12;HOT-05B;BAK-01,,VSF-001;VSF-002,20,мин,92,мин,One current draft recipe/card unit only; not a production-plan batch,480,г,1,CALCULATED,,,,BLOCKED,INVSET-002,TWS-002,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-003,VKM-003,Грибная с ветчиной,Пицца,0.1.0-DRAFT,"Пицца, хлеб, десерты",5,5,BAK-03;BAK-12;HOT-05B;BAK-01,,VSF-001;VSF-002,22,мин,95,мин,One current draft recipe/card unit only; not a production-plan batch,500,г,1,CALCULATED,,,,BLOCKED,INVSET-003,TWS-003,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-004,VKM-004,Пепперони,Пицца,0.1.0-DRAFT,"Пицца, хлеб, десерты",5,5,BAK-03;BAK-12;HOT-05B;BAK-01,,VSF-001;VSF-002,20,мин,92,мин,One current draft recipe/card unit only; not a production-plan batch,500,г,1,CALCULATED,,,,BLOCKED,INVSET-004,TWS-004,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-005,VKM-005,Белая чиабатта,Хлеб,0.1.0-DRAFT,"Пицца, хлеб, десерты",7,7,BAK-03;STO-08;REQ-BAK-PREP;BAK-05;BAK-02;BAK-06,,VSF-003,18,мин,150,мин,One current draft recipe/card unit only; not a production-plan batch,100,г,1,CALCULATED,,,,BLOCKED,INVSET-005,TWS-005,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-006,VKM-006,Томатная чиабатта,Хлеб,0.1.0-DRAFT,"Пицца, хлеб, десерты",7,7,BAK-03;STO-08;REQ-BAK-PREP;BAK-05;BAK-02;BAK-06,,VSF-004,18,мин,150,мин,One current draft recipe/card unit only; not a production-plan batch,100,г,1,CALCULATED,,,,BLOCKED,INVSET-006,TWS-006,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-007,VKM-007,Бородинский хлеб,Хлеб,0.1.0-DRAFT,"Пицца, хлеб, десерты",7,7,REQ-BAK-PREP;BAK-03;STO-08;BAK-05;BAK-02;BAK-06,,VSF-005,25,мин,300,мин,One current draft recipe/card unit only; not a production-plan batch,350,г,1,CALCULATED,,,,BLOCKED,INVSET-007,TWS-007,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-008,VKM-008,Бриошь,Хлеб,0.1.0-DRAFT,"Пицца, хлеб, десерты",8,8,BAK-03;REQ-BAK-PREP;STO-08;BAK-05;BAK-02;BAK-06,,VSF-006,22,мин,180,мин,One current draft recipe/card unit only; not a production-plan batch,85,г,1,CALCULATED,,,,BLOCKED,INVSET-008,TWS-008,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-009,VKM-009,Буррата с томатами,Салаты,0.1.0-DRAFT,Холодный участок,4,4,CLD-03;CLD-07,,VSF-007,8,мин,10,мин,One current draft recipe/card unit only; not a production-plan batch,300,г,1,CALCULATED,,,,BLOCKED,INVSET-009,TWS-009,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-010,VKM-010,Микс-салат с креветками и яблоком,Салаты,0.1.0-DRAFT,Холодный участок,5,5,CLD-03;CLD-07,,VSF-008,12,мин,18,мин,One current draft recipe/card unit only; not a production-plan batch,280,г,1,CALCULATED,,,,BLOCKED,INVSET-010,TWS-010,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
