source_id,source_name,locator,source_level,version_or_date,provenance,scope,source_status,allowed_use,limitations,confirmation_owner
SRC-001,MULTI_AGENT_GOVERNANCE_VARSHAVKA,docs/01-project/MULTI_AGENT_GOVERNANCE_VARSHAVKA.md,1,1.0.0 / 2026-08-03,approved repository governance,Issue #82,APPLICABLE,"roles; gates; evidence and handoff rules",does not supply domain facts,Owner / Orchestrator
SRC-002,KITCHEN_MENU_VARSHAVKA_v3.0.0,downloads/KITCHEN_MENU_VARSHAVKA_v3.0.0.xlsx,5,"3.0.0 / 2026-07-28 / sha256 edf80218…c95",official S04 downloadable artifact,"31 active; 28 in scope",APPLICABLE_WITH_CONDITIONS,"menu identity; section; unit; draft output; production model; channels",recipes and outputs conditional pending control cooks,Chef / Owner
SRC-003,KITCHEN_MENU_3.0.0,docs/07-operations/KITCHEN_MENU_3.0.0.md,5,2026-07-27,repository publication,"31 active; 28 in scope",APPLICABLE_WITH_CONDITIONS,"human-readable reconciliation of SRC-002",explicitly says recipes and outputs conditional,Chef / Owner
SRC-004,KITCHEN_PRODUCTION_CAPACITY_BY_MENU,downloads/KITCHEN_PRODUCTION_CAPACITY_BY_MENU_VARSHAVKA_v3.0.0.xlsx,5,"3.0.0 / 2026-07-28 / sha256 9a050fc3…ab5",official S04 downloadable artifact,"31 active; 28 in scope",PRELIMINARY,"demand profiles; functional groups; preliminary bottlenecks",profiles provisional; no passport performance,Operations / Engineering
SRC-005,EQUIPMENT_POWER_REGISTER,downloads/EQUIPMENT_POWER_REGISTER_VARSHAVKA_v3.0.0.xlsx,5,"3.0.0 / 2026-07-28 / sha256 4399b884…c39f",official S04 downloadable artifact,kitchen equipment,PRELIMINARY,"equipment functions; preliminary electrical estimate",models passports ownership and connections unconfirmed,Procurement / Engineering
SRC-006,S04 financial model,models/scenarios/S04/FINMODEL_VARSHAVKA_USALI_SCENARIO_S04_v3.0.0.xlsx,5,"3.0.0 / 2026-07-28 / sha256 337ce883…e695",official scenario release,project economics,REFERENCE_ONLY,"architecture; current proxy/status reconciliation; breakfast example",proxy COGS and draft inputs cannot populate 28 recipe cost cards,Finance / Owner
SRC-007,S04 release note,docs/08-releases/S04-v3.0.0.md,5,2026-07-28,official repository release note,project,APPLICABLE,"release status and stated limitations",not a primary supplier recipe or safety document,Orchestrator
SRC-008,S04 validation report,docs/06-validation/SCENARIO_S04_v3.0.0_VALIDATION.md,5,2026-07-28,repository validation,project,APPLICABLE,"formula/check provenance and breakfast architecture",does not validate 28 recipes or external facts,SystemArchitect
SRC-009,ISSUE_REGISTER,docs/05-data/ISSUE_REGISTER.md,5,2026-07-28 current repository snapshot,canonical project gap register,project,APPLICABLE,"blockers; owners; acceptance criteria; dependencies",open item is not evidence of fact,Orchestrator / named owner
SRC-010,Project data sources,docs/05-data/DATA_SOURCES.md,5,current main,repository source policy,project,APPLICABLE_WITH_CONDITIONS,"provenance boundary; confidential document location",primary confidential documents absent from repository,Owner
SRC-011,CAPEX quantity specification,docs/10-investment/CAPEX_QUANTITY_SPECIFICATION.csv,5,3.0.0 / 2026-07-28,repository investment register,equipment and tableware,PRELIMINARY,"candidate quantities; gap routing",does not prove purchase suitability or installation,Procurement / Engineering
SRC-012,Conditional equipment gates,docs/10-investment/CONDITIONAL_EQUIPMENT_GATES.csv,5,3.0.0 / 2026-07-28,repository investment control,equipment,APPLICABLE,"test/decision gates",not equipment passport or acceptance act,Operations / Engineering
SRC-013,Issue #52 control-trial package,docs/06-validation/issue-52/,5,2026-07-27/28,repository forms and protocols,VKM-026…028 only,REFERENCE_ONLY,"control-cook form architecture; evidence capture pattern",excluded dishes; blank/project forms are not trial results,Chef / Food Safety
SRC-014,PR81 Source Audit,/tmp/issue81/docs/07-operations/issue-80/SOURCE_AUDIT.md,5,2026-08-03,open draft PR checkpoint,Issue #80,REFERENCE_ONLY,"cross-check source hierarchy and known limitations",not merged; not base; must revalidate,SourceAuditor
SRC-015,PR81 draft workbook,/tmp/issue81/docs/07-operations/issue-80/VARSHAVKA_MENU_COSTING_TECH_CARDS_DRAFT_v1.0.0.xlsx,5,"1.0.0 / 2026-08-03 / sha256 1c054ef9…b01",open draft PR checkpoint,"31 dishes; 28 blocked skeletons",REFERENCE_ONLY,"stable VKM/VKC/VKT; formula and validation patterns",10 sheets not required 17; 28 skeletons contain no recipes,ExcelBuilder / SystemArchitect
SRC-016,PR81 builder,/tmp/issue81/scripts/releases/build_issue_80_menu_cards.mjs,5,2026-08-03,open draft PR checkpoint,Issue #80,REFERENCE_ONLY,"reproducible builder patterns",must be reviewed and extended; no domain-value authority,ExcelBuilder
SRC-017,PR81 Independent Verification,/tmp/issue81/docs/07-operations/issue-80/INDEPENDENT_VERIFICATION.md,5,2026-08-03,open draft PR checkpoint,Issue #80,REFERENCE_ONLY,"known defects and regression checks",PASS applies only to Issue #80 checkpoint,IndependentVerifier
SRC-018,ADR set,docs/04-decisions/ADR-0001-TWO-BUSINESSES.md through ADR-0006-S03-DINNER-COGS-LINK.md,1,"current main; latest dated 2026-07-17",accepted/draft architecture decisions,project,APPLICABLE_WITH_CONDITIONS,"business boundaries; accounting architecture; supersession",does not approve recipes prices or safety parameters,Owner / Orchestrator
