LEGACY_FUNC_CODE,LEGACY_DIRECTION,LEGACY_EQUIPMENT,LEGACY_QTY,CURRENT_FUNC_CODES,CHANGE_TYPE,CHANGE_DESCRIPTION,SOURCE_FILE,SOURCE_SHA256,SOURCE_DATE,SOURCE_STATUS
ST-01,Складирование,Стеллажи для сухих продуктов,Уточнить,STO-11;STO-12,SPLIT,Разделено на хранение и подтоварники,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
ST-02,Складирование,Холодильные шкафы,Уточнить,STO-04;STO-06;STO-07;STO-09;STO-10,SPLIT,Разделено по санитарным контурам,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
ST-03,Складирование,Морозильные шкафы/лары,Уточнить,STO-02;STO-03,SPLIT,Закреплены два раздельных модуля,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
ST-04,Складирование,Раздельные промаркированные гастроёмкости,По расчёту,CLD-06;HOT-13,SPLIT,Распределено по участкам,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
ST-05,Складирование,Весы товарные и настольные,1 + по участкам,STO-01;CLD-07;BRK-04,SPLIT,Распределено по участкам,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
CP-01,Холодные блюда,Холодильный рабочий стол,Не менее 1,CLD-01,RETAINED,Уточнён полезный объём,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
CP-02,Холодные блюда,Производственный стол нерж.,1–2,CLD-03;HOT-12,SPLIT,Разделено по участкам,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
CP-03,Холодные блюда,Отдельная моечная ванна,1,CLD-04,RETAINED,Уточнена двухсекционная продуктовая ванна,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
CP-04,Холодные блюда,Овощерезка / слайсер,Уточнить,CLD-08;CLD-09;BAK-09,SPLIT_CONDITIONAL,Разделено на условные функции,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
CP-05,Холодные блюда,Вакууматор,Уточнить,CLD-10,EXCLUDED,Не включён в старт,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
