role,agent_id,task,inputs,expected_results,actual_results,start_at,end_at,status,handoff_to,handoff_decision,blockers
SourceAuditor,/root/source_auditor,Wave 1A evidence audit,"main; Issues #82/#69/#80/#37/#38/#39/#47; PR #81","Source Register; Evidence Matrix; Gap Register; allowed assumptions","No deliverable; agent interrupted",2026-08-03,2026-08-03,INTERRUPTED,Orchestrator,REJECTED,Non-delivery
SourceAuditor,/root/source_auditor_replacement,Wave 1A evidence audit replacement,"local main sources; /tmp/issue81","Source Register; Evidence Matrix; Gap Register; allowed assumptions","7 files; 18 sources; 32 EvidenceID; 26 gaps",2026-08-03,2026-08-03,COMPLETED,Orchestrator,ACCEPTED_WITH_CONDITIONS,"26 controlled gaps"
ChefTechnologyAgent,/root/chef_technology,Wave 1B recipe and process,Accepted Gate A,"28 passports; recipes; tech cards; mass balance; chef questions; cook plan","28 passports; 253 recipe lines; 28 tech cards; 28 mass balances; 144 questions; 28 plans/forms; 34 VSF candidates",2026-08-03,2026-08-03,COMPLETED,"SemiFinished; Costing; Equipment; Nutrition; ExcelBuilder",ACCEPTED_WITH_CONDITIONS,"Safety veto and draft assumptions"
SemiFinishedProductsAgent,/root/semi_finished,Nested semi-finished product DAG,Accepted HOF-0002 and HOF-0003,"Unique VSF cards; DAG; cost basis","34 cards; 166 lines; 42 DAG edges; 42 mappings; acyclic; no orphan",2026-08-03,2026-08-03,COMPLETED,"Costing; SystemArchitect; ExcelBuilder",ACCEPTED_WITH_CONDITIONS,"GAP-SF-001/002 and safety veto"
FoodSafetyAgent,/root/food_safety,Wave 1B safety,Accepted Gate A and recipe handoff,"28 safety cards; allergen matrix; CCP; blockers","28 cards; 28x15 allergens; 140 controls; 140 blockers; 10 official sources; deterministic generator",2026-08-03,2026-08-03,COMPLETED,"ChefTechnology; SystemArchitect; ExcelBuilder",ACCEPTED_WITH_CONDITIONS,"Veto BLOCK all 28"
CostingPricingAgent,/root/costing_pricing,"Wave 2 economics; CR-0001 provenance rework",Frozen recipes and evidence,"28 costing cards; price registers; channels; sensitivity; 100% source QA","v0.2.1: 46/68 retained; 22 rejected; 28 cards; 40 VSF; 101 channel rows",2026-08-03,2026-08-03,COMPLETED,SystemArchitect,ACCEPTED_WITH_CONDITIONS,"Complete COGS blocked 28/28; use v0.2.1 only"
EquipmentCapacityAgent,/root/equipment_capacity,Wave 2 resources,Frozen processes and equipment registers,"28 resource cards; bottlenecks; inventory; tableware","28 cards; 155 operation mappings; 14 technical gaps",2026-08-03,2026-08-03,COMPLETED,SystemArchitect,ACCEPTED_WITH_CONDITIONS,"Passport capacity/availability/demand blocked"
NutritionDataAgent,/root/nutrition_data,Wave 2 nutrition,Frozen recipes,"28 nutrition records; method/source note","28 dish records; 113 ingredient records; 7 sources; 6 limitations",2026-08-03,2026-08-03,COMPLETED,SystemArchitect,ACCEPTED_WITH_CONDITIONS,"All numeric nutrition blocked pending exact SKU/source/yield"
SystemArchitect,/root/system_architect,Gate C reconciliation,All accepted Wave 2 handoffs,"Integration review; conflict register","28-row reconciliation; 8 conflict classes; price correction independently rechecked",2026-08-03,2026-08-03,COMPLETED,ExcelBuilder,ACCEPTED_WITH_CONDITIONS,"INT-C-002…008 remain open subject blockers"
ExcelBuilder,/root/excel_builder,Wave 3 workbook,Accepted structured handoffs only,"17-sheet workbook; builder; build/formula/visual QA; dictionary","No deliverable after repeated controls; interrupted",2026-08-03,2026-08-03,INTERRUPTED,Orchestrator,REJECTED,"Non-delivery"
ExcelBuilder,/root/excel_builder_replacement,Wave 3 workbook replacement,Accepted structured handoffs only,"17-sheet workbook; builder; build/formula/visual QA; dictionary","17 sheets; 28 dishes; 15/15 checks; LO recalc; 17 visual renders",2026-08-03,2026-08-03,COMPLETED,IndependentVerifier,ACCEPTED_WITH_CONDITIONS,"Gate D structural PASS; subject blockers preserved"
IndependentVerifier,/root/independent_verifier,Wave 4 independent red-team,Frozen release candidate,"Verification report; defects; verdict","8 defects: 2 S1 known; 5 S2 known; IV-008 S3 resolved; no new model S1/S2",2026-08-03,2026-08-03,COMPLETED,Orchestrator,CONDITIONAL,"Final SHA 914a70c4...cc0b6; subject S1/S2 remain"
