BUSINESS_CONTOUR,WEEK_ID,START_DATE,END_DATE,OPENING_CASH,OPERATING_RECEIPTS,CUSTOMER_ADVANCES,INVESTOR_FUNDING,CAPEX_PAYMENT,PREOPEN_PAYMENT,INVENTORY_PAYMENT,PAYROLL_PAYMENT,OPEX_PAYMENT,TAX_PAYMENT,DEBT_SERVICE,CLOSING_BEFORE_FUNDING,MINIMUM_CASH,LIQUIDITY_GAP,RESERVE_DRAW,CLOSING_CASH,NET_CASH_FLOW,DATA_STATUS
CAFE,W01,2026-09-01,2026-09-07,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W02,2026-09-08,2026-09-14,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W03,2026-09-15,2026-09-21,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W04,2026-09-22,2026-09-28,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W05,2026-09-29,2026-10-05,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W06,2026-10-06,2026-10-12,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W07,2026-10-13,2026-10-19,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W08,2026-10-20,2026-10-26,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W09,2026-10-27,2026-11-02,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W10,2026-11-03,2026-11-09,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W11,2026-11-10,2026-11-16,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W12,2026-11-17,2026-11-23,,,,,,,,,,,,,,,,,,DATA_REQUIRED
CAFE,W13,2026-11-24,2026-11-30,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W01,2026-11-01,2026-11-07,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W02,2026-11-08,2026-11-14,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W03,2026-11-15,2026-11-21,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W04,2026-11-22,2026-11-28,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W05,2026-11-29,2026-12-05,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W06,2026-12-06,2026-12-12,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W07,2026-12-13,2026-12-19,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W08,2026-12-20,2026-12-26,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W09,2026-12-27,2027-01-02,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W10,2027-01-03,2027-01-09,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W11,2027-01-10,2027-01-16,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W12,2027-01-17,2027-01-23,,,,,,,,,,,,,,,,,,DATA_REQUIRED
BANQUETS,W13,2027-01-24,2027-01-30,,,,,,,,,,,,,,,,,,DATA_REQUIRED
