question_id,dish_code,dish_name,question_type,question,question_status,answer_owner,impact,evidence_ids,blocker_ids,raised_date,checkpoint,answer,answer_date
CQ-0001,VKM-001,Маргарита,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0002,VKM-001,Маргарита,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0003,VKM-001,Маргарита,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0004,VKM-001,Маргарита,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0005,VKM-001,Маргарита,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0006,VKM-002,Четыре сыра,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0007,VKM-002,Четыре сыра,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0008,VKM-002,Четыре сыра,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0009,VKM-002,Четыре сыра,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0010,VKM-002,Четыре сыра,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
