semi_recipe_line_id,vsf_code,batch_variant_id,line_order,component_type,ingredient_id,ingredient_name,child_vsf_code,gross_qty,gross_unit,net_qty,net_unit,projected_output_contribution,output_unit,source_dish_code,source_recipe_line_ids,parameter_status,evidence_ids,method_or_source_note,source_date,confirmation_owner,blocker_ids,cost_inclusion_rule
SFR-0001,VSF-001,VSF-001@VKM-001,1,RAW_INPUT,ING-001,Мука пшеничная хлебопекарная,null,140,г,140,г,130,г,VKM-001,RCP-0001,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0002,VSF-001,VSF-001@VKM-001,2,RAW_INPUT,ING-002,Вода питьевая,null,85,г,85,г,70,г,VKM-001,RCP-0002,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0003,VSF-001,VSF-001@VKM-001,3,RAW_INPUT,ING-003,Дрожжи хлебопекарные,null,2,г,2,г,2,г,VKM-001,RCP-0003,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0004,VSF-001,VSF-001@VKM-001,4,RAW_INPUT,ING-004,Соль пищевая,null,3,г,3,г,3,г,VKM-001,RCP-0004,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0005,VSF-001,VSF-001@VKM-001,5,RAW_INPUT,ING-005,Масло оливковое,null,8,г,8,г,8,г,VKM-001,RCP-0005,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0006,VSF-001,VSF-001@VKM-002,1,RAW_INPUT,ING-001,Мука пшеничная хлебопекарная,null,140,г,140,г,130,г,VKM-002,RCP-0014,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0007,VSF-001,VSF-001@VKM-002,2,RAW_INPUT,ING-002,Вода питьевая,null,85,г,85,г,70,г,VKM-002,RCP-0015,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0008,VSF-001,VSF-001@VKM-002,3,RAW_INPUT,ING-003,Дрожжи хлебопекарные,null,2,г,2,г,2,г,VKM-002,RCP-0016,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0009,VSF-001,VSF-001@VKM-002,4,RAW_INPUT,ING-004,Соль пищевая,null,3,г,3,г,3,г,VKM-002,RCP-0017,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0010,VSF-001,VSF-001@VKM-002,5,RAW_INPUT,ING-005,Масло оливковое,null,15,г,15,г,15,г,VKM-002,RCP-0018,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
