selection;material;sku;product;category;quantity;unit_price_rub;amount_rub;par_factor;monthly_breakage_rate;required_start;balance_6m;gap_6m;status_start;status_6m;asset_use;product_url
Зал;Фарфор;03011857;Тарелка «Кунстверк» мелкая без борта D=260 мм;Тарелки;60;620;37200;2.00;0.03;52;50.0;-2.0;Достаточно;Нужен дозаказ;Совместное;https://complexbar.ru/product/tarelka-melkaya-bez-borta-kunstwerk-03011857/
Зал;Фарфор;03011456;Тарелка «Кунстверк» мелкая без борта D=230 мм;Тарелки;60;412;24720;2.00;0.03;52;50.0;-2.0;Достаточно;Нужен дозаказ;Совместное;https://complexbar.ru/product/tarelka-melkaya-bez-borta-kunstwerk-03011456/
Зал;Фарфор;03010413;Тарелка «Кунстверк» мелкая без борта D=175 мм;Тарелки;60;182;10920;2.00;0.03;52;50.0;-2.0;Достаточно;Нужен дозаказ;Совместное;https://complexbar.ru/product/tarelka-melkaya-bez-borta-kunstwerk-03010413/
Зал;Фарфор;03010981;Тарелка глубокая «Кунстверк» 400 мл;Тарелки;60;483;28980;2.00;0.03;52;50.0;-2.0;Достаточно;Нужен дозаказ;Совместное;https://complexbar.ru/product/tarelka-glubokaya-kunstwerk-03010981/
Зал;Фарфор;03140689;Чайная пара «Кунстверк» 200 мл;Чайные пары;60;298;17880;1.50;0.03;39;50.0;11.0;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/para-chaynaya-kunstwerk-03140689/
Зал;Фарфор;03150420;Чайник заварочный «Кунстверк» 0,8 л;Чайники;30;475;14250;0.50;0.03;13;25.0;12.0;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/chaynik-kunstwerk-03150420/
Зал;Фарфор;03040142;Соусник «Кунстверк» 100 мл;Соусники;24;82;1968;0.50;0.03;13;20.0;7.0;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/sousnik-kunstwerk-03040142/
Зал;Фарфор;03173703;Набор для специй «Кунстверк» на подставке;Настольные наборы;15;557;8355;0.35;0.03;10;12.5;2.5;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/nabor-d-speciy-3-predm-na-podstavke-kunstwerk-03173703/
Зал;Фарфор;03172334;Салфетница «Кунстверк»;Настольные наборы;20;314;6280;0.35;0.03;10;16.7;6.7;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/salfetnica-kunstwerk-03172334/
Зал;Фарфор;03130448;Кофейная пара «Кунстверк» 70 мл;Кофейные пары;60;190;11400;1.00;0.03;26;50.0;24.0;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/para-kofeynaya-kunstwerk-03130448/
Зал;Фарфор;03130278;Кофейная пара «Кунстверк» 150 мл;Кофейные пары;60;271;16260;1.00;0.03;26;50.0;24.0;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/para-kofeynaya-kunstwerk-03130278/
Зал;Фарфор;03171983;Сахарница «Кунстверк» с крышкой 250 мл;Настольные наборы;12;304;3648;0.35;0.03;10;10.0;0.0;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/saharnica-s-kryshkoy-kunstwerk-03171983/
Зал;Нержавеющая сталь;03112213;Вилка столовая «Оптима»;Столовые приборы;72;50;3600;2.00;0.01;52;67.8;15.8;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/vilka-stolovaya-kunstwerk-03112213/
Зал;Нержавеющая сталь;03111782;Ложка чайная «Аркада Бэйсик»;Столовые приборы;72;123;8856;2.00;0.01;52;67.8;15.8;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/lozhka-chaynaya-kunstwerk-03111782/
Зал;Нержавеющая сталь;03114123;Нож столовый «Дистрикт Сильвер Мэтт»;Столовые приборы;72;331;23832;2.00;0.01;52;67.8;15.8;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/nozh-stolovyy-kunstwerk-03114123/
Зал;Нержавеющая сталь;03110167;Ложка столовая «Адажио»;Столовые приборы;72;504;36288;2.00;0.01;52;67.8;15.8;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/lozhka-stolovaya-eternum-03110167/
Бар;Стекло;01011643;Бокал для вина «Дистинкшн» 380 мл;Барное стекло;72;473;34056;2.00;0.04;52;56.4;4.4;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/bokal-dlya-vina-chef-and-sommelier-01011643/
Бар;Стекло;01060610;Шампанское-блюдце «Каберне» 300 мл;Барное стекло;72;593;42696;2.00;0.04;52;56.4;4.4;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/shampan-blyudce-chef-and-sommelier-01060610/
Бар;Стекло;01071637;Рюмка «Ресто» 60 мл;Барное стекло;72;88;6336;2.00;0.04;52;56.4;4.4;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/ryumka-pasabahce-01071637/
Бар;Стекло;01020542;Олд фэшн «Кортина» 400 мл;Барное стекло;60;378;22680;2.00;0.04;52;47.0;-5.0;Достаточно;Нужен дозаказ;Совместное;https://complexbar.ru/product/old-feshn-bormioli-rocco-01020542/
Бар;Стекло;01011610;Хайбол «Аморф» 400 мл;Барное стекло;72;164;11808;2.00;0.04;52;56.4;4.4;Достаточно;Достаточно;Совместное;https://complexbar.ru/product/haybol-pasabahce-01011610/
